Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Source URL,Last Updated
Framework,Use Minimal APIs for new services,Minimal APIs (.NET 6+) reduce ceremony; equivalent perf to MVC,"app.MapGet(""/u/{id}"", (int id, IUserService s) => s.Get(id))",Use MVC controllers for tiny services,"app.MapGet(""/u/{id}"", handler).WithOpenApi()",[ApiController] new project for one endpoint,Medium,https://learn.microsoft.com/aspnet/core/fundamentals/minimal-apis,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
Async,Async all the way down,Sync-over-async deadlocks under load,Use async/await end-to-end; no .Result / .Wait(),Mix .Result with HttpClient/EF Core,await db.Users.FindAsync(id),db.Users.Find(id) // sync inside async controller,Critical,https://learn.microsoft.com/aspnet/core/fundamentals/best-practices,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
DI,"Built-in DI, Scoped lifetimes",ASP.NET Core DI is sufficient for most cases,"builder.Services.AddScoped<IRepo, Repo>()",Singleton DbContext,AddScoped<AppDbContext>(),AddSingleton<AppDbContext>(),High,https://learn.microsoft.com/aspnet/core/fundamentals/dependency-injection,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
EF Core,Use AsNoTracking for read paths,Tracking is expensive on read-heavy queries,await db.Users.AsNoTracking().Where(...).ToListAsync(),Track everything,db.Users.AsNoTracking().Where(...),db.Users.Where(...) // tracked,High,https://learn.microsoft.com/ef/core/querying/tracking,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
EF Core,Use compiled queries / source-gen JSON,Source-gen serializers (.NET 8) ~2× faster than reflection,[JsonSerializable(typeof(MyDto))] partial class,Stick with reflection-based JSON serializer,[JsonSourceGenerationOptions],JsonSerializer.Serialize(o),Medium,https://learn.microsoft.com/dotnet/standard/serialization/system-text-json/source-generation,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
HTTP,Use HttpClientFactory + named/typed clients,Avoid socket exhaustion from 'new HttpClient()' per request,builder.Services.AddHttpClient<UsersClient>(c => c.Timeout = TimeSpan.FromSeconds(2)),'new HttpClient()' in per-request code path,"_http.GetFromJsonAsync<User>(""/u"")",new HttpClient().GetAsync(...) // per request,Critical,https://learn.microsoft.com/dotnet/architecture/microservices/implement-resilient-applications/use-httpclientfactory-to-implement-resilient-http-requests,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
Resilience,Polly v8 ResilienceStrategy,Polly v8 unified pipeline (retries + timeout + circuit breaker),Compose ResiliencePipelineBuilder; attach via AddHttpClient.AddResilienceHandler,Bare HttpClient calls without retry/timeout,builder.Services.AddHttpClient<X>().AddStandardResilienceHandler(),// no resilience,High,https://www.pollydocs.org/,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
Logging,Microsoft.Extensions.Logging + structured fields,"Use structured templates, not interpolation","_logger.LogInformation(""order.created {OrderId} {UserId}"", oid, uid)","_logger.LogInformation($""created {oid}"")","_logger.LogInformation(""order.created {OrderId}"", oid)","_logger.LogInformation($""created order {oid}"")",Medium,https://learn.microsoft.com/dotnet/core/extensions/logging,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
Observability,OpenTelemetry .NET,"Add tracing/metrics for ASP.NET Core, HttpClient, EF Core",builder.Services.AddOpenTelemetry().WithTracing(...).WithMetrics(...),Custom prometheus library only,AddOpenTelemetry().UseAzureMonitor(),// no traces,Medium,https://opentelemetry.io/docs/instrumentation/net/,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
Performance,Native AOT for tiny startup,Native AOT (.NET 8) cuts cold start; no JIT,PublishAot=true; UseShell:AOT-compatible libraries,Use libraries that need reflection-emit,<PublishAot>true</PublishAot>,// reflection-heavy lib at startup,Medium,https://learn.microsoft.com/dotnet/core/deploying/native-aot/,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
Configuration,Use Options pattern with validation,IOptions<T> + DataAnnotations; validate on start,"builder.Services.AddOptions<MyOptions>().BindConfiguration(""x"").ValidateOnStart()",Read IConfiguration scattered,AddOptions<MyOptions>().ValidateDataAnnotations().ValidateOnStart(),"_config[""x:y""] // everywhere",Medium,https://learn.microsoft.com/aspnet/core/fundamentals/configuration/options,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
Auth,Use Microsoft.Identity.Web / OpenIddict / Auth0 SDK,Use a library; don't roll your own JWT validation,"builder.Services.AddAuthentication(""Bearer"").AddJwtBearer(...)",Hand-parse JWT,AddJwtBearer(o => o.TokenValidationParameters = ...),// manual base64 decode of token,Critical,https://learn.microsoft.com/aspnet/core/security/authentication/,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
Testing,xUnit + WebApplicationFactory + Testcontainers,In-process integration tests against the real pipeline,using var factory = new WebApplicationFactory<Program>().WithWebHostBuilder(...),Mock entire ASP.NET pipeline,using var client = factory.CreateClient(),// pure unit tests for controller routing,Medium,https://learn.microsoft.com/aspnet/core/test/integration-tests,https://learn.microsoft.com/en-us/aspnet/core/,2026-04-28
