Name,Category,Strategy,Tooling,Strengths,Weaknesses,When to Use,Gotcha,Source URL,Last Updated
OpenAPI Code Generation,API-First,Generate server stubs and client SDKs from OpenAPI/Swagger specification,OpenAPI Generator; Swagger Codegen; oapi-codegen (Go); openapi-typescript,Single source of truth; auto-generated clients reduce bugs; documentation always in sync,Generated code can be hard to customize; spec drift if not enforced in CI; boilerplate overhead,Teams with multiple client platforms consuming the same API; public APIs with external consumers,Generated code must be treated as build artifact not checked in — regenerate on every spec change,https://openapi-generator.tech/,2025-01
GraphQL Federation,API Composition,Compose multiple GraphQL subgraphs into a single unified supergraph via a gateway,Apollo Federation; GraphQL Mesh; Grafbase; WunderGraph,Teams own their subgraphs independently; unified schema for clients; declarative composition,Gateway is a single point of failure; query planning complexity; cross-subgraph joins are expensive,Microservices architectures where each team owns a domain with its own schema,@key directives must be planned carefully — a bad entity design creates N+1 queries across subgraphs,https://www.apollographql.com/docs/federation/,2025-01
Schema Evolution (Backward Compatible),Versioning,Evolve API schema by only making additive non-breaking changes,Buf (protobuf); Spectral (OpenAPI); custom CI lint rules; Atlas (SQL),No breaking changes means no version management; clients upgrade at their own pace,Can't remove or rename fields; schema grows monotonically; deprecated fields linger,APIs with many consumers who can't coordinate upgrades; long-lived public APIs,Mark deprecated fields explicitly with sunset dates; monitor usage of deprecated fields before removal,https://buf.build/docs/breaking/overview,2025-01
API Versioning via URL Path,Versioning,Version in URL path: /v1/users and /v2/users — route to different handlers,API gateways (Kong/Envoy); framework routing,Simple to understand; easy to route; clear separation; works with CDN caching,Duplicated handlers; version sprawl; URL pollution; hard to share code between versions,Public APIs with external consumers who need stability guarantees,Don't version internal APIs — use schema evolution instead; versioning is for external contracts,https://www.postman.com/api-platform/api-versioning/,2025-01
API Versioning via Headers,Versioning,Version in Accept header: Accept: application/vnd.api+json;version=2,API gateways; content negotiation middleware,Clean URLs; supports content negotiation; multiple versions on same path,Harder to test (need headers); not cacheable by default (Vary header needed); less discoverable,APIs where URL aesthetics matter; APIs with sophisticated clients,CDN caching requires Vary: Accept header — which can reduce cache hit rate dramatically,https://www.rfc-editor.org/rfc/rfc9110#field.accept,2025-01
Contract Testing,Quality Assurance,Verify API contracts between consumer and provider are maintained across changes,Pact; Spring Cloud Contract; Dredd; Schemathesis; Specmatic,Catches breaking changes before deployment; consumer-driven; decouples teams,Setup overhead; contract maintenance burden; requires both sides to participate,Microservices with many inter-service API calls; organizations with independent team deployments,Consumer-driven contracts test what consumers actually use not the full API — dead endpoints stay untested,https://pact.io/,2025-01
Protobuf Schema Registry,Schema Management,Centralized registry for protobuf schemas with compatibility enforcement,Buf Schema Registry; Confluent Schema Registry (protobuf); custom registries,Backward/forward compatibility checks; schema discovery; breaking change prevention,Infrastructure to maintain; learning curve for teams new to protobuf; migration from JSON is effort,gRPC-based microservices; Kafka with protobuf serialization; teams needing strict schema governance,Protobuf field numbers are forever — never reuse a field number; use reserved to prevent accidents,https://buf.build/docs/bsr/introduction,2025-01
AsyncAPI for Event-Driven APIs,Documentation,Specification format for documenting async/event-driven APIs analogous to OpenAPI for REST,AsyncAPI Generator; AsyncAPI Studio; Modelina,Standardized event documentation; code generation for consumers; protocol agnostic,Tooling less mature than OpenAPI; adoption still growing; not all brokers supported equally,Event-driven architectures with Kafka/RabbitMQ/WebSocket that need documentation and client generation,AsyncAPI 3.0 is a breaking change from 2.x — check tooling support before upgrading spec version,https://www.asyncapi.com/,2025-01
BFF (Backend for Frontend) Pattern,API Composition,Dedicated API layer per frontend that aggregates and transforms backend service calls,Custom services; Apollo Server; tRPC; GraphQL as BFF,Optimized payloads per client; decouples frontend from backend service topology; team autonomy,Multiple BFFs to maintain; risk of duplicated business logic; latency from aggregation layer,Multi-platform products (web + mobile + third-party); teams with distinct frontend/backend ownership,BFF should only aggregate and transform — business logic in BFF is the path to a distributed monolith,https://samnewman.io/patterns/architectural/bff/,2025-01
API Gateway Pattern,Infrastructure,Centralized entry point for all API calls — authentication and rate limiting and routing,Kong; AWS API Gateway; Envoy; Traefik; APISIX; Tyk,Centralized cross-cutting concerns; simplified client interaction; security enforcement at edge,Single point of failure; latency overhead; configuration complexity; can become a bottleneck,Any API with multiple backend services; when you need centralized auth and rate limiting and logging,API gateway should be dumb routing — putting business logic in the gateway creates coupling and deployment bottlenecks,https://konghq.com/blog/enterprise/what-is-an-api-gateway,2025-01
gRPC-Web,Browser Integration,Enable gRPC calls from browser clients via an Envoy proxy or grpc-web protocol,grpc-web; Envoy gRPC-Web filter; Connect (from Buf),Strongly typed browser-to-backend; shared protobuf types; streaming support (server-side),Requires proxy; no bidirectional streaming in browsers; debugging harder than REST; tooling gaps,Full-stack teams using protobuf who want type consistency from browser to backend,Browser gRPC only supports unary and server-streaming — bidirectional streaming requires WebSocket fallback,https://grpc.io/docs/platforms/web/,2025-01
Hypermedia APIs (HATEOAS),API Design,API responses include links to related resources and available actions,Spring HATEOAS; HAL; JSON:API; Siren; custom link headers,Self-documenting; client doesn't hardcode URLs; evolvable API design,Verbose responses; complex client implementation; rarely implemented fully in practice,Public APIs where discoverability matters; APIs that need to evolve without breaking clients,HATEOAS is theoretically elegant but practically rare — most teams get more value from good documentation + OpenAPI,https://restfulapi.net/hateoas/,2025-01
