Tool,Category,Hosting,Use Case,Strengths,Weaknesses,Notable Features,Keywords,Notes
GitHub Actions,CI/CD,SaaS (or self-hosted runners),"GitHub repos","Tight GitHub integration, marketplace of actions, matrix builds, OIDC to clouds","Pricing on private repos can climb; YAML scaling pains","Reusable workflows, OIDC federation, environments + required reviewers","github actions workflow oidc reusable","Use OIDC to assume cloud roles instead of long-lived access keys."
GitLab CI,CI/CD,SaaS or self-hosted,"GitLab repos","Built-in container registry, K8s executors, monorepo-friendly stages","Self-host requires effort","DAG pipelines, parent-child pipelines, dynamic child pipelines","gitlab ci cd pipeline runner","Combine 'rules:' + 'needs:' for fast DAG builds; cache aggressively."
Jenkins,CI/CD,Self-host,"Brownfield enterprises","Plugin universe, total flexibility","Maintenance burden, Groovy DSL gotchas","Pipeline (Jenkinsfile), shared libraries","jenkins jenkinsfile groovy plugin","Use Configuration as Code (JCasC) and shared libraries; avoid plugin sprawl."
CircleCI,CI/CD,SaaS,"Polyglot SaaS CI","Fast, good caching, orbs","Pricing model; smaller marketplace than GH Actions","Orbs, parallelism, GPU runners","circleci orb workflow","Combine 'orbs' + 'matrix' + 'parallelism' for fast test sharding."
Buildkite,CI/CD,SaaS control plane + self-hosted agents,"Teams wanting hybrid control","UI is SaaS, agents you own (security/cost win)","More setup than pure SaaS","Dynamic pipelines, custom agents","buildkite agent dynamic pipeline","Pair with self-hosted on EC2 / EKS Karpenter for cheap, fast CI."
Drone CI,CI/CD,Self-host,"Container-native CI","Pipeline-as-a-container, simple YAML","Smaller community","Plugins as containers","drone ci container pipeline","Lightweight self-host alternative to Jenkins."
Tekton,CI/CD on Kubernetes,Self-host (K8s native),"Kubernetes-native pipelines (Tasks/Pipelines as CRDs)","First-class K8s, reusable Tasks, Tekton Catalog","Verbose YAML; needs Tekton Dashboard or Triggers","Tasks, Pipelines, Triggers, Chains (provenance/SLSA)","tekton kubernetes task pipeline chains slsa","Pair Tekton Chains with Sigstore for SLSA L3 provenance out-of-the-box."
Argo Workflows,Workflow engine,Self-host (K8s native),"Batch / DAG workloads on K8s (data, ML, CI)","DAGs, parallelism, retries, artefacts","Workflow YAML at scale","DAG, suspend/resume, schedule (CronWorkflow)","argo workflows dag k8s","Sister to ArgoCD; great for ML/data pipelines on existing K8s."
ArgoCD,GitOps CD,Self-host (K8s),"Continuous delivery to K8s","Declarative app sync, drift detection, ApplicationSet for fan-out","Bootstrap chicken-and-egg; UI auth setup","ApplicationSet, Sync Waves, AppProject RBAC","argocd gitops sync application set","Pair with sealed-secrets / external-secrets; use SyncWaves for ordered rollouts."
Flux CD,GitOps CD,Self-host (K8s),"Continuous delivery to K8s","Pure controllers, multi-tenant, image automation built-in","Less polished UI than ArgoCD","Image Automation, Helm/Kustomize Controllers","fluxcd flux gitops kustomize helm controller","Choose Flux when you prefer 'no UI, controllers all the way down'."
Spinnaker,Multi-cloud CD,Self-host,"Multi-cloud progressive delivery (Netflix legacy)","Canaries, multi-region, multi-cloud","Heavyweight; complex ops","Pipelines, canaries, manual judgements","spinnaker canary multi-cloud","Largely superseded by ArgoCD + Argo Rollouts for K8s shops."
Argo Rollouts,Progressive delivery,K8s controller,"Canary, blue/green, A/B for K8s","Native progressive delivery, integrates with Prometheus / Datadog AnalysisRuns","Limited to K8s","Canary, BlueGreen, AnalysisTemplate","argo rollouts canary blue green analysis","Drop-in replacement for 'Deployment' that gives you canaries with metric-based abort."
Renovate / Dependabot,Dependency PRs,SaaS / self-host,"Auto-PRs for dependency / image updates","Renovate is highly configurable; Dependabot is built into GitHub","Renovate's config has a learning curve","Auto-merge minor/patch, vulnerability alerts","renovate dependabot dependency pr","Renovate beats Dependabot for monorepos and Docker / Helm digest pinning."
SonarQube / SonarCloud,Code quality + SAST,SaaS / self-host,"Quality gates, security hotspots","Mature analysis; PR decoration","Closed-source rules; can be noisy","Quality gate as merge requirement","sonar quality gate sast","Wire 'Quality Gate' into PR checks; tune ruleset for the language used."
GitHub Advanced Security (GHAS),AppSec,SaaS,"GitHub-native code/secret scanning + Dependabot","Tight repo integration, CodeQL","Private-repo licensing cost","CodeQL, secret scanning push protection","ghas codeql secret scanning","Enable 'push protection' to block secret pushes at the source."
