Topic,Category,Failure Mode,Mitigation,Do,Don't,Metric,Keywords,Notes,Source URL,Source Type,Last Updated
SLO / SLI / Error budget,SRE practice,Unclear what 'reliable' means; no shared language between product & eng,"Define SLIs (latency, availability, freshness) + SLO targets + error budget policy",Page on user-impacting SLO burn (multi-window multi-burn-rate alerts); halt risky launches when budget spent,Page on raw thresholds; chase 100% availability,"SLO compliance %, error budget remaining",slo sli sla error budget burn rate,See Google SRE Book Ch.4. Use Sloth/Pyrra to generate burn-rate alerts from YAML.,,,
Timeouts,Resilience,Hung calls hold sockets/threads forever,Client + server timeouts at every hop; keep them shorter than upstream,Set deadlines that propagate (context.Context / gRPC deadline),Rely on TCP keepalive; use 'no timeout',p99 timeout rate,timeout deadline propagation,"Always set 3 timeouts: connect, read, total. Propagate via Context/Deadline.",,,
Retries with backoff + budget,Resilience,Naive retries cause thundering herd; non-idempotent retries cause duplicates,Exponential backoff + jitter; cap attempts; total retry budget per call,Retry only idempotent calls; carry idempotency keys,Retry every error,"Retry rate, retry success rate",retry backoff jitter idempotent budget,"See AWS Builders' Library 'Timeouts, retries, and backoff with jitter'.",,,
Circuit breaker,Resilience,Failing dependency cascades and exhausts caller threads,State machine (closed/open/half-open) trips on error rate,Trip on % error in window; expose state metric; manual override,Trip on single failure,"Open ratio, time in open",circuit breaker resilience4j hystrix,Combine with bulkhead so one bad dep can't drown others.,,,
Bulkhead,Resilience,One slow dep starves a shared pool,Per-downstream / per-tenant pools,Size pools per dep based on max concurrent calls,Share one HTTP client pool across all backends,"Pool utilisation, queue depth",bulkhead pool isolation,Especially important in multi-tenant SaaS gateways.,,,
Idempotency,Correctness,At-least-once delivery causes duplicate side-effects,Server stores idempotency key + response; replay on duplicate,Use Stripe-style 'Idempotency-Key' header for all unsafe HTTP methods,Assume retries are safe,Duplicate event rate,idempotency key exactly-once,See Stripe API doc; TTL keys 24h–30d depending on flow.,,,
Graceful shutdown,Lifecycle,In-flight requests killed; queues left in inconsistent state,Drain LB; stop accepting; finish in-flight; close clients,"Trap SIGTERM, set readiness false, wait for in-flight, then exit",Exit on SIGTERM immediately,"Shutdown duration, requests dropped on rollout",graceful shutdown sigterm preStop,K8s preStop hook + 'terminationGracePeriodSeconds' tuned to your worst-case in-flight.,,,
Health checks (liveness vs readiness),Lifecycle,Crash-loop or stuck pod takes traffic,Cheap liveness (process alive); deeper readiness (deps OK),Readiness must check critical deps; liveness must NOT (avoid crash-loop on dep blip),Use the same probe for both,"Probe failure rate, restart count",liveness readiness startup probe,Add a 'startupProbe' for slow-starting JVM apps to avoid liveness false positives.,,,
Capacity planning + headroom,Capacity,Hit ceiling under spike → cascade,Plan to ≤60-70% of capacity at peak; load test 2× projection,Run quarterly load tests; track headroom %,Run hot at 95%,"CPU/Mem headroom %, queue depth",capacity planning headroom load test,Track 'time-to-saturation' projection on dashboards.,,,
"Disaster recovery (RPO/RTO)""",Recovery,Region/AZ outage with no rehearsed recovery,Define RPO/RTO; backups + restores tested quarterly; failover runbooks,Restore drills (game days); pre-warmed standby,Rely on 'we have backups',"RPO, RTO, backup success rate, restore-time SLA",rpo rto disaster recovery game day,Untested backups = no backups. Run quarterly restore drills.,,,
Multi-AZ / multi-region,Availability,Single AZ/region outage takes the system down,Stateless across AZs; multi-AZ datastore; multi-region for tier-1,Multi-AZ by default; multi-region only when SLA / latency / residency requires,Premature multi-region (cost & complexity),"Cross-AZ latency, replication lag",multi az multi region failover,Use cell-based architecture to bound blast radius without going multi-region.,,,
Backups & PITR,Recovery,Data corruption / accidental delete with no point-in-time,"Daily snapshots + PITR (WAL/binlog), tested restores","RDS PITR, S3 versioning + Object Lock, immutable backups",Trust managed snapshots without testing restore,"Backup age, restore drill success",backup pitr wal s3 object lock,Use S3 Object Lock to prevent ransomware-style backup deletion.,,,
Chaos engineering,Practice,Untested failure paths; surprise outages,Deliberate failure injection in staging then prod GameDays,Inject latency / faults / pod kills / AZ failovers; observe & document,Chaos in prod without observability + SLOs,Recovered-in-N-minutes during chaos,chaos engineering litmus chaos mesh fis,Start with single-pod kills; graduate to dependency latency injection.,,,
Runbooks & on-call playbooks,Operations,Same incidents handled differently; long MTTR,Per-alert runbook URL; periodic blameless review,Link runbook URL in every alert; rotate runbook ownership,Tribal knowledge in heads only,"MTTR, % alerts with runbook",runbook playbook oncall postmortem,Use blameless postmortems; track action-item completion rate.,,,
Blue/Green & Canary deploys,Release,Bad releases impact 100% of users,Roll out gradually; auto-abort on metric regression,Use Argo Rollouts / Flagger / Spinnaker; abort on SLO burn,Deploy to 100% on every push,"Deploy success rate, MTTR rollback",blue green canary argo rollouts flagger,Combine canary with feature flags for fast off-switch.,,,
Feature flags,Release,Risky launches require code rollback,Toggleable flags; per-tenant rollouts; kill-switches,Use LaunchDarkly/Unleash/OpenFeature; clean up stale flags,Flag everything forever,"Flag debt count, kill-switch latency",feature flag launchdarkly unleash openfeature,Set a 'sunset date' on every flag; track flag debt as a quality metric.,,,
Quotas & rate limits per tenant,Multi-tenancy,"One tenant abuses shared resources, degrades others","Per-tenant quotas, isolation pools",Surface quota errors with retry-after; document limits,Soft-limit only (no enforcement),Quota breach rate,quota tenant rate limit fairness,Token bucket per tenant + global; expose remaining quota in headers.,,,
Postmortems & incident review,Practice,Same incidents recur,Blameless postmortems with action items tracked to closure,Time-bound action items; share postmortems org-wide,Look for someone to blame,Action-item closure rate,postmortem blameless incident review,"Include 'how we detected', 'what we tried', 'timeline', 'action items'.",,,
