Name,Category,Cloud,Service,Cost Driver,Mitigation,Order of Magnitude,Gotcha,Source URL,Last Updated,Source Type
Cross-AZ Data Transfer,Networking,AWS,EC2/RDS/ElastiCache,Data transferred between AZs within a region,$0.01/GB seems small but adds up at TB scale; use AZ-affinity placement groups,$0.01/GB; 1TB/day = ~$300/month,Replicated databases double or triple this cost silently,https://aws.amazon.com/ec2/pricing/on-demand/#Data_Transfer,2025-01,
Internet Egress,Networking,AWS/GCP/Azure,All,Data leaving the cloud to the internet,Use CDN (CloudFront/Cloudflare) to cache at edge; compress payloads,$0.09/GB AWS; 1TB/month = ~$90,First 100GB/month free on AWS; GCP charges $0.12/GB for premium tier,https://aws.amazon.com/ec2/pricing/on-demand/#Data_Transfer,2025-01,
NAT Gateway Processing,Networking,AWS,NAT Gateway,Per-GB charge for all traffic through NAT gateway,Use VPC endpoints for S3/DynamoDB; use Gateway LB endpoints,$0.045/GB + $0.045/hr; 1TB/month = ~$77,Often forgotten — even internal traffic to S3 through NAT is charged,https://aws.amazon.com/vpc/pricing/,2025-01,
DynamoDB On-Demand Pricing,Database,AWS,DynamoDB,Read/write request units on-demand mode,Use provisioned capacity with auto-scaling for predictable workloads,$1.25/million WRU; $0.25/million RRU,Hot partition keys cause throttling even with capacity available,https://aws.amazon.com/dynamodb/pricing/on-demand/,2025-01,
DynamoDB Provisioned vs On-Demand,Database,AWS,DynamoDB,Choosing wrong capacity mode for workload pattern,Profile traffic patterns; use provisioned + auto-scaling for steady-state workloads,Provisioned can be 5-7x cheaper than on-demand for steady traffic,Switching modes has a 24h cooldown period,https://aws.amazon.com/dynamodb/pricing/,2025-01,
S3 Request Pricing,Storage,AWS,S3,PUT/GET/LIST request charges accumulate at high volumes,Batch operations; use S3 Inventory instead of LIST; choose storage class wisely,PUT $0.005/1k; GET $0.0004/1k; LIST $0.005/1k,Small files amplify request costs — 1M small files costs more than 1 large file,https://aws.amazon.com/s3/pricing/,2025-01,
S3 Storage Classes,Storage,AWS,S3,Choosing wrong storage class for access pattern,Use S3 Intelligent-Tiering for unpredictable access; lifecycle rules for known patterns,Standard $0.023/GB; IA $0.0125/GB; Glacier $0.004/GB,Minimum storage duration charges — 30d for IA; 90d for Glacier IR; 180d for Glacier,https://aws.amazon.com/s3/storage-classes/,2025-01,
GPU Instance Costs,Compute,AWS/GCP/Azure,GPU Instances,ML training and inference GPU costs,Use spot/preemptible instances; right-size GPU type; use inference-specific chips,p4d.24xlarge ~$32/hr; A100 GCP ~$2.95/hr/GPU,Reserved instances save 40-60% but require 1-3 year commitment,https://aws.amazon.com/ec2/pricing/on-demand/,2025-01,
CloudWatch Logs Ingestion,Observability,AWS,CloudWatch,Log ingestion and storage charges,Sample verbose logs; use log levels; send to S3 for long-term storage,$0.50/GB ingestion; $0.03/GB storage,Custom metrics at $0.30/metric/month — 1000 custom metrics = $300/month,https://aws.amazon.com/cloudwatch/pricing/,2025-01,
Load Balancer Idle Costs,Networking,AWS,ALB/NLB,Minimum hourly charge even with zero traffic,Delete unused LBs; consolidate with shared ALB + path-based routing,ALB ~$16/month base + LCU; NLB ~$16/month base + NLCU,Each ALB rule adds cost; use fewer rules with regex patterns,https://aws.amazon.com/elasticloadbalancing/pricing/,2025-01,
RDS Multi-AZ Costs,Database,AWS,RDS,Multi-AZ doubles instance cost for HA,Use Multi-AZ only for production; read replicas for read scaling are cheaper,Multi-AZ = 2x single-AZ price; db.r6g.xlarge ~$0.48/hr single,Aurora Multi-AZ is included in the base price (different model from RDS),https://aws.amazon.com/rds/pricing/,2025-01,
Kubernetes Cluster Overhead,Compute,AWS/GCP/Azure,EKS/GKE/AKS,Control plane + node overhead costs,Use Fargate/Autopilot for small clusters; right-size node pools,EKS $0.10/hr control plane; GKE Autopilot charges per-pod,System pods (kube-system) consume 10-20% of small clusters,https://aws.amazon.com/eks/pricing/,2025-01,
GCP BigQuery Pricing,Analytics,GCP,BigQuery,On-demand query pricing per TB scanned,Use partitioned/clustered tables; LIMIT doesn't reduce scan cost,$6.25/TB scanned on-demand; flat-rate $2000/month for 100 slots,SELECT * on a 10TB table = $62.50 per query; column pruning is critical,https://cloud.google.com/bigquery/pricing,2025-01,
VPC Endpoint Costs,Networking,AWS,VPC Endpoints,Interface endpoints charge per hour + per GB,Use Gateway endpoints (free) for S3/DynamoDB; Interface endpoints for other services,$0.01/hr/AZ + $0.01/GB; 3 AZs = $22/month base,Gateway endpoints for S3/DynamoDB are free — use them instead of NAT,https://aws.amazon.com/privatelink/pricing/,2025-01,
Container Registry Storage,Storage,AWS/GCP/Azure,ECR/GCR/ACR,Image storage and transfer costs grow with CI/CD frequency,Implement image lifecycle policies; use multi-stage builds for smaller images,ECR $0.10/GB/month; 100 images × 500MB = $5/month,Untagged images accumulate silently; lifecycle policies are essential,https://aws.amazon.com/ecr/pricing/,2025-01,
Secrets Manager Costs,Security,AWS,Secrets Manager,Per-secret per-month charge + API call charges,Use SSM Parameter Store (free tier) for non-rotating secrets,$0.40/secret/month + $0.05/10k API calls,1000 secrets = $400/month; consider HashiCorp Vault for large scale,https://aws.amazon.com/secrets-manager/pricing/,2025-01,
Data Transfer Between Regions,Networking,AWS/GCP/Azure,All,Cross-region replication and sync costs,Minimize cross-region traffic; use regional deployments where possible,$0.02/GB AWS; cross-region DB replication on 1TB = ~$600/month,Multi-region architectures multiply all data transfer costs,https://aws.amazon.com/ec2/pricing/on-demand/#Data_Transfer,2025-01,
Lambda Invocation Costs,Compute,AWS,Lambda,Per-request + duration charges at scale,Right-size memory allocation (affects CPU); use provisioned concurrency for consistent loads,$0.20/1M requests + $0.0000166667/GB-sec,Cold starts on provisioned concurrency still bill; 1B invocations/month = $200 base,https://aws.amazon.com/lambda/pricing/,2025-01,
ElastiCache Node Costs,Database,AWS,ElastiCache,Instance costs for in-memory caching,Right-size node type; use reserved nodes for steady-state; consider Serverless option,cache.r6g.xlarge ~$0.30/hr; Serverless $0.0034/ECPU,Cluster mode disabled limits to single shard — can't scale writes horizontally,https://aws.amazon.com/elasticache/pricing/,2025-01,
FinOps Tagging Strategy,Governance,All,All,Lack of cost attribution makes optimization impossible,Enforce mandatory tags (team/env/service) via SCP/org policies; use cost allocation tags,Untagged resources often represent 30-50% of cloud spend,Tags must be activated in billing console separately from resource tags,https://www.finops.org/framework/capabilities/cost-allocation/,2025-01,
Managed Kafka (MSK) Costs,Messaging,AWS,MSK,Broker instance + storage + data transfer costs,Right-size broker count; use tiered storage; consider MSK Serverless for variable loads,kafka.m5.large ~$0.21/hr × 3 brokers = ~$460/month base,Storage charges $0.10/GB/month; 1TB retention = $100/month additional,https://aws.amazon.com/msk/pricing/,2025-01,
CloudFront Costs,CDN,AWS,CloudFront,Request pricing varies by region + data transfer,Use Origin Shield to reduce origin fetches; compress assets; set appropriate TTLs,$0.085/GB NA/EU; $0.14/GB Asia; 10TB/month = ~$850,Regional pricing varies 2x; invalidation requests cost $0.005 each after first 1000,https://aws.amazon.com/cloudfront/pricing/,2025-01,
