Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Source URL,Last Updated
Concurrency,Coroutines + structured concurrency,Use coroutineScope / supervisorScope to bound child lifetimes,coroutineScope { launch { … }; launch { … } },GlobalScope.launch,coroutineScope { … },GlobalScope.launch { … },Critical,https://kotlinlang.org/docs/coroutines-basics.html,,
Concurrency,Don't run blocking JDBC on the IO dispatcher unbounded,IO dispatcher is bounded; large blocking workloads need their own pool,withContext(jdbcPool) { … } where jdbcPool = newFixedThreadPoolContext(N),withContext(Dispatchers.IO) for huge blocking workloads,withContext(jdbcDispatcher) { repo.find(id) },launch(Dispatchers.IO) { repo.find(id) } // shared pool,High,https://kotlinlang.org/docs/coroutine-context-and-dispatchers.html,,
Framework,Spring Boot 3 Kotlin or Ktor,Spring Boot for enterprise; Ktor for lean services,Use Spring Boot Kotlin DSL routes; or Ktor for tiny gateways,Mix both in one repo,"routing { get(""/u/{id}"") { call.respond(svc.get(call.parameters[""id""]!!)) }}",# half-Ktor + half-Boot,Medium,https://ktor.io/docs/server-create-a-new-project.html,,
DI,Constructor injection only,"Same as Java: testable, immutable",class OrderService(private val repo: OrderRepo),Field-injection via @Autowired,class OrderService(private val repo: OrderRepo),class OrderService { @Autowired lateinit var repo: OrderRepo },Medium,https://docs.spring.io/spring-framework/reference/core/beans/dependencies/factory-collaborators.html,,
Null safety,Embrace nullability,Avoid '!!' and platform types,Make types explicitly nullable; use let / ?:,User!! patterns,"val email = user?.email ?: error(""no email"")",val email = user!!.email!!,High,https://kotlinlang.org/docs/null-safety.html,,
Persistence,Exposed or jOOQ for typed SQL,Avoid Hibernate's lazy-loading surprises; consider Exposed or jOOQ for read-heavy services,val u = transaction { Users.select { Users.id eq id }.firstOrNull() },JPA criteria API in Kotlin,Users.select { Users.id eq id }.first(),entityManager.createQuery(...),Medium,https://github.com/JetBrains/Exposed,,
Build,Gradle Kotlin DSL,Gradle .kts gives type-safe build scripts,"plugins { kotlin(""jvm"") version ""…"" } in build.gradle.kts",Use Groovy DSL for new Kotlin projects,build.gradle.kts,build.gradle (Groovy) for new Kotlin project,Medium,https://docs.gradle.org/current/userguide/kotlin_dsl.html,,
Coroutines,Use Flow for streams,Flow is the structured-concurrency stream type,fun observeOrders(): Flow<Order>,Channel<Order> as a public API,flowOn(Dispatchers.IO),Channel<Order>(BUFFERED) // exposed,Medium,https://kotlinlang.org/docs/flow.html,,
Errors,Use sealed classes + Result for domain errors,Sealed types model finite outcomes,sealed interface OrderError { object NotFound : OrderError; … },"Throw RuntimeException(""...""): for control flow",when (val r = useCase()) { is Ok -> ...; is Err -> ... },try/catch RuntimeException scattered everywhere,Medium,https://kotlinlang.org/docs/sealed-classes.html,,
Testing,kotest + MockK + Testcontainers,Idiomatic Kotlin testing stack,class FooSpec : DescribeSpec({ … }) ; mockk<UserRepo>(),JUnit + Mockito (works but un-idiomatic),@Test fun X() { val r = mockk<UserRepo>(); every { r.find(1) } returns user },mockito's any() vs Kotlin null-safety pain,Medium,https://kotest.io/,,
Server,Boot + virtual threads (JDK21+),Same as Java: virtual threads simplify blocking IO scaling,spring.threads.virtual.enabled=true,Default to WebFlux for CRUD,spring.threads.virtual.enabled=true,# WebFlux for everything,High,https://docs.spring.io/spring-boot/reference/web/reactive.html,,
