Name,Category,Workload,Use Case,Strengths,Weaknesses,Tooling,Keywords,Notes
Apache Spark,Batch + micro-batch,Distributed compute,"Batch ETL, ML training, ad-hoc analytics","Mature, multi-language (Scala/Python/Java/SQL), MLlib, Structured Streaming","Heavy JVM cluster, slower than Flink for true streaming","Databricks, EMR, Glue, Dataproc","spark databricks pyspark structured streaming","Use Spark for batch / lakehouse ETL; reach for Flink when low-latency streaming dominates."
Apache Flink,Streaming-first,Distributed stream compute,"True low-latency event-time streaming, CEP","Best-in-class event-time semantics, stateful streaming, exactly-once","Smaller community than Spark, ops complexity","Flink Kubernetes Operator, Ververica, Confluent Cloud","flink streaming event time stateful exactly once","Pair with Kafka + RocksDB state backend; use 'savepoints' for upgrades."
Kafka Streams / ksqlDB,Streaming library,JVM library,"In-app stream processing on Kafka","No extra cluster (runs inside your JVM app), exactly-once with Kafka tx","JVM-only; Kafka-coupled; harder for huge state","Confluent Cloud, MSK","kafka streams ksqldb","Excellent for stream-processing close to a Kafka source without standing up Flink/Spark."
Airbyte / Fivetran / Stitch / Meltano,EL(T) ingestion,Connectors,"Move data from SaaS → warehouse","Hundreds of connectors, managed schema evolution","SaaS cost; vendor connector quality varies","Airbyte, Fivetran, dlt","airbyte fivetran dlt singer ingestion","Use 'dlt' (open source, Python) for code-first pipelines; Airbyte/Fivetran for click-driven."
dbt,Transform / model,SQL transformations,"In-warehouse modelling (Snowflake/BigQuery/Redshift/DuckDB)","SQL + Jinja, tests, docs, lineage; hugely popular","Limited orchestration (use Airflow/Dagster); dbt Core vs Cloud features differ","dbt Core, dbt Cloud","dbt jinja sql transform model lineage","Standard for modern T in EL-T. Pair with Airflow/Dagster for orchestration."
Apache Airflow,Orchestrator,DAG scheduler,"Batch DAGs across heterogeneous tools","Most-used orchestrator; huge operator catalogue","Operationally heavy, dynamic DAGs are awkward","Astronomer, MWAA, Cloud Composer","airflow dag operator scheduler","Airflow 2.x is much better but consider Dagster/Prefect for new projects."
Dagster,Orchestrator (asset-aware),Asset DAG,"Data assets with lineage, materialisations, type checks","Asset graph + observability; tighter dev-loop than Airflow","Smaller community than Airflow","Dagster Cloud","dagster asset materialisation lineage","Asset-first model fits modern lakehouse / dbt stacks naturally."
Prefect,Orchestrator,DAG / flow,"Pythonic flows, retries, observability","Pythonic, hybrid execution model","Workflow engine vs Dagster choice","Prefect Cloud","prefect flow tasks","Lightweight Pythonic alternative; great for ML pipelines."
Iceberg / Delta Lake / Hudi,Lakehouse table format,Table format,"ACID + schema evolution + time-travel on object storage","Open table formats; engine-agnostic (Iceberg)","Tooling still maturing","Iceberg + Athena / Snowflake / BigQuery; Delta + Databricks; Hudi + EMR","iceberg delta hudi lakehouse parquet","Iceberg has the strongest cross-engine momentum (AWS, Snowflake, BigQuery, Databricks all support reads/writes)."
ClickHouse / Druid / Pinot,Real-time OLAP,Columnar OLAP,"Real-time analytics on streams (product analytics, ad-tech)","Sub-second on huge data; real-time ingest","Limited UPDATE/DELETE; ops complexity (Druid/Pinot)","ClickHouse Cloud, Imply (Druid), StarTree (Pinot)","clickhouse druid pinot olap real-time","ClickHouse is the simplest single-binary; Druid/Pinot for high-cardinality real-time aggregations."
Spark Structured Streaming + Delta,Streaming + lakehouse,Hybrid,"Near-real-time pipelines into lakehouse","Same engine for batch & streaming; ACID via Delta","Higher latency than pure Flink","Databricks","spark streaming delta lakehouse","Pragmatic 'one engine' choice if Spark already exists in stack."
Debezium,CDC,Source connectors,"Change data capture from RDBMS into Kafka","Low-impact log-based CDC for Postgres/MySQL/Mongo/SQL Server","Schema evolution + snapshot tuning required","Kafka Connect, Debezium Server","debezium cdc binlog wal kafka connect","Pair with Iceberg/Delta sink for streaming-to-lakehouse pipelines."
Kafka Connect,Connector framework,Source/Sink,"Move data into/out of Kafka without writing code","Hundreds of connectors; scalable workers","JVM cluster to operate","Confluent Hub","kafka connect source sink","Use distributed mode + offsets in Kafka topics; monitor connector lag."
LakeFS / Nessie,Data versioning,Git-for-data,"Branch / merge / rollback your data lake","Atomic multi-table commits; experiment branches","Adds operational layer","LakeFS, Project Nessie","lakefs nessie data versioning git for data","Useful for ML reproducibility and lakehouse migrations."
Vector DBs (Qdrant/Milvus/Weaviate/Pinecone/pgvector),Vector,Vector search,"Embeddings for RAG, semantic search","ANN indexes (HNSW/IVF), filters","Index build cost, recall tuning","See databases.csv","vector embedding rag hnsw","Start with pgvector; switch to dedicated vector DB once QPS / recall demand it."
Feature stores (Feast / Tecton / Hopsworks),ML serving,Online + offline,"Consistent features for training & serving","Avoids train/serve skew","Operational overhead; not always needed","Feast (OSS), Tecton, Hopsworks","feast tecton hopsworks feature store","Adopt only when multiple models share features and online/offline parity matters."
