Name,Category,Strategy,From,To,Risk,Rollback Plan,Duration Estimate,Gotcha,Related Patterns,Source URL,Last Updated
Strangler Fig,Incremental,Route new requests to new system while old system handles legacy traffic,Monolith,Microservices,Medium — partial failure during dual-running period,Revert routing rules to send all traffic back to monolith,6-24 months for large systems,Must maintain feature parity during transition; data sync between old and new is the hardest part,Anti-Corruption Layer; Branch by Abstraction,https://martinfowler.com/bliki/StranglerFigApplication.html,2025-01
Dual Write,Data Sync,Write to both old and new data stores simultaneously during migration,Legacy DB,New DB,High — inconsistency if one write fails; ordering issues,Stop writes to new system; reconcile from old system as source of truth,2-8 weeks for data layer,Dual writes are inherently unsafe without distributed transactions; prefer CDC instead,Change Data Capture; Outbox Pattern,https://martinfowler.com/articles/patterns-of-distributed-systems/two-phase-commit.html,2025-01
Change Data Capture (CDC),Data Sync,Stream changes from source DB via transaction log to target systems,Legacy DB,New DB/Event Stream,Low-Medium — CDC is eventually consistent; schema changes can break connectors,Stop CDC connector; target system uses last known good state,1-4 weeks setup; ongoing,Schema evolution in source DB can silently break CDC pipelines; monitor connector lag,Outbox Pattern; Event Sourcing,https://debezium.io/documentation/reference/stable/,2025-01
Expand-Contract Schema,Schema,Add new columns/tables first (expand); migrate data; remove old columns (contract),Old Schema,New Schema,Low — backward compatible at each step,Reverse the contract step; re-add old columns,Days to weeks per step,Never drop old columns until all consumers have migrated; use feature flags,Blue-Green Deployment; API Versioning,https://www.prisma.io/dataguide/types/relational/expand-and-contract-pattern,2025-01
Blue-Green Database,Cutover,Maintain two identical databases; switch traffic atomically,Primary DB,New DB,Medium — data divergence during sync window,Switch back to blue database; replay missed writes from green,2-6 weeks,Bidirectional replication is complex; prefer unidirectional with brief read-only cutover window,Blue-Green Deployment; Expand-Contract,https://aws.amazon.com/blogs/database/blue-green-deployments-for-amazon-aurora-mysql/,2025-01
Parallel Run,Validation,Run old and new systems simultaneously; compare outputs; serve from old,Legacy System,New System,Low — old system serves all traffic; new system is shadow,Stop parallel run; no user impact since old system is primary,4-12 weeks validation period,Comparing outputs is harder than it sounds — timestamps and IDs will differ; normalize before comparing,Strangler Fig; Feature Flag,https://martinfowler.com/bliki/ParallelChange.html,2025-01
Trickle Migration,Data,Move data in small batches over time to avoid big-bang risk,Old Store,New Store,Low per batch — but total duration increases risk of schema drift,Stop trickle; reconcile what has migrated vs what hasn't,Weeks to months depending on volume,Must handle records modified after migration; need reconciliation pass at the end,CDC; Dual Write,https://aws.amazon.com/blogs/database/best-practices-for-migrating-mysql-databases-to-amazon-aurora-mysql/,2025-01
Feature Flag Migration,Incremental,Use feature flags to gradually shift traffic from old to new implementation,Old Code Path,New Code Path,Low — instant rollback by flipping flag; % rollout controls blast radius,Flip flag back to old implementation (instant),2-8 weeks for full rollout,Feature flag debt accumulates; schedule flag cleanup after migration completes,Strangler Fig; Canary Deployment,https://launchdarkly.com/blog/what-are-feature-flags/,2025-01
API Version Migration,API,Run old and new API versions simultaneously; deprecate old over time,API v1,API v2,Medium — maintaining two versions doubles test surface,Keep v1 running longer; communicate extended deprecation timeline,3-12 months for consumer migration,Set deprecation headers from day 1; monitor v1 usage to know when safe to remove,Expand-Contract; Strangler Fig,https://www.postman.com/api-platform/api-versioning/,2025-01
Zero-Downtime Cutover,Cutover,Atomic switch from old to new with no service interruption,Old System,New System,High — requires perfect sync; any missed writes cause data loss,Reverse DNS/routing to old system; replay from WAL/CDC,Hours for cutover event (weeks of prep),Practice the cutover multiple times in staging; have a clock-based abort threshold,Blue-Green; Expand-Contract,https://aws.amazon.com/blogs/database/achieve-minimum-downtime-migration-from-amazon-rds-mysql-to-amazon-aurora-mysql/,2025-01
Database Sharding Migration,Data,Redistribute data across new shard topology,Single DB / Old Shards,New Shard Layout,High — resharding while serving traffic requires careful coordination,Revert shard map to old topology; replay missed writes,2-8 weeks depending on data volume,Consistent hashing with virtual nodes minimizes data movement; test with shadow traffic first,Consistent Hashing; Trickle Migration,https://vitess.io/docs/user-guides/migration/,2025-01
Monolith Decomposition,Architecture,Extract bounded contexts from monolith into separate services,Monolith,Microservices/Modular Monolith,High — shared database and entangled code make extraction difficult,Keep extracted service but route traffic back to monolith code path,3-18 months per service extraction,Start with the least entangled domain; extract data layer before code layer,Strangler Fig; Anti-Corruption Layer; DDD,https://martinfowler.com/articles/break-monolith-into-microservices.html,2025-01
Cloud Provider Migration,Infrastructure,Move workloads from one cloud provider to another,AWS/GCP/Azure,Different Cloud,Very High — different APIs and services; rewrite infrastructure code,Maintain old cloud environment until new is proven stable,6-18 months,Managed services (RDS → Cloud SQL) require the most rework; use Terraform for abstraction,Multi-Cloud; IaC,https://cloud.google.com/architecture/migration-to-gcp-getting-started,2025-01
Queue/Broker Migration,Messaging,Migrate from one message broker to another,Old Broker,New Broker,High — message ordering and exactly-once guarantees differ between brokers,Run old broker in parallel; consumers can switch back,4-12 weeks,Schema registries don't transfer; consumer group offsets need manual mapping,Dual Write; Parallel Run,https://www.confluent.io/blog/migrate-from-rabbitmq-to-confluent/,2025-01
Kubernetes Migration,Infrastructure,Move workloads to Kubernetes from VMs or other orchestrators,VMs/ECS/Swarm,Kubernetes,Medium-High — networking and storage models are fundamentally different,Keep old orchestrator running; shift traffic back via load balancer,2-6 months,Stateful workloads (databases) should often stay on VMs; don't migrate everything,Container; Blue-Green,https://kubernetes.io/docs/setup/best-practices/,2025-01
