Service,Provider,Category,Equivalent AWS,Equivalent GCP,Equivalent Azure,Use Case,Strengths,Weaknesses,Pricing Model,Keywords,Notes
EC2,AWS,Compute (VM),EC2,Compute Engine,Virtual Machines,"General-purpose VMs","Widest selection (incl. ARM Graviton), spot, hibernation","Higher ops burden than serverless","Per-second billing","ec2 vm graviton spot","Default to Graviton (arm64) for ~30% better price/perf; use Spot for fault-tolerant workloads."
ECS / Fargate,AWS,Container,ECS / Fargate,Cloud Run / GKE Autopilot,Container Apps / AKS,"Containers without managing nodes","Tight AWS IAM/networking integration, no node ops (Fargate)","ECS-only ecosystem (vs portable K8s)","Per-task vCPU/memory","ecs fargate container","Use Fargate when you don't want to manage worker nodes; otherwise EKS."
EKS,AWS,Kubernetes,EKS,GKE,AKS,"Managed Kubernetes","CNCF-portable, mature, EKS Auto Mode (2024)","Cost (control plane + nodes), upgrade cadence","Hourly control plane + nodes","eks kubernetes managed control plane","Bottlerocket AMI + Karpenter for cheapest, fastest scaling."
Lambda,AWS,Serverless function,Lambda,Cloud Functions / Cloud Run jobs,Functions,"Event-driven workloads, glue, APIs (low-mid traffic)","No servers, scales to zero, native event sources","Cold starts, 15-minute max, vendor lock-in","Per-request + GB-second","lambda serverless function","Use SnapStart for Java, provisioned concurrency for predictable latency."
S3,AWS,Object storage,S3,Cloud Storage,Blob Storage,"Datalakes, backups, static assets","11×9s durability, lifecycle tiers, strong consistency","Per-request cost; egress fees painful","Per-GB stored + per-request + egress","s3 object storage glacier intelligent tiering","Enable Block Public Access at account level; use Intelligent-Tiering for unknown access patterns."
RDS / Aurora,AWS,Managed RDBMS,RDS / Aurora,Cloud SQL / AlloyDB,Azure Database for *,"Postgres/MySQL/MariaDB/Oracle/SQL Server","Backups, multi-AZ failover, Aurora Serverless v2","I/O & storage cost; vendor extensions limit","Hourly + storage + I/O","rds aurora postgres mysql","Aurora Serverless v2 is great for variable workloads; AlloyDB beats Postgres on analytics."
DynamoDB,AWS,Managed NoSQL,DynamoDB,Firestore / Bigtable,Cosmos DB,"Hyperscale serverless KV/document","Single-digit ms at any scale, on-demand mode","Cost without single-table design; vendor lock-in","RCU/WCU or per-request","dynamodb dax single-table","Use 'on-demand' for spiky workloads; PITR + global tables for DR."
ElastiCache / MemoryDB,AWS,Managed Redis/Memcached,ElastiCache,Memorystore,Azure Cache for Redis,"Managed cache","Zero ops, encryption, multi-AZ","Per-node hourly cost","Hourly per node","elasticache memorydb redis cache","MemoryDB is durable Redis (multi-AZ WAL) for primary store use-cases."
SQS,AWS,Queue,SQS,Pub/Sub Lite (close),Service Bus / Storage Queue,"Async decoupling, retry/DLQ","Serverless, FIFO mode, IAM-integrated","No native broadcast (use SNS+SQS)","Per million requests","sqs queue dlq","Combine with SNS fan-out for one-to-many delivery."
SNS / EventBridge,AWS,Pub/Sub & Event Bus,SNS / EventBridge,Pub/Sub / Eventarc,Event Grid,"Fan-out, partner integrations, scheduled events","Native target catalogue, schema registry","AWS lock-in","Per million events","sns eventbridge eventbridge pipes","EventBridge Pipes give Kafka-like source→target with no code."
Kinesis Data Streams,AWS,Managed log,Kinesis,Pub/Sub,Event Hubs,"Real-time ingestion, click-stream","Auto-scaling on-demand mode","Lower throughput per shard than Kafka","Per shard hour or per record","kinesis stream shard","Use Firehose to land in S3/Redshift without code."
