Name,Category,When to Use,When NOT to Use,Strengths,Weaknesses,Team Size,Operational Cost,Keywords,Notes,Source URL,Source Type,Last Updated
Monolith,Single deployable,"Early product, single team, fast iteration, unclear domain boundaries","Many independent teams competing for one repo/release, needs polyglot scaling","Simple deploy, easy refactor across modules, strong consistency by default, single observability target","Scaling discipline (modules), large blast radius, slow CI as it grows",1–10 engineers,Low,monolith single deployable rails django,"Default for new products. Modularise internally with strict module boundaries (ArchUnit, internal packages).",https://martinfowler.com/bliki/MonolithFirst.html,engineering-blog,2026-04-28
Modular Monolith,"Single deployable, modular",Want monolith ops simplicity but need clear domain boundaries to prepare for future split,If team is already split with conflicting release cadences,Strong domain boundaries inside one process; can split later,Discipline required to avoid 'big ball of mud',5–30 engineers,Low,modular monolith hexagonal ddd,Use module-internal package visibility + ArchUnit/Spectral/Dependency Cruiser to enforce boundaries.,https://martinfowler.com/bliki/MonolithFirst.html,engineering-blog,2026-04-28
Microservices,Distributed,Multiple independent teams with separate release cadences; need polyglot or independent scaling,Tiny teams; unclear domain boundaries; immature observability/CI,"Independent deploys, polyglot, fault isolation","Operational complexity (deploy/observe/secure many services), distributed-system bugs, costlier",30+ engineers,High,microservice independent deploy bounded context,"Don't go below ~1 service per 8-engineer team. Invest in platform (CI/CD, mesh, observability) FIRST.",https://martinfowler.com/articles/microservices.html,engineering-blog,2026-04-28
Serverless (FaaS),Distributed event-driven,"Spiky / unpredictable traffic, glue code, scheduled tasks, event-driven side effects",Steady high RPS where cold starts hurt; long-running CPU work,"Scales to zero, no servers, fine-grained cost","Cold starts, vendor lock-in, debugging/local-dev story",Any size,Variable,lambda cloud functions step functions eventbridge,Pair Lambda + EventBridge + Step Functions for event-driven without K8s.,https://docs.aws.amazon.com/lambda/latest/dg/welcome.html,official-docs,2026-04-28
Event-Driven Architecture,Distributed async,Loose coupling between services; complex workflows; need to broadcast state changes,Synchronous request/response with strict latency SLOs,"Loose coupling, scalability, audit trail, fan-out","Eventual consistency, harder to reason about, requires schema discipline",Any,Medium-High,event driven kafka eventbridge async,Combine with schema registry (Confluent / Buf / EventBridge Schema Registry); design events as past-tense facts.,https://martinfowler.com/articles/201701-event-driven.html,engineering-blog,2026-04-28
Hexagonal / Ports & Adapters,Code architecture,Want testable domain isolated from frameworks/IO,Trivial CRUD where indirection adds no value,"Testable domain, easy to swap adapters",Boilerplate; over-engineered if domain is thin,Any,N/A,hexagonal ports adapters clean onion,"Pair with DDD bounded contexts; persist via 'repository' adapter, not active record.",https://alistair.cockburn.us/hexagonal-architecture/,engineering-blog,2026-04-28
Clean Architecture / Onion,Code architecture,"Same as hexagonal, with explicit layered concentric model",Tiny services,Strong dependency direction (inward); high testability,Boilerplate,Any,N/A,clean architecture onion uncle bob,Slight over-prescription vs hexagonal; pick one and be consistent.,https://blog.cleancoder.com/uncle-bob/2012/08/13/the-clean-architecture.html,engineering-blog,2026-04-28
Domain-Driven Design (DDD) / Bounded Contexts,Strategic + tactical,Complex business domain with multiple subdomains,Simple CRUD,Aligns code with business; clear ownership; basis for service split,Steep learning curve; requires domain experts on the team,5+,N/A,ddd domain driven bounded context aggregate,Strategic DDD (context maps) > tactical patterns. Use ContextMaps to plan microservice splits.,https://martinfowler.com/bliki/DomainDrivenDesign.html,engineering-blog,2026-04-28
CQRS + Event Sourcing,Distributed data,"Audit-heavy domains, complex temporal queries, very read/write asymmetric",Simple CRUD with no audit need,"Full history, replay, separate read/write scaling","Eventual consistency, schema evolution, ops complexity",5+,High,cqrs event sourcing axon eventstore,Combine with snapshots & projections; choose only when audit/temporal queries are core.,https://learn.microsoft.com/en-us/azure/architecture/patterns/cqrs,official-docs,2026-04-28
Service Mesh + Microservices,Distributed,"Many services on K8s needing mTLS, retries, traffic shifting, observability without code changes",Few services; latency-critical hot paths,Cross-cutting concerns out of code; consistent policy,Sidecar overhead; ops complexity,30+,High,istio linkerd cilium ambient mesh mtls,Linkerd for simplicity; Istio Ambient or Cilium Mesh to reduce sidecar overhead via eBPF.,https://martinfowler.com/articles/microservices.html,engineering-blog,2026-04-28
BFF (Backend for Frontend),API,Multiple clients (web/mobile/IoT) with divergent shape needs,Single client,Tailored APIs per client; insulates clients from backend churn,Duplicated aggregation across BFFs; potential N+1,Any,Low-Medium,bff backend for frontend graphql aggregator,GraphQL is a popular BFF technology; tRPC works for TS-only stacks.,https://samnewman.io/patterns/architectural/bff/,engineering-blog,2026-04-28
