Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Server,Use Octane (Swoole / RoadRunner / FrankenPHP),"Persistent worker model gives Node/Java-class throughput","Run 'php artisan octane:start --server=frankenphp' in prod","FPM with cold-boot per request for high QPS APIs","octane:start --server=frankenphp --workers=8","fpm with no opcache preload",High,https://laravel.com/docs/octane
Performance,Enable OPcache + JIT + preloading,"OPcache caches bytecode; JIT (PHP 8) helps CPU-bound paths","opcache.enable=1; opcache.preload=preload.php; opcache.jit=1255","Disable OPcache in prod","opcache.enable=1; opcache.memory_consumption=256","opcache.enable=0",Critical,https://www.php.net/manual/en/book.opcache.php
ORM,Eager load relationships,"Eloquent N+1 is the #1 perf bug","Post::with(['author','comments'])->find($id)","Post::find($id) then ->comments per row","Post::with('comments')->paginate(20)","Post::find($id) then loop ->comments",High,https://laravel.com/docs/eloquent-relationships#eager-loading
ORM,Use chunkById for big datasets,"Avoid loading 1M rows in memory","Model::query()->chunkById(1000, fn($rows) => …)","Model::all()->each(...)","Order::query()->chunkById(500, fn($o) => process($o))","Order::all()->each(fn($o)=>process($o))",High,https://laravel.com/docs/eloquent#chunking-results
Queue,Use Horizon + Redis queues,"Horizon = dashboard + tuning for Laravel queues","php artisan horizon; configure max processes per queue","queue:work in a tmux tab","supervisor.conf running horizon","# manual queue:work without monitoring",High,https://laravel.com/docs/horizon
HTTP,Http::pool / async HTTP,"Built-in Guzzle wrapper has timeout + retries + pool","Http::timeout(2)->retry(3, 100)->get($url)","Http::get($url) with no timeout","Http::pool(fn($p) => [$p->get('/a'), $p->get('/b')])","file_get_contents($url) // no timeout, no retries",High,https://laravel.com/docs/http-client
Validation,Form requests + DTO,"Centralise validation in FormRequest classes","class StoreUser extends FormRequest { public function rules() {...}}","Validate inline inside controller methods","public function store(StoreUser $req) { ... }","Request::validate([...]) inline everywhere",Medium,https://laravel.com/docs/validation#form-request-validation
Errors,Don't swallow exceptions,"Throw typed exceptions; render to ProblemDetail-style JSON","class NotFoundException extends Exception { public function render(Request $r){...}}","catch (Exception $e) { return null; }","throw new NotFoundException()","catch (\\Throwable $e) { /* nothing */ }",High,https://laravel.com/docs/errors
Tooling,Composer 2 + lock,"Composer 2 is much faster; commit composer.lock","composer install --no-dev --no-interaction --prefer-dist in CI","composer update in CI","composer install --no-dev","composer update // changes lockfile in CI",Critical,https://getcomposer.org/
Static analysis,Use PHPStan or Psalm at level 8/9,"Catches huge class of bugs at compile time","./vendor/bin/phpstan analyse --level=8","Skip static analysis","level: 8 in phpstan.neon","# no static analysis",High,https://phpstan.org/
Migrations,Use Laravel migrations only,"Schema must be in code review","php artisan migrate in CI release step","ALTER TABLE in prod via mysql client","Schema::table(...)","ALTER TABLE users ADD … in prod by hand",Critical,https://laravel.com/docs/migrations
Caching,Use cache tags + appropriate driver,"Redis driver supports tags; use them to invalidate","Cache::tags(['users'])->remember(\"u:$id\", 60, fn() => …)","Cache::remember without tag → can't invalidate group","Cache::tags(['users'])->flush()","Cache::flush() // nukes everything",Medium,https://laravel.com/docs/cache#cache-tags
Testing,Pest or PHPUnit + Database transactions,"DatabaseTransactions trait rolls back per test","use Illuminate\\Foundation\\Testing\\RefreshDatabase","Run tests against shared dev DB","RefreshDatabase trait + sqlite testing","# tests pollute dev DB",High,https://laravel.com/docs/testing
