Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
OTP,Build supervision trees,"Let it crash + restart strategy is the BEAM strength","Use Supervisor with appropriate strategy (:one_for_one, :rest_for_one)","Catch every error inside processes","children = [{Worker, []}]; Supervisor.start_link(children, strategy: :one_for_one)","try/rescue everywhere",Critical,https://hexdocs.pm/elixir/Supervisor.html
OTP,Use GenServer for stateful processes,"GenServer abstracts message-passing & state","def handle_call({:get, id}, _from, state) do … end","Roll your own receive loop","def handle_call(:get, _from, state) do {:reply, state, state} end","spawn(fn -> recv_loop(...) end) // hand-rolled",High,https://hexdocs.pm/elixir/GenServer.html
Concurrency,Task.async_stream for parallel IO,"Bounded parallelism with backpressure","Stream.async_stream(items, max_concurrency: 16, &call_remote/1)","Spawn 1 task per item","Task.async_stream(items, &fetch/1, max_concurrency: 32, ordered: false)","Enum.map(items, &Task.async/1) |> Enum.map(&Task.await/1)",High,https://hexdocs.pm/elixir/Task.html
Phoenix,Use Phoenix LiveView,"LiveView gives reactive UI without JS framework for many apps","Use LiveView for stateful UI; channels for realtime","Render react SPAs through Phoenix templates","live ""/orders"", OrdersLive","# react SPA on top of phoenix templates",Medium,https://hexdocs.pm/phoenix_live_view/
Phoenix,PubSub + Presence,"Built-in distributed pub/sub for channels","Phoenix.PubSub.broadcast(MyApp.PubSub, ""topic"", msg)","Hand-roll pub/sub via Redis","Phoenix.PubSub.broadcast(...)","# Redis pubsub from a single node",Medium,https://hexdocs.pm/phoenix_pubsub/
Persistence,Ecto for typed queries + migrations,"Ecto schema + changeset + multi","Validate via Ecto.Changeset","Raw SQL strings in handlers","Repo.transaction(Multi.new() |> Multi.insert(:user, cs))","Repo.query!(""INSERT INTO ..."")",High,https://hexdocs.pm/ecto/
Streaming,Broadway for ingestion pipelines,"Broadway gives backpressured Kafka/SQS/RabbitMQ consumers","Use Broadway for at-least-once consumption pipelines","Hand-roll consumer w/ KafkaEx","def handle_message(_, msg, _) do … end","spawn_link(fn -> consume_forever() end)",Medium,https://hexdocs.pm/broadway/
Error handling,"Use {:ok, x} / {:error, reason} tuples","Idiomatic Elixir pattern","with {:ok, u} <- find(id), {:ok, _} <- save(u), do: {:ok, u}","Raise on expected business errors","case find(id) do {:ok, u} -> ...; {:error, _} -> ... end","raise ""user not found""",High,https://hexdocs.pm/elixir/case-cond-and-if.html#with
Releases,Use mix release for production,"Single self-contained tarball; ERTS bundled","mix release; build in Docker via mix release","Run with mix run in production","mix release; bin/myapp start","mix run --no-halt in prod",High,https://hexdocs.pm/mix/Mix.Tasks.Release.html
Observability,Telemetry + opentelemetry_phoenix,"Telemetry events flow into OTel exporters","Attach telemetry handlers; use opentelemetry-erlang","Use Logger.info as primary observability","OpenTelemetryPhoenix.setup()","Logger.info ""order created""  // only",Medium,https://opentelemetry.io/docs/instrumentation/erlang/
Testing,ExUnit + Mox + StreamData,"Idiomatic stack","Use Mox for behaviour-based mocks; StreamData for property-based","Use 'Mock' library that monkey-patches modules","Mox.expect(MyHTTP, :get, fn _ -> {:ok, %{}} end)","# global mocks via :meck or Mock",Medium,https://hexdocs.pm/mox/
Cluster,Use libcluster for node discovery,"Auto-form clusters in K8s/EC2","libcluster + dns/k8s strategy","Hand-roll Node.connect calls","libcluster strategy: Cluster.Strategy.Kubernetes","Node.connect(:""a@host"") // by hand",Medium,https://hexdocs.pm/libcluster/
