Name,Category,Use Case,Strengths,Weaknesses,Alternatives,Gotcha,Source URL,Last Updated
Feature Store,Data Infrastructure,Serve pre-computed features to ML models at training and inference time with consistency,Single source of truth for features; reduces training-serving skew; feature reuse across teams,Complex infrastructure; cold-start for new features; versioning complexity,Feast; Tecton; Hopsworks; Vertex AI Feature Store; SageMaker Feature Store,Training-serving skew is the #1 silent ML bug — if you compute features differently at training vs serving your model degrades silently,https://feast.dev/,2025-01
Model Registry,MLOps,Version and track ML models with metadata and lineage through their lifecycle,Model versioning; reproducibility; approval workflows; A/B testing support,Adds process overhead; requires team discipline; integration with serving infrastructure,MLflow Model Registry; Weights & Biases; Vertex AI Model Registry; SageMaker Model Registry,A model registry without lineage tracking is just a file store — track data version + code version + hyperparameters,https://mlflow.org/docs/latest/model-registry.html,2025-01
Experiment Tracking,MLOps,Track hyperparameters and metrics and artifacts across ML experiment runs,Reproducibility; comparison across runs; team collaboration; audit trail,Storage costs for artifacts; requires discipline to log everything; tool lock-in,MLflow; Weights & Biases; Neptune; Comet; ClearML,Tracking only metrics without data/code versions makes experiments non-reproducible,https://wandb.ai/site,2025-01
Online vs Offline Serving,Inference,Choose between real-time (online) and batch (offline) model inference,Online: low-latency per-request prediction; Offline: high-throughput batch scoring,Online: infrastructure cost and complexity; Offline: stale predictions,Online: TF Serving; Triton; KServe; vLLM. Offline: Spark; Batch transform,Online serving latency budget must include feature retrieval — a 5ms model with 200ms feature fetch defeats the purpose,https://cloud.google.com/architecture/mlops-continuous-delivery-and-automation-pipelines-in-machine-learning,2025-01
Training-Serving Skew,Anti-Pattern,Detect and prevent differences between training-time and serving-time feature computation,Feature stores eliminate skew; monitoring detects drift; integration tests catch mismatches,Hard to detect in production; manifests as silent accuracy degradation,Feature Store; data validation (Great Expectations; TFX Data Validation),Skew can come from: different code paths for feature computation; different library versions; time-dependent features computed at different times,https://developers.google.com/machine-learning/guides/rules-of-ml#training-serving_skew,2025-01
ML Pipeline Orchestration,Infrastructure,Automate end-to-end ML workflow: data prep → training → evaluation → deployment,Reproducible pipelines; scheduled retraining; dependency management; lineage,Complex setup; debugging distributed pipelines is hard; vendor lock-in,Kubeflow Pipelines; Vertex AI Pipelines; SageMaker Pipelines; Airflow; Dagster; Prefect,Orchestrator choice depends on team size — Airflow for data-eng-heavy teams; Kubeflow for K8s-native teams,https://www.kubeflow.org/docs/components/pipelines/,2025-01
Data Validation,Quality,Validate input data quality before training or serving to catch schema and distribution drift,Catches data bugs early; prevents training on corrupted data; monitors production data quality,False positives if thresholds too tight; requires baseline statistics,Great Expectations; TFX Data Validation; Pandera; Deequ,Data quality issues cause more ML failures than model architecture choices — validate early and often,https://greatexpectations.io/,2025-01
Model Monitoring,Operations,Monitor model performance in production for accuracy degradation and data drift,Catches model decay; enables automated retraining triggers; compliance audit trail,Requires ground truth labels (often delayed); false alarms on normal seasonal changes,Evidently; Fiddler; Arthur; WhyLabs; NannyML,Ground truth delay means you can't measure accuracy in real-time — use proxy metrics (prediction distribution shift) as early warning,https://evidentlyai.com/,2025-01
GPU Resource Management,Infrastructure,Efficiently share GPU resources across training and inference workloads,Cost optimization through sharing; queue-based scheduling; priority tiers,GPU memory fragmentation; scheduling complexity; multi-tenancy isolation,Run:ai; NVIDIA MIG; Kubernetes GPU scheduling; Ray; SkyPilot,GPU utilization in most orgs is 20-30% — time-slicing and MIG can double effective utilization,https://docs.nvidia.com/datacenter/tesla/mig-user-guide/,2025-01
RAG (Retrieval-Augmented Generation),Architecture,Combine LLM generation with relevant document retrieval for grounded and up-to-date responses,Reduces hallucination; uses current data without retraining; interpretable via citations,Retrieval quality is the bottleneck; chunking strategy matters enormously; latency overhead,LangChain; LlamaIndex; Haystack; custom retrieval + LLM,Chunk size and overlap determine RAG quality more than the LLM choice — experiment with 256-1024 token chunks,https://arxiv.org/abs/2005.11401,2025-01
Vector Database,Data Infrastructure,Store and query high-dimensional embeddings for similarity search at scale,Sub-millisecond similarity search; scales to billions of vectors; integrates with ML pipelines,Index building is expensive; approximate results (not exact); operational complexity,Pinecone; Weaviate; Qdrant; Milvus; Chroma; pgvector,ANN (approximate nearest neighbor) means you trade recall for speed — tune nprobe/ef parameters based on your accuracy requirements,https://www.pinecone.io/learn/vector-database/,2025-01
LLM Fine-Tuning,Model Training,Adapt a pre-trained large language model to domain-specific tasks,Better domain performance than prompting alone; smaller model can match larger base model,Expensive compute; catastrophic forgetting risk; needs curated training data,Full fine-tuning; LoRA; QLoRA; PEFT; Prefix tuning,LoRA reduces trainable parameters by 10000x with minimal quality loss — try it before full fine-tuning,https://arxiv.org/abs/2106.09685,2025-01
