Style,Transport,Schema,Streaming,Browser Friendly,Backwards Compatibility,Use Case,Strengths,Weaknesses,Tooling,Keywords,Notes
REST (JSON),HTTP/1.1+/2,"OpenAPI 3.x (optional)",No (single response),Yes,"Path/version + additive fields","Public APIs, CRUD services, BFFs","Universally understood, cacheable, debuggable, ubiquitous client tooling","Verbose; over/under-fetching; no schema enforcement unless OpenAPI is honoured","OpenAPI, Stoplight, Swagger UI, Postman, schemathesis","rest http json openapi swagger","Adopt OpenAPI 3.1 + JSON Schema validation in CI; never break a v1 — version with /v2."
GraphQL,HTTP/WS,"SDL schema",Subscriptions (WS/SSE),Yes,"Field deprecation + non-breaking adds","Polyglot client portfolio with divergent shape needs (BFF replacement)","Single endpoint, client-driven shape, strong typing","N+1 risks, complex caching, query-cost analysis required","Apollo, Hasura, Relay, urql, graphql-codegen","graphql sdl subscription federation apollo","Use 'persisted queries' for security & caching; federate subgraphs for org scale."
gRPC,HTTP/2 (or HTTP/3),Protobuf,"Server / client / bidi streaming",No (needs grpc-web/Connect),"Field tag + reserved","Internal microservice RPC, high-throughput low-latency, polyglot","Tiny binary payload, schema-first, code-gen for many langs, streaming","Browsers need gRPC-Web/Connect, harder to debug (binary)","buf, grpc-go, grpc-java, tonic, ConnectRPC","grpc protobuf streaming buf connect","Use Buf for breaking-change linting; ConnectRPC gives gRPC + REST/JSON from one schema."
gRPC-Web / Connect,HTTP/1.1+/2,Protobuf or JSON,Server streaming only,Yes,Same as gRPC,"gRPC-style RPC from browsers","Browser-compatible, can speak both gRPC and REST","No bidi streaming","Connect, grpc-web","grpc-web connect rpc browser","ConnectRPC generates idiomatic clients (TS/Go/Swift) and supports HTTP/1.1 servers."
WebSocket,TCP via HTTP Upgrade,Application-defined,Bi-directional,Yes,Manual,"Realtime apps (chat, multiplayer, collaborative editing, live trading)","True bi-directional, persistent connection","Stateful (sticky sessions), proxy support varies, scaling needs sticky LB or pub/sub fan-out","ws (Node), Centrifugo, Phoenix Channels, SignalR","websocket ws realtime bidirectional sticky","Pair with Redis/NATS/Centrifugo for horizontal fan-out across nodes."
Server-Sent Events (SSE),HTTP/1.1+,Text 'event-stream',Server → client only,Yes,"Trivial",Live notifications, dashboards, AI streaming responses (LLMs),"Trivial, auto-reconnect built-in, plays nice with proxies","One-way only, no binary, connection limits in HTTP/1.1","EventSource (browser), Hono SSE, FastAPI StreamingResponse","sse server sent events streaming llm","Default for streaming LLM tokens; way simpler than WebSocket when client→server channel isn't needed."
HTTP/2 streaming,HTTP/2,App-defined,"Multiplexed streams",Yes,Same as HTTP,"Multiplexed concurrent requests, server push (deprecated in browsers)","Reduces head-of-line blocking, mandatory for gRPC","Server push largely removed; complexity vs HTTP/1.1","Most servers support natively","http2 multiplex priority","Don't 'enable HTTP/2' on h1 frameworks without checking proxies (ALB, NLB, NGINX) end-to-end."
HTTP/3 (QUIC),UDP (QUIC),App-defined,Multiplexed,Yes,Same as HTTP,"Mobile-first APIs, low-latency over lossy networks","Faster handshake, no head-of-line blocking at transport, connection migration","Middleboxes/CDNs still catching up; UDP often firewalled","Cloudflare, Caddy, NGINX (mainline), Envoy","http3 quic udp 0-rtt","Most useful at the edge (CDN→browser); internal mesh traffic rarely benefits."
WebHooks,HTTP POST,JSON (provider-defined),N/A,Yes (callbacks),"Versioned events","Push notifications from SaaS to your service","Simple, decoupled, easy to consume","Delivery is at-least-once; signature verification required; receivers must be idempotent","Svix, Hookdeck, hookbin","webhook callback hmac signature retry","Always verify HMAC signatures + use idempotency keys; offload to a queue immediately."
WebSub / ActivityPub,HTTP push,JSON-LD,N/A,Yes,Schema-additive,"Federated apps, social, RSS-modern alternatives","Decentralised, open standards","Niche; ecosystem smaller","Mastodon, Lemmy reference impls","webhub activitypub fediverse pubsubhubbub","Use when building federated/decentralised social systems."
JSON-RPC 2.0,HTTP/WS,"Loose JSON",Optional,Yes,Manual,"Internal RPC where Protobuf is overkill; blockchain nodes; LSP / MCP","Trivial spec, batch requests","No schema enforcement, no streaming standard","Vendor SDKs","jsonrpc rpc lsp mcp","Used by Ethereum nodes, LSP, and MCP — pick when REST verbs feel wrong but Protobuf is too heavy."
SOAP / XML-RPC,HTTP,XML/XSD/WSDL,No,Yes,WSDL versioning,"Legacy enterprise integrations","Strong typing (WSDL), WS-* features (security, transactions)","Verbose, slow, hard to debug, dying","Legacy SDKs","soap wsdl xml legacy enterprise","Only if integrating with a legacy system; never choose for greenfield."
