Name,Strategy,Topology,Eviction,Consistency,Use Case,Strengths,Weaknesses,Pitfalls,Keywords,Notes
In-process LRU cache (Caffeine/Guava/Ristretto/lru-cache),In-memory per-instance,Per-process,LRU/W-TinyLFU,Local only,"Hot config, tiny lookups, request-scoped memoisation","Sub-microsecond, zero network, no infra","No cross-instance coherence; doubles memory per replica","Stale data after writes; size sprawl","caffeine guava ristretto lru in-process","Caffeine is the gold standard on JVM (W-TinyLFU); Ristretto on Go."
Redis cache (single + replica),"Cache-aside / write-through",Primary + replicas,LRU/LFU/TTL,Strong per-key (single shard),"Session store, cached query results, rate-limit, distributed locks","Sub-ms over network, rich data types, ubiquitous tooling","Memory cost; cluster mode has multi-key constraints","Hot keys on single shard; expiry-driven stampedes","redis cache lru lfu cache-aside","Use 'EXPIRE' with jitter and 'SET NX EX' for distributed locks (with caution)."
Redis Cluster,Sharded cache,Hash slots across N shards,LRU/LFU per shard,Strong per-key,"Hyperscale cache, multi-tenant","Horizontal scale, automatic failover","Multi-key ops require hash tags; cross-slot transactions impossible","Bad hash tag design causes hot shards","redis cluster shard hash slot","Co-locate related keys with hash tags '{user:42}:profile'."
CDN edge cache (Cloudflare/Fastly/CloudFront/Akamai),Edge cache,Global PoPs,Tunable per-rule,Eventual,"Static assets, public JSON APIs, image transforms","Drops origin load 90%+; lowest latency to user","Invalidation latency; cache-key design errors leak data between users","Caching authenticated responses leaks PII","cdn edge cloudflare fastly cloudfront","Always set 'Vary' / 'Cache-Control' explicitly; never rely on defaults for auth'd routes."
HTTP cache (Cache-Control + ETag),Per-response,Browser + intermediaries,Per directives,Strong with ETag revalidate,"Public APIs, static assets, conditional GETs","Free; standardised","Misuse causes inconsistency","Forgetting 'Cache-Control: private' on per-user data","http cache-control etag if-none-match","Use 'stale-while-revalidate' / 'stale-if-error' for resilience."
Read-through (CDN / Hazelcast / Apollo)",Cache loads on miss,Library or distributed grid,Tunable,Configurable,"Repeatable expensive computations","Application code is simpler (single API)","Coupled to cache library; thundering herd risk","Concurrent miss → many origin calls; need request coalescing","read-through hazelcast apollo loader","Always wrap loaders with single-flight / coalescing to avoid stampedes."
Write-through cache,Write to cache & DB synchronously,Sidecar to DB,Tunable,Strong,"Datasets where reads dominate but writes must be visible immediately","No stale reads after writes","Doubles write latency; both stores must be available","Partial failure inconsistency; treat as transactional outbox","write-through cache","Combine with idempotency to handle partial-failure retries."
Write-back / write-behind cache,Buffer writes; async flush,Cache → DB,Tunable,Eventual,"High-throughput writes where loss of last seconds is acceptable","Maximum write throughput; smooths spikes","Risk of data loss on crash; complex recovery","Don't use for money/audit data","write-back write-behind","Pair with WAL / persistent queue if data loss is unacceptable."
Materialized view / projection,Pre-compute & store,DB/warehouse,Refresh policy,Eventual,"Dashboards, leaderboards, search","Reads are O(1); offloads aggregation","Refresh cost; stale-window","Schema drift; missing invalidation","materialized view projection precompute","Use event-driven refresh (CDC) when possible."
Negative caching,Cache 'not found',Any layer,Short TTL,Eventual,"DNS, auth lookups, expensive lookup-misses","Prevents repeated expensive lookups for non-existent keys","Risk of caching a transient miss as permanent","Always use short TTL (seconds)","negative cache 404 cache","Set TTL ≪ positive cache TTL."
Bloom filter / Cuckoo filter,Probabilistic membership,Co-located with cache/store,N/A,Approx (no false negatives),"Avoid expensive lookups for definitely-missing keys (e.g., DB row exists)","Tiny memory; sub-µs check","False positives need fallback","Sizing for target FPR; resizing requires rebuild","bloom filter cuckoo membership","RedisBloom & many DBs (Cassandra) ship one. Tune FPR to ~1%."
"L1+L2 hybrid (in-process + Redis)",Two-tier cache,"Per-pod L1, shared L2",Tiered TTL,Eventual,"Reduce Redis QPS while keeping cross-instance coherence (mostly)","Best price/perf; 99% in-process hit rate possible","Stale L1 after invalidations; coherence is 'soft'","Use Pub/Sub or short L1 TTL to bound staleness","l1 l2 caffeine + redis hybrid","Common pattern: 60s L1 TTL + Redis pub/sub busts on writes."
