Name,Category,Language,Provider Coverage,State Management,Strengths,Weaknesses,Use Case,Keywords,Notes,Source URL,Source Type,Last Updated
Terraform / OpenTofu,Declarative IaC,HCL,All major + community (~3000 providers),"Backend (S3+DynamoDB, Cloud, etc.)","Provider breadth, state-driven, plan/apply workflow, mature ecosystem","HCL is limited (logic/loops via tricks), state file can corrupt, slow plans on huge envs",General-purpose multi-cloud infra,terraform opentofu hcl plan apply,OpenTofu (Linux Foundation) is a drop-in fork after HashiCorp BSL relicense; pin provider versions strictly.,https://developer.hashicorp.com/terraform/docs,official-docs,2026-04-28
Pulumi,Declarative IaC (general-purpose lang),TS/Python/Go/C#/Java,Same providers as Terraform + native cloud SDKs,"State backend (Pulumi Cloud, S3, etc.)","Use real programming language (loops, abstractions, tests), strong typing","Smaller community than Terraform, state still required",Teams with strong dev culture; complex generators,pulumi typescript python state,Excellent for platform engineering teams that want unit tests on infra.,https://www.pulumi.com/docs/,official-docs,2026-04-28
AWS CDK,IaC (compiles to CFN),TS/Python/Java/C#/Go,AWS only (CDK for Terraform exists but separate),CloudFormation backend,"L2/L3 constructs are very productive, integrates with AWS console events","AWS-only, drift detection limitations",Pure-AWS shops,cdk cloudformation aws constructs,Use 'aws-cdk-lib v2' + Projen for repeatable project scaffolds.,https://docs.aws.amazon.com/cdk/v2/guide/home.html,official-docs,2026-04-28
CloudFormation,Declarative IaC (AWS),YAML/JSON,AWS only,Native (stack),"Native AWS, no extra tooling, drift detection, change sets","Verbose, slow, limited cross-account/region orchestration",Pure-AWS shops avoiding extra deps,cloudformation aws yaml stack,Prefer CDK or Terraform unless you specifically need stack-set features.,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/,official-docs,2026-04-28
Bicep,Declarative IaC (Azure),Bicep DSL,Azure only,ARM backend,"Cleaner than ARM JSON, native Azure, strong typing",Azure only,Pure-Azure shops,bicep arm azure,Azure equivalent of CDK in spirit; transpiles to ARM.,https://learn.microsoft.com/en-us/azure/azure-resource-manager/bicep/,official-docs,2026-04-28
Ansible,Procedural config mgmt,YAML,All (via modules),None (push-based),"Agentless (SSH/WinRM), huge module catalogue, ad-hoc & playbook modes",Not great for full lifecycle infra creation; ordering bugs,"Server config, app deploys to VMs",ansible playbook agentless ssh,"Pair with Terraform (TF for infra creation, Ansible for in-VM config).",https://docs.ansible.com/ansible/latest/,official-docs,2026-04-28
Chef / Puppet / Salt,Procedural config mgmt,Ruby DSL / Puppet DSL / YAML,All,Server (Chef/Puppet) / minion (Salt),Strong for fleet config at scale,Heavyweight; Chef/Puppet declining in modern stacks,Legacy enterprise environments,chef puppet salt config management,Mostly legacy in 2025; Ansible + immutable images preferred for new work.,https://docs.chef.io/,official-docs,2026-04-28
Crossplane,K8s-native IaC,YAML (CRDs) / Compositions,Same as Terraform via providers,Kubernetes API,"Provision cloud resources via the K8s API, GitOps-friendly","Steeper learning curve, less mature than Terraform",Platform teams already running K8s and GitOps,crossplane kubernetes composition xrd,'Composition' lets you publish an internal abstraction (e.g. 'Database') to product teams.,https://docs.crossplane.io/latest/,official-docs,2026-04-28
Helm,K8s package manager,Go templates,Kubernetes,Release in cluster,"De-facto K8s packaging, huge chart ecosystem",Templating gets ugly fast,Distributing apps & ops tools to K8s,helm chart values release,For internal apps prefer Kustomize or pure manifests + ArgoCD; use Helm for upstream tools.,https://helm.sh/docs/,official-docs,2026-04-28
Kustomize,K8s overlays,YAML,Kubernetes,N/A,"Pure YAML, no templating, base+overlay model",Limited logic; complex overlays get hard to read,Per-env K8s manifest variations,kustomize overlays bases,Built into 'kubectl' since 1.14; pairs naturally with ArgoCD.,https://kustomize.io/,official-docs,2026-04-28
Packer,Image builder,HCL/JSON,All major clouds,N/A,Bake immutable AMIs / images / containers,Slower than runtime config; needs pipeline integration,"Golden images, immutable infra",packer ami immutable,Use Packer + Ansible provisioner for repeatable golden images.,https://developer.hashicorp.com/packer/docs,official-docs,2026-04-28
Vagrant,Local VM provisioning,Ruby DSL,VirtualBox/Docker/etc.,N/A,Reproducible local dev environments,VM weight; less common since Docker Compose,"Onboarding, legacy cross-platform dev",vagrant virtualbox local dev,Largely superseded by Dev Containers + Docker Compose.,https://developer.hashicorp.com/vagrant/docs,official-docs,2026-04-28
