Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Source URL,Last Updated
Standard,Target C++20 minimum (C++23 where available),"Modern C++ removes most footguns (concepts, ranges, coroutines, std::span)",-std=c++20 (or 23) in toolchain,Stay on C++14 for new code,add_compile_options(-std=c++20),-std=c++14 // for new project,High,https://en.cppreference.com/w/cpp/20,https://en.cppreference.com/w/,2026-04-28
Memory safety,RAII everywhere,No raw new/delete in app code; smart pointers or stack,unique_ptr / shared_ptr / vector / span,Raw new/delete in business code,auto p = std::make_unique<Foo>();,Foo* p = new Foo(); … delete p;,Critical,https://isocpp.github.io/CppCoreGuidelines/CppCoreGuidelines#R-raii,https://en.cppreference.com/w/,2026-04-28
Build,Use CMake (>=3.20) + presets,CMakePresets.json gives reproducible local/CI configs,cmake --preset=release; cmake --build --preset=release,Custom Makefiles per developer,CMakePresets.json,# random Makefile per developer,High,https://cmake.org/cmake/help/latest/manual/cmake-presets.7.html,https://en.cppreference.com/w/,2026-04-28
Build,Use Conan or vcpkg for deps,System packages are non-portable,vcpkg.json with versioned dependencies,FetchContent everything by hand,vcpkg.json + manifest mode,ExternalProject_Add per dep,Medium,https://learn.microsoft.com/vcpkg/,https://en.cppreference.com/w/,2026-04-28
Sanitizers,Build with ASan/UBSan/TSan in CI,Catches memory & threading bugs,"-fsanitize=address,undefined,thread (one at a time)",Test only with optimised release builds,cmake --preset=asan && ctest,# only release builds in CI,Critical,https://clang.llvm.org/docs/AddressSanitizer.html,https://en.cppreference.com/w/,2026-04-28
Concurrency,Prefer std::jthread / std::stop_token,Joinable thread + cooperative cancellation,std::jthread t([](std::stop_token st){ while(!st.stop_requested()) … });,std::thread without join leaks,std::jthread t(...);,std::thread t(...); // never join,High,https://en.cppreference.com/w/cpp/thread/jthread,https://en.cppreference.com/w/,2026-04-28
Concurrency,Use std::atomic + lock-free patterns where appropriate,For simple flags / counters,std::atomic<int> counter{0},Use mutex for atomic int counter,"counter.fetch_add(1, std::memory_order_relaxed)",mutex_; ++count_;,Medium,https://en.cppreference.com/w/cpp/atomic/atomic,https://en.cppreference.com/w/,2026-04-28
Coroutines,Use co_await for async IO,"C++20 coroutines unify async APIs (Boost.Asio, cppcoro, libunifex)",Asio's awaitable<T> + co_await,Callback hell / future.then chains,awaitable<int> read_some(...) { co_return co_await sock.async_read(...); },"sock.async_read(buf, [](err, n){ /* nested cb */ })",Medium,https://en.cppreference.com/w/cpp/language/coroutines,https://en.cppreference.com/w/,2026-04-28
HTTP server,Use Drogon or Crow for HTTP services,"Both are async, header-light, Boost-free",Drogon for HTTP/JSON; gRPC C++ for internal RPC,Hand-roll on raw sockets,drogon::HttpAppFramework::instance().run(),// raw sockets + select() loop,Medium,https://github.com/drogonframework/drogon,https://en.cppreference.com/w/,2026-04-28
Networking,Use Boost.Asio (or io_uring on Linux),Asio is the de-facto async IO; io_uring for top-tier Linux perf,"co_spawn(io_ctx, handler, detached)",epoll loop hand-rolled,auto ex = co_await this_coro::executor;,epoll_wait + per-fd state machine by hand,Medium,https://www.boost.org/doc/libs/release/doc/html/boost_asio.html,https://en.cppreference.com/w/,2026-04-28
Logging,Use spdlog,"Header-only, fast, async sinks, fmt-based","spdlog::info(""order {} created"", oid);","fprintf(stderr, ...) for production","spdlog::info(""order {} created"", oid);","fprintf(stderr, ""created %d\n"", oid);",Medium,https://github.com/gabime/spdlog,https://en.cppreference.com/w/,2026-04-28
Testing,GoogleTest or Catch2,Industry-standard test frameworks,"TEST(SuiteName, TestName) { EXPECT_EQ(...); }",Hand-rolled assert macros,"TEST_F(Fixture, DoesThing) { ... }",#define ASSERT(x) if(!(x)) abort(),High,https://github.com/google/googletest,https://en.cppreference.com/w/,2026-04-28
Static analysis,clang-tidy + cppcheck in CI,Catches large class of common bugs,"clang-tidy with bugprone-*,cert-*,modernize-* checks",No static analysis,"clang-tidy --checks=bugprone-*,cert-*,performance-*",# no static analysis,High,https://clang.llvm.org/extra/clang-tidy/,https://en.cppreference.com/w/,2026-04-28
Format,clang-format and consistent style,Auto-format in pre-commit,clang-format -i with .clang-format committed,Hand-format reviews,format on save,# arguments about brace style in PRs,Medium,https://clang.llvm.org/docs/ClangFormat.html,https://en.cppreference.com/w/,2026-04-28
Packaging,Strip + distroless containers for binaries,Container images for C++ should be tiny,FROM gcr.io/distroless/cc-debian12,FROM ubuntu:22.04 + ~1GB image,"COPY app /; ENTRYPOINT [""/app""]",apt-get install everything; bake huge image,Medium,https://github.com/GoogleContainerTools/distroless,https://en.cppreference.com/w/,2026-04-28
