Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Framework,Pekko (Akka fork) for new Apache-licensed projects,"Akka 2.7+ is BSL; Apache Pekko is the OSS-friendly fork","Use org.apache.pekko for new code","Pin to Akka 2.7+ without licence review","libraryDependencies += ""org.apache.pekko"" %% ""pekko-actor-typed"" % …","akka 2.7+ in OSS without BSL paperwork",High,https://pekko.apache.org/
Actors,Use Typed actors,"Untyped (classic) actors are deprecated for new code","Behavior<T> typed actors with explicit message protocols","Untyped Actor with Any messages","Behaviors.receive[Order] { (ctx, msg) => ... }","class MyActor extends Actor { def receive = { case _ => } }",High,https://pekko.apache.org/docs/pekko/current/typed/actors.html
Streams,Pekko Streams for backpressured pipelines,"Reactive-Streams compliant; great for ETL / CDC consumers","Source(...).via(flow).to(sink)","Build a custom Future-based pipeline","Source.fromIterator(...).mapAsync(8)(svc.callRemote)","Future.traverse(items)(svc.callRemote) // unbounded",High,https://pekko.apache.org/docs/pekko/current/stream/index.html
HTTP,Pekko HTTP for typed routes,"Pekko HTTP is Pekko-native; alternatives: http4s","val route = path(""u"" / IntNumber) { id => complete(svc.get(id)) }","Mix Play + Pekko-HTTP","val route = path(...) { complete(...) }","play.api.mvc.Action.async { … } in a Pekko-HTTP service",Medium,https://pekko.apache.org/docs/pekko-http/current/
Effects,Cats Effect or ZIO for FP backends,"Cats Effect 3 / ZIO 2 give pure-FP runtimes with fibers","Use IO[A] / ZIO[R, E, A] end-to-end","Block on Await.result","def get(id: UserId): IO[User]","Await.result(future, 5.seconds)",High,https://typelevel.org/cats-effect/
Errors,Modeled with sealed traits or ZIO error channel,"Avoid throwing exceptions in pure-FP services","Either / EitherT / ZIO[R, E, A]","throw new RuntimeException","def find(id): IO[Either[NotFound, User]]","throw new IllegalArgumentException(...)",High,https://typelevel.org/cats/
Build,sbt with reproducible build,"Use sbt-native-packager + sbt-revolver in dev","sbt clean test compile package","Mix Maven and sbt","Universal/stage in build.sbt","// random Ant scripts",Medium,https://www.scala-sbt.org/
Logging,Logback + scribe (or log4s),"Use SLF4J facade + structured fields","logger.info(""order.created"", ""orderId"" -> oid)","println in production","Logger[F].info(s""order.created $oid"")","println(s""order.created $oid"")",Medium,https://github.com/typelevel/log4cats
Spark / Big data,Use Scala 2.12 / 2.13 matching Spark,"Spark 3.5 supports 2.12 / 2.13; pick to match cluster","Pin scala_version to cluster's","Use Scala 3 with Spark < 4","scalaVersion := ""2.13.12""","scalaVersion := ""3.4.0"" // Spark 3.x not supported",Critical,https://spark.apache.org/docs/latest/
Cluster,Pekko Cluster Sharding for stateful workloads,"Sharded entities = horizontally distributed actor state","ClusterSharding(system).init(Entity(...))","Hand-rolled distributed locks","sharding.init(Entity(typeKey)(ctx => entityBehavior(ctx.entityId)))","cluster + Redis lock by hand",Medium,https://pekko.apache.org/docs/pekko/current/typed/cluster-sharding.html
Testing,ScalaTest + scalacheck + Pekko TestKit,"Property-based + actor TestKit","class S extends AnyWordSpec with Matchers","Java JUnit-style test in Scala","spec ""computes correctly"" in { ... }","// JUnit @Test methods",Medium,https://www.scalatest.org/
