Name,Standard,Category,Engineering Requirement,Verification Method,Gotcha,Penalty,Source URL,Last Updated,Source Type
Audit Logging,SOC2,Logging,Log all access to sensitive data with who/what/when/where/outcome; immutable append-only log store,Automated log review; SIEM alerts; annual audit review,Logs must be tamper-proof — don't store in the same DB as application data; use write-once storage,Financial penalties + loss of SOC2 certification + customer trust,https://www.aicpa-cima.com/topic/audit-and-assurance/audit-and-assurance-greater-than-soc-2,2025-01,
Encryption at Rest,SOC2/HIPAA/PCI,Data Protection,All sensitive data encrypted at rest using AES-256 or equivalent; key rotation every 90 days,Automated checks for unencrypted volumes/buckets; key rotation audit,Default encryption on S3/RDS is not enough — verify application-level encryption for sensitive fields,HIPAA: up to $1.5M/year per violation category; PCI: $5K-100K/month fines,https://csrc.nist.gov/publications/detail/sp/800-175b/rev-1/final,2025-01,
Encryption in Transit,SOC2/PCI,Data Protection,All network communication uses TLS 1.2+ minimum; mTLS for service-to-service; no plaintext secrets in transit,TLS scanner; certificate monitoring; network policy enforcement,TLS 1.0/1.1 are deprecated — ensure all clients support TLS 1.2+; watch for certificate expiration,PCI non-compliance can result in inability to process card payments,https://www.pcisecuritystandards.org/document_library/,2025-01,
Access Control (RBAC/ABAC),SOC2/HIPAA,Authorization,Implement least-privilege access; role-based or attribute-based access control; regular access reviews,Quarterly access reviews; automated permission drift detection,Service accounts often accumulate excessive permissions over time; audit them too,SOC2 audit finding; potential data breach liability,https://csrc.nist.gov/publications/detail/sp/800-162/final,2025-01,
Data Retention and Deletion,GDPR/CCPA,Data Lifecycle,Implement automated data retention policies; support right-to-deletion requests within 30 days,Automated retention enforcement; deletion verification scripts,Backups and replicas must also be purged — deletion from primary DB is not enough,GDPR: up to 4% of global annual revenue or €20M whichever is higher,https://gdpr.eu/right-to-be-forgotten/,2025-01,
Consent Management,GDPR/CCPA,Privacy,Collect explicit consent before processing personal data; maintain consent records; support withdrawal,Consent audit trail; automated compliance checks,Consent must be granular (per-purpose) and freely given; pre-checked boxes are invalid under GDPR,GDPR: up to 4% of global annual revenue,https://gdpr.eu/gdpr-consent-requirements/,2025-01,
Data Breach Notification,GDPR/HIPAA,Incident Response,Notify supervisory authority within 72h of breach discovery (GDPR); 60 days for HIPAA,Incident response runbook; breach detection monitoring; notification templates,72h starts from awareness not occurrence; document the timeline meticulously,GDPR: fines for late notification; HIPAA: $100-$50K per violation,https://gdpr.eu/data-breach-notification/,2025-01,
PCI DSS Network Segmentation,PCI,Network Security,Isolate cardholder data environment (CDE) from other networks; firewall rules; micro-segmentation,Quarterly network scans; annual penetration testing; segmentation verification,Flat networks fail PCI audits; even internal traffic to CDE must be controlled,Loss of ability to process card payments; fines up to $500K per incident,https://www.pcisecuritystandards.org/document_library/,2025-01,
PHI Access Controls,HIPAA,Healthcare Data,Minimum necessary access to Protected Health Information; audit trail for all PHI access,Access log review; automated anomaly detection on PHI access patterns,HIPAA applies to business associates too — your SaaS vendor accessing PHI must also comply,Civil penalties $100-$50K per violation; criminal up to $250K + imprisonment,https://www.hhs.gov/hipaa/for-professionals/security/index.html,2025-01,
Vulnerability Management,SOC2/PCI,Security,Scan for vulnerabilities regularly; patch critical CVEs within 30 days; maintain SBOM,Automated vulnerability scanning (Snyk/Trivy/Grype); SLA tracking for remediation,Container base images accumulate CVEs quickly; automate base image updates,SOC2 audit finding; PCI requires quarterly ASV scans,https://www.pcisecuritystandards.org/document_library/,2025-01,
Change Management,SOC2,Process,All production changes through documented approval process; no direct production access,PR reviews; deployment audit trail; change advisory board for high-risk changes,Emergency changes still need retroactive documentation within 24h,SOC2 audit finding if changes are undocumented,https://www.aicpa-cima.com/topic/audit-and-assurance/audit-and-assurance-greater-than-soc-2,2025-01,
Data Residency,GDPR/Regional,Data Sovereignty,Store and process data in the region specified by regulation; no cross-border transfers without adequacy,Data flow mapping; infrastructure audit; transfer impact assessments,CDN edge caches and log aggregation services can inadvertently transfer data across borders,GDPR: fines for unauthorized cross-border transfers; Schrems II implications,https://gdpr.eu/international-data-transfer-rules/,2025-01,
Secure Software Development,SOC2/PCI,SDLC,Implement secure SDLC: threat modeling; code review; SAST/DAST; dependency scanning,CI/CD pipeline security gates; annual secure coding training,Security scanning must run on every PR not just releases; false positives erode developer trust,SOC2/PCI audit finding; potential vulnerability exposure,https://owasp.org/www-project-samm/,2025-01,
Business Continuity / DR,SOC2,Resilience,Documented and tested disaster recovery plan; RPO/RTO defined per service tier; annual DR drill,Annual DR test with documented results; RPO/RTO measurement,DR plans that aren't tested don't work; paper compliance is not actual resilience,SOC2 audit finding; business risk during actual disaster,https://www.aicpa-cima.com/topic/audit-and-assurance/audit-and-assurance-greater-than-soc-2,2025-01,
Third-Party Risk Management,SOC2,Vendor Management,Assess security posture of all vendors processing sensitive data; maintain vendor inventory; review annually,Vendor security questionnaires; SOC2 report review; contract SLA verification,Sub-processors (your vendor's vendors) also need assessment under GDPR and SOC2,SOC2 audit finding; shared liability for vendor breaches,https://www.aicpa-cima.com/topic/audit-and-assurance/audit-and-assurance-greater-than-soc-2,2025-01,
