Name,Category,Symptom,Root Cause,Why It's Tempting,Fix,Related Patterns,Severity,Keywords,Last Updated
Distributed Monolith,Architecture,"All services must deploy together; one failure cascades everywhere","Tight coupling between services via shared DB, synchronous calls, or shared libraries","Microservices architecture promised independence but teams kept the coupling","Define clear service boundaries with async communication; use API contracts; eliminate shared mutable state","Bounded Context, Event-Driven Architecture, API Gateway",critical,"distributed monolith coupling deploy together cascade shared db",2025-01-15
Shared Database Integration,Integration,"Schema changes break multiple services; teams block each other on migrations","Multiple services read/write the same database tables directly","Fastest way to share data — no API to build","Give each service its own schema/database; use events or APIs for cross-service data; apply CDC for migration","Database per Service, Event-Driven, CDC, Strangler Fig",critical,"shared database integration coupling schema migration",2025-01-15
God Service,Architecture,"One service handles 80%+ of traffic and business logic; single point of failure","Incremental feature additions without decomposition; lack of domain boundaries","Easier to add to existing service than create new infrastructure","Identify bounded contexts; extract services along domain boundaries; use strangler fig pattern","Bounded Context, Strangler Fig, Single Responsibility",critical,"god service monolith single point failure bloated",2025-01-15
Sync-over-Async,Performance,"Thread pool exhaustion; latency spikes under load; cascading timeouts","Blocking synchronous calls wrapped in async frameworks or chained across services","Synchronous is simpler to reason about and debug","Use truly async I/O; apply backpressure; set timeouts and circuit breakers on all remote calls","Circuit Breaker, Bulkhead, Backpressure",warning,"sync over async blocking thread pool exhaustion latency timeout",2025-01-15
Dual Writes,Consistency,"Data inconsistency between database and message broker; lost events","Writing to two systems (e.g. DB + Kafka) without atomicity — one write can fail while the other succeeds","Simpler than setting up outbox/CDC; appears to work in happy path","Use Transactional Outbox pattern; use CDC (Debezium); use event sourcing where writes and events are one operation","Transactional Outbox, CDC, Event Sourcing, Saga",critical,"dual writes inconsistency database broker atomicity outbox",2025-01-15
Chatty Microservices,Performance,"High latency due to many inter-service calls per request; network overhead dominates","Over-decomposed services requiring multiple round-trips to fulfill one user request","Fine-grained services seemed aligned with single responsibility principle","Merge overly granular services; use API composition/BFF pattern; batch calls; cache aggressively","API Gateway, BFF, CQRS, Materialized View",warning,"chatty microservices network latency round trip overhead",2025-01-15
Unbounded Retry,Reliability,"Thundering herd on recovery; downstream overwhelmed; cascading failures","Retry loops without backoff, jitter, or max-attempt limits","Retries seem like the simplest way to handle transient errors","Add exponential backoff with jitter; set max retries; use circuit breakers; implement dead-letter queues","Circuit Breaker, Exponential Backoff, Dead Letter Queue",critical,"unbounded retry thundering herd backoff jitter max attempts",2025-01-15
Missing Idempotency Key,Reliability,"Duplicate orders/payments/messages on retry; data corruption","No deduplication mechanism; retries re-execute side effects","Idempotency adds complexity; happy path works without it","Add idempotency keys to all mutating APIs; use database unique constraints; deduplicate at consumer level","Idempotent Consumer, Transactional Outbox, At-Least-Once Delivery",critical,"idempotency key duplicate retry deduplication side effect",2025-01-15
Premature Microservices,Architecture,"Slow development velocity; excessive operational overhead for team size; unclear boundaries","Adopting microservices before understanding domain boundaries or having the team/infra to support them","Microservices are trendy; architecture astronauting; resume-driven development","Start with a well-structured modular monolith; extract services only when you have clear bounded contexts and operational maturity","Modular Monolith, Bounded Context, Strangler Fig",warning,"premature microservices monolith team size operational overhead",2025-01-15
Log-and-Throw,Observability,"Duplicate log entries for the same error; noise drowns signal; confusing stack traces","Catching an exception, logging it, then re-throwing — each layer logs the same error","Feels safe — 'at least we logged it'","Log at the boundary (entry point) only; use structured error context; propagate errors with context, don't log-and-rethrow","Error Boundary, Structured Logging, Exception Handling",warning,"log and throw duplicate logging noise rethrow exception",2025-01-15
Generic Error Swallowing,Reliability,"Silent failures; data loss; impossible to debug production issues","Catching broad exceptions (catch Exception / catch all) and ignoring or logging without action","Prevents crashes; makes the service 'resilient'","Catch specific exceptions; fail fast on unexpected errors; use error boundaries at well-defined layers; alert on swallowed errors","Fail Fast, Error Boundary, Circuit Breaker",critical,"error swallowing catch all silent failure exception broad",2025-01-15
N+1 Query,Performance,"Endpoint latency grows linearly with collection size; excessive DB queries in traces","ORM lazy-loads relations per row instead of batching","ORMs default to lazy loading; works fine with small datasets","Eager-load relations (JOIN / prefetch_related); use DataLoader for GraphQL; batch IDs in WHERE IN clause","Eager Loading, DataLoader, Query Optimization",warning,"n+1 query orm lazy load dataloader prefetch eager",2025-01-15
Secrets in Environment Variables,Security,"Secrets visible in process listing, container inspect, crash dumps, CI logs","Storing sensitive values as plain-text env vars without encryption or rotation","12-factor app recommends config via env vars; simple to implement","Use a secrets manager (Vault, AWS Secrets Manager, GCP Secret Manager); mount secrets as files; rotate regularly","Vault, KMS, Secret Rotation, Zero Trust",critical,"secrets environment variables env var plaintext vault kms",2025-01-15
Time-Based Cache Invalidation Only,Cache,"Stale data served to users; inconsistency window equals TTL; cache stampede on expiry","Relying solely on TTL for cache freshness without event-driven invalidation","TTL is the simplest caching strategy; works for read-heavy low-consistency needs","Combine TTL with event-driven invalidation (CDC, pub/sub); use cache-aside with write-through; implement stale-while-revalidate","Cache-Aside, Write-Through, CDC, Pub/Sub Invalidation",warning,"cache invalidation ttl stale stampede event driven",2025-01-15
Polling Instead of Events,Messaging,"Wasted resources; delayed reactions; high DB load from repeated queries","Using periodic polling instead of event-driven notifications for state changes","Polling is simpler to implement; no messaging infrastructure needed","Use webhooks, CDC, or message brokers for push-based notifications; reserve polling for legacy integrations only","Event-Driven Architecture, CDC, Webhooks, Message Broker",warning,"polling instead events webhook cdc push notification wasted resources",2025-01-15
