Name,Category,Strategy,Risk,Rollback Time,Blast Radius,Tooling,Gotcha,Source URL,Last Updated
Blue-Green Deployment,Zero-Downtime,Maintain two identical environments; switch traffic atomically via load balancer/DNS,Low — instant rollback by switching back to old environment,Seconds (LB switch) to minutes (DNS),Full environment — all users switch at once,AWS CodeDeploy; Kubernetes Ingress; HAProxy; Nginx,Requires 2x infrastructure during deployment; database schema must be backward compatible,https://martinfowler.com/bliki/BlueGreenDeployment.html,2025-01
Canary Deployment,Progressive,Route a small percentage of traffic to new version; monitor; gradually increase,Low — small blast radius; automated rollback on metric degradation,Seconds to minutes (traffic shift),1-10% of users initially; configurable,Argo Rollouts; Flagger; AWS AppMesh; Istio; LaunchDarkly,Canary metrics need statistical significance — 1% traffic may not surface rare bugs; need sufficient soak time,https://cloud.google.com/deploy/docs/deployment-strategies/canary,2025-01
Rolling Update,Incremental,Replace instances one at a time (or in batches); old and new versions coexist briefly,Medium — partial rollout means mixed versions serving traffic,Minutes to hours (depends on fleet size),Grows incrementally with each batch,Kubernetes default; AWS ECS; Systemd; Ansible,Mixed-version window can cause issues if API contracts change; ensure backward/forward compatibility,https://kubernetes.io/docs/tutorials/kubernetes-basics/update/update-intro/,2025-01
Feature Flags,Conditional,Wrap new code in feature flags; enable per-user/percentage/segment without deploying,Very Low — disable flag instantly without deployment,Instant (flag toggle),Configurable — per user to 100%,LaunchDarkly; Unleash; Flagsmith; Split; ConfigCat; custom,Feature flag debt accumulates fast — schedule cleanup; stale flags become permanent complexity,https://launchdarkly.com/blog/what-are-feature-flags/,2025-01
Dark Launch,Validation,Deploy new code path but don't expose to users; compare outputs with production path,Very Low — new path not serving users; only shadow traffic,Instant (disable shadow path),Zero user impact — shadow only,Scientist (GitHub); Diffy (Twitter); custom comparators,Shadow traffic doubles load on downstream dependencies — use sampling for expensive operations,https://martinfowler.com/bliki/DarkLaunching.html,2025-01
A/B Testing Release,Experimentation,Route users to different versions based on experiment configuration; measure business metrics,Low — experiment groups are controlled and monitored,Minutes (remove from experiment),Defined experiment group (typically 50/50 or smaller),Optimizely; LaunchDarkly; GrowthBook; Eppo; Statsig,Statistical significance requires sufficient sample size and duration — don't call experiments early,https://docs.growthbook.io/,2025-01
Recreate Deployment,Simplest,Stop all old instances; deploy new instances; accept downtime,High — full downtime during deployment; no rollback without redeployment,Minutes to hours (full redeploy),All users — complete outage during deploy,Basic CI/CD; scripts; Kubernetes Recreate strategy,Only acceptable for non-production environments or scheduled maintenance windows,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/#recreate-deployment,2025-01
GitOps,Declarative,Git repository is the source of truth for desired state; automated sync to cluster,Low — revert git commit to rollback; audit trail built in,Minutes (git revert + sync),Depends on deployment strategy used by GitOps controller,ArgoCD; FluxCD; Jenkins X,Drift detection is critical — manual changes to cluster should be prevented or detected and reverted,https://opengitops.dev/,2025-01
Progressive Delivery,Orchestrated,Combine canary + feature flags + automated analysis for fully automated safe releases,Very Low — multi-layered safety with automated rollback,Seconds (automated rollback on metrics),Starts small; expands based on metrics,Argo Rollouts + Prometheus; Flagger + Istio; Spinnaker,Requires mature observability — automated analysis is only as good as your metrics and SLOs,https://www.weave.works/blog/progressive-delivery-by-weaveworks,2025-01
Ring-Based Deployment,Staged,Deploy to concentric rings: internal → dogfood → early adopters → all users,Low — each ring gates the next; issues caught in smaller rings first,Minutes per ring (hold or rollback),Ring 0: internal; Ring 1: 1%; Ring 2: 10%; Ring 3: 100%,Azure DevOps Rings; custom orchestration,Ring promotion criteria must be automated — manual gates slow down releases and create bottlenecks,https://learn.microsoft.com/en-us/azure/devops/migrate/phase-rollout-with-rings,2025-01
Immutable Infrastructure,Deployment Philosophy,Never modify running infrastructure; always deploy fresh instances from versioned artifacts,Low — old artifact is always available for rollback,Minutes (deploy previous artifact),Depends on deployment strategy,Packer; Docker; AMI-based deployments; Terraform,Configuration drift is eliminated but debugging live issues is harder — no SSH to fix in place,https://www.hashicorp.com/resources/what-is-mutable-vs-immutable-infrastructure,2025-01
Database Migration Safety,Data,Separate database migrations from application deployments; expand-contract pattern,Medium — schema changes are the hardest to rollback,Hours to days for data migrations,All users if schema change is backward-incompatible,Flyway; Liquibase; Alembic; Atlas; prisma migrate,Never deploy a backward-incompatible schema change and new code in the same release,https://www.prisma.io/dataguide/types/relational/expand-and-contract-pattern,2025-01
Rollback Strategy,Safety,Pre-planned rollback procedure for every deployment; tested and documented,Depends on strategy — instant for flags; minutes for blue-green; hours for data migrations,Varies by strategy,Same as deployment blast radius,Deployment tooling rollback commands; runbook automation,Rollback must be tested — an untested rollback plan is not a plan; include database rollback scripts,https://cloud.google.com/architecture/application-deployment-and-testing-strategies,2025-01
Deployment Freeze,Process,No deployments during high-traffic periods or critical business events,Low — prevents deployment-caused incidents during critical windows,N/A — no deployment to rollback,N/A,Calendar blocks; CI/CD gate rules; PagerDuty integration,Freeze windows accumulate deployment pressure — keep them short and schedule catch-up releases,https://sre.google/sre-book/release-engineering/,2025-01
Release Train,Process,Fixed-cadence release schedule (e.g. weekly/biweekly); all features ready by cutoff ship together,Low — predictable schedule; well-tested batches,Hours (deploy previous train),All features in the train,CI/CD with branch-based releases; feature branches,Late features that miss the train create pressure to skip testing — enforce the cutoff strictly,https://www.scaledagileframework.com/release-train-engineer/,2025-01
