Name,Category,Severity,Symptom,Root Cause,Mitigation,Communication Template,Postmortem Checklist,Source URL,Last Updated
Severity Matrix Definition,Process,All,"Need to classify incidents by impact and urgency","Lack of standardised severity definitions across teams","Define SEV1-SEV4 with clear criteria: users affected / revenue impact / data loss; publish in runbook","SEV[N] — [Service] — [Impact summary]. Status: Investigating. ETA: [time]. Next update: [time].","1. Timeline of events 2. Root cause 3. Impact scope 4. Detection time 5. Resolution time 6. Action items with owners and deadlines",https://sre.google/sre-book/managing-incidents/,2025-01
IMOC/Incident Commander Role,Process,SEV1-SEV2,"Chaotic incident response with no clear ownership","No designated incident commander; everyone tries to fix simultaneously","Assign IMOC (Incident Manager On Call) rotation; IMOC coordinates and delegates — does NOT debug","IMOC: @[name]. Comms: @[name]. Technical lead: @[name]. Status page updated: [link]","1. Was IMOC paged promptly? 2. Was the right technical lead engaged? 3. Were stakeholders informed within SLA? 4. Was status page updated?",https://sre.google/sre-book/managing-incidents/,2025-01
Database Failover Incident,Infrastructure,SEV1,"Primary database unavailable; all writes failing; read replicas stale","Primary node failure; automatic failover took longer than expected due to large replication lag","Configure tighter replication lag alerts; test failover monthly; use synchronous replication for critical data","SEV1 — Database primary failover in progress. Write operations are degraded. ETA for recovery: [time]. Read traffic is being served from replicas.","1. What was the replication lag at failure time? 2. Did automatic failover trigger? 3. How long until writes resumed? 4. Was data lost? 5. Were connection pools reconfigured?",https://aws.amazon.com/blogs/database/amazon-rds-under-the-hood-multi-az/,2025-01
Kafka Consumer Lag Spike,Messaging,SEV2,"Consumer group falling behind; processing delay exceeding SLA","Under-provisioned consumers; sudden traffic spike; slow consumer processing; rebalancing storms","Add consumers; increase partition count; profile consumer bottleneck; set max.poll.interval.ms appropriately","SEV2 — Message processing delay in [consumer-group]. Current lag: [N] messages / [time] behind. Scaling consumers. No data loss expected.","1. What caused the lag spike? 2. Were there rebalancing events? 3. Was consumer throughput degraded or was it a producer spike? 4. Were downstream systems affected? 5. What's the max acceptable lag?",https://www.confluent.io/blog/kafka-consumer-lag/,2025-01
Memory Leak in Production,Application,SEV2,"Gradual memory increase; eventual OOM kill; service restarts","Memory leak in application code — often unbounded caches or connection pool growth","Heap dump analysis; set memory limits and restart policies; instrument with RSS/heap metrics; use profiler to find allocation source","SEV2 — [Service] experiencing elevated memory usage. Automatic restarts mitigating impact. Investigation in progress.","1. Which process/container was affected? 2. What was the growth rate? 3. Was a heap dump captured before OOM? 4. Was the leak in application code or a library? 5. What's the fix?",https://sre.google/workbook/postmortem-culture/,2025-01
Certificate Expiration,Security,SEV1,"TLS handshake failures; all HTTPS traffic failing to affected endpoints","Certificate expired without renewal; monitoring didn't alert or alert was ignored","Automate cert renewal (cert-manager/ACME); alert at 30/14/7/1 day thresholds; maintain certificate inventory","SEV1 — TLS certificate expired for [domain]. All HTTPS traffic affected. Renewing certificate. ETA: [time].","1. Why wasn't the certificate auto-renewed? 2. Was there an alert? Was it acted on? 3. How many services were affected? 4. What's the inventory of all certificates and their expiry dates?",https://letsencrypt.org/docs/,2025-01
DNS Resolution Failure,Infrastructure,SEV1,"Services cannot resolve hostnames; widespread connectivity failures","DNS provider outage; misconfigured DNS records; TTL too low causing amplification","Use multiple DNS providers; set appropriate TTLs (not too low); cache DNS locally; have IP-based fallback for critical paths","SEV1 — DNS resolution failures detected for [domains]. Impact: [services affected]. Investigating DNS provider status and switching to backup.","1. Was it a provider outage or a config change? 2. Which domains were affected? 3. Were cached DNS records used? 4. What's the TTL configuration? 5. Do we have DNS provider redundancy?",https://aws.amazon.com/route53/faqs/,2025-01
Cascading Failure,Architecture,SEV1,"One service failure causing chain reaction across dependent services","Missing circuit breakers; tight coupling; no fallback paths; shared resource exhaustion","Implement circuit breakers; add timeouts on all RPCs; design fallback responses; use bulkhead isolation","SEV1 — Cascading failure in progress. Origin: [service]. Affected: [list]. Circuit breakers activated. Shedding non-critical traffic.","1. What was the origin service? 2. Which circuit breakers fired? 3. Were bulkheads effective? 4. What was the cascading path? 5. Were there fallback responses?",https://sre.google/sre-book/addressing-cascading-failures/,2025-01
Deployment Rollback,Release,SEV2,"New deployment causing errors; error rate spike above threshold","Bad code change; incompatible database migration; configuration error","Automated canary analysis with auto-rollback; health check gates; feature flags for quick disable","SEV2 — Rolling back deployment of [service] v[version]. Error rate elevated. Previous version being restored. ETA: [time].","1. What changed in the deployment? 2. Was canary analysis running? 3. How quickly was the rollback initiated? 4. Were database migrations reversible? 5. What gate failed to catch this?",https://cloud.google.com/deploy/docs/deployment-strategies,2025-01
Cloud Region Outage,Infrastructure,SEV1,"Entire region unavailable; multi-AZ not sufficient","Cloud provider region-level failure affecting multiple AZs","Multi-region architecture with automatic failover; DNS-based routing; regional isolation","SEV1 — [Cloud Provider] [Region] experiencing outage. Failing over to [backup-region]. Some data may be stale (RPO: [time]).","1. Was multi-region failover automatic? 2. What was the RPO/RTO? 3. Were there data consistency issues? 4. How was traffic rerouted? 5. When was failback safe?",https://aws.amazon.com/blogs/architecture/disaster-recovery-dr-architecture-on-aws-part-i/,2025-01
Rate Limiting Incident,Traffic,SEV3,"Legitimate users being rate limited; false positive blocks","Rate limit thresholds too aggressive; shared IP addresses; sudden legitimate traffic spike","Use adaptive rate limiting; whitelist known partners; implement graduated limits; add rate limit headers","SEV3 — Rate limiting affecting some users on [endpoint]. Adjusting thresholds. Affected users can retry with exponential backoff.","1. Were the limits correctly configured? 2. Were legitimate users affected? 3. Was this a traffic spike or an attack? 4. Are rate limit headers being sent? 5. Should limits be dynamic?",https://cloud.google.com/architecture/rate-limiting-strategies-techniques,2025-01
Data Corruption,Data,SEV1,"Incorrect data in database; downstream systems processing bad data","Application bug writing invalid data; migration script error; race condition","Identify scope of corruption; stop the source; plan data repair from backups/audit logs; notify affected users","SEV1 — Data integrity issue detected in [table/service]. Write operations paused. Assessing scope. No further corrupted writes will occur.","1. What was the source of corruption? 2. How many records affected? 3. Do we have audit logs to identify exact scope? 4. Can we restore from backup? 5. Were downstream consumers notified?",https://sre.google/sre-book/data-integrity/,2025-01
Third-Party API Outage,External,SEV2,"Dependency on external API failing; features degraded","Third-party service outage or degradation; no fallback implemented","Implement circuit breaker for external calls; cache last-known-good responses; have graceful degradation plan","SEV2 — [Third-party service] experiencing issues. [Feature] is degraded. Serving cached/fallback responses where possible.","1. Was the circuit breaker activated? 2. Were cached responses served? 3. Was the degradation graceful? 4. How were users notified? 5. Should we add a second provider?",https://martinfowler.com/bliki/CircuitBreaker.html,2025-01
Blameless Postmortem Process,Process,All,"Incidents repeat because root causes aren't addressed","Culture of blame discourages honest root cause analysis; action items not tracked","Adopt blameless postmortem format; focus on systems not people; track action items in issue tracker with deadlines","N/A — process document","1. Was the postmortem conducted within 48h? 2. Were all stakeholders present? 3. Are action items specific and assigned? 4. Is there a review date? 5. Were previous postmortem actions completed?",https://sre.google/sre-book/postmortem-culture/,2025-01
Status Page Communication,Process,All,"Users don't know about ongoing incidents; support tickets spike","No public status page; or status page not updated during incidents","Maintain public status page (Statuspage/Instatus/Cachet); update within 5 min of SEV1; post RCA within 48h","Status: [Investigating|Identified|Monitoring|Resolved]. Impact: [description]. Next update in [time].","1. Was the status page updated within SLA? 2. Were updates frequent enough? 3. Was the RCA published? 4. Were affected customers notified directly?",https://www.atlassian.com/incident-management/incident-communication,2025-01
