Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Source URL,Last Updated
Concurrency,Use async def all the way down,Mixing sync IO inside async handlers blocks the event loop,Use async DB drivers (asyncpg / SQLAlchemy 2.x async / Tortoise / Motor),Use 'requests' / sync 'psycopg2' / blocking 'open()' inside async endpoints,async def get_user(...): return await repo.get(id),def get_user(...): return requests.get(...).json(),Critical,https://fastapi.tiangolo.com/async/,https://fastapi.tiangolo.com/,2026-04-28
Concurrency,Run blocking code via run_in_threadpool,FastAPI offers a thread-pool for inevitable blocking calls,"await run_in_threadpool(blocking_lib_call, args)",Call blocking IO directly in async handler,"await run_in_threadpool(legacy_call, x)",legacy_call(x) # blocks event loop,High,https://fastapi.tiangolo.com/async/#path-operation-functions,https://fastapi.tiangolo.com/,2026-04-28
Validation,Use Pydantic v2 models,Pydantic v2 is 5–50× faster than v1 (Rust core),Type request/response with BaseModel; use Field for constraints,Validate by hand in handlers,class CreateUser(BaseModel): email: EmailStr,# inline dict + manual checks,High,https://docs.pydantic.dev/latest/migration/,https://fastapi.tiangolo.com/,2026-04-28
DI,Use Depends() for cross-cutting,FastAPI dependency injection is request-scoped & test-friendly,"Define get_db, get_current_user as deps",Singleton globals + module imports,async def me(user = Depends(get_current_user)),# import current_user from globals,Medium,https://fastapi.tiangolo.com/tutorial/dependencies/,https://fastapi.tiangolo.com/,2026-04-28
HTTP,Use httpx instead of requests,"httpx is async-first, HTTP/2-capable, drop-in API",httpx.AsyncClient as singleton with timeouts,Use 'requests' in async code,async with httpx.AsyncClient(timeout=2.0) as c: r = await c.get(url),"r = requests.get(url) # sync, no timeout",High,https://www.python-httpx.org/,https://fastapi.tiangolo.com/,2026-04-28
HTTP,Set client timeouts,httpx default is 5s; for hot paths set tighter timeouts and limits,"httpx.Timeout(connect=1.0, read=2.0)",Use 'timeout=None',"client = httpx.AsyncClient(timeout=httpx.Timeout(2.0, connect=0.5))",httpx.AsyncClient(timeout=None),Critical,https://www.python-httpx.org/advanced/timeouts/,https://fastapi.tiangolo.com/,2026-04-28
ORM,SQLAlchemy 2.x async session,Modern SQLAlchemy 2.x has a clean async API; pair with asyncpg,async with AsyncSession(engine) as s: ... await s.commit(),Use SA 1.x patterns (Session.query),stmt = select(User).where(User.id == id); res = await session.execute(stmt),User.query.filter_by(id=id).first()  # legacy,Medium,https://docs.sqlalchemy.org/en/20/orm/extensions/asyncio.html,https://fastapi.tiangolo.com/,2026-04-28
Migrations,Use Alembic,Alembic = de-facto Python schema migration tool (works w/ SQLAlchemy),alembic revision --autogenerate then review!,Edit DB schema by hand in prod,alembic upgrade head,ALTER TABLE … via psql in prod,Critical,https://alembic.sqlalchemy.org/,https://fastapi.tiangolo.com/,2026-04-28
Tooling,Use uv (or poetry) + pinned lockfile,uv is the fastest Python package manager (Rust); resolves & installs in seconds,uv lock; uv sync in CI; commit uv.lock,pip install -r requirements.txt without hashes,uv add fastapi uvicorn[standard],pip install fastapi  # unpinned,High,https://github.com/astral-sh/uv,https://fastapi.tiangolo.com/,2026-04-28
Tooling,Lint with ruff and type-check with mypy/pyright,ruff replaces flake8/isort/pyupgrade; pyright/mypy give static types,ruff check; ruff format; mypy --strict src,Skip linting/typing in CI,ruff check --fix .,# nothing in CI,High,https://docs.astral.sh/ruff/,https://fastapi.tiangolo.com/,2026-04-28
Settings,Pydantic Settings (BaseSettings),"Centralised, typed config from env / .env / SSM",Settings(BaseSettings) with model_config = SettingsConfigDict(env_file='.env'),os.environ.get scattered across modules,class Settings(BaseSettings): db_url: PostgresDsn,DB_URL = os.environ['DB_URL']  # everywhere,Medium,https://docs.pydantic.dev/latest/concepts/pydantic_settings/,https://fastapi.tiangolo.com/,2026-04-28
Errors,Use HTTPException with structured detail,FastAPI's HTTPException renders proper JSON; use ProblemDetail-style 'detail',"raise HTTPException(404, detail={'code':'user_not_found'})",Return 200 with {success:false} JSON,"raise HTTPException(404, ...)","return {'success': False}, 200",High,https://fastapi.tiangolo.com/tutorial/handling-errors/,https://fastapi.tiangolo.com/,2026-04-28
Observability,OpenTelemetry auto-instrumentation,opentelemetry-instrument wraps FastAPI/SQLAlchemy/httpx,opentelemetry-instrument uvicorn main:app,Bolt on tracing per route,opentelemetry-instrument python -m uvicorn ...,# no tracing,Medium,https://opentelemetry.io/docs/instrumentation/python/,https://fastapi.tiangolo.com/,2026-04-28
Observability,Use structlog for structured logs,JSON logs are queryable; correlation ids propagate naturally,structlog.contextvars.bind_contextvars(request_id=...),print() / logging without structure,"log.info('order.created', order_id=oid, user_id=uid)",print(f'created order {oid}'),Medium,https://www.structlog.org/,https://fastapi.tiangolo.com/,2026-04-28
Server,Run with uvicorn + workers OR gunicorn + uvicorn workers,Production needs >1 worker for CPU-bound parallelism,gunicorn -k uvicorn.workers.UvicornWorker -w $((2*CPU)+1),uvicorn main:app --reload in prod,gunicorn -k uvicorn.workers.UvicornWorker -w 5 main:app,uvicorn main:app  # single worker dev mode,High,https://www.uvicorn.org/deployment/,https://fastapi.tiangolo.com/,2026-04-28
Testing,Use pytest + httpx.AsyncClient,AsyncClient(app=app) hits FastAPI in-process — fast,"async with AsyncClient(app=app, base_url='http://test') as ac",Use TestClient for async-heavy code (it's sync underneath),resp = await ac.get('/users/1'),client = TestClient(app)  # blocks event loop in async tests,Medium,https://fastapi.tiangolo.com/advanced/async-tests/,https://fastapi.tiangolo.com/,2026-04-28
Testing,Testcontainers-python for integration,Spin up real Postgres/Redis/Kafka per session,with PostgresContainer('postgres:16') as pg: ...,Mock the entire DB layer,testcontainers-postgres == 16,sqlite-in-mem 'fakes' postgres,Medium,https://testcontainers-python.readthedocs.io/,https://fastapi.tiangolo.com/,2026-04-28
