Name,Category,Problem,Solution,When to Use,When NOT to Use,Trade-offs,Related Patterns,Source URL,Keywords,Last Updated,Source Type
Saga,Data,Need atomic business transaction across multiple services without distributed 2PC,Decompose into a sequence of local transactions; each step has a compensating action invoked on failure (orchestration or choreography),"Long-running cross-service workflows (order, payment, fulfilment); polyglot persistence","Single-DB transactions, hard real-time invariants requiring strong consistency","Eventual consistency, complex compensation logic, must design for retries & idempotency","Outbox, CQRS, Event Sourcing, Process Manager",microservices.io/patterns/data/saga.html,saga compensating transaction orchestration choreography microservice,2026-01-15,
CQRS,Data,Same data model is forced to serve very different read/write workloads,"Split into separate Command and Query models, possibly with different storage and projections","High read/write asymmetry, complex domain, audit needs, polyglot persistence",Simple CRUD apps with low scale; when team can't operate two models,Eventual consistency between write & read sides; operational complexity,"Event Sourcing, Materialized View, Saga",martinfowler.com/bliki/CQRS.html,cqrs command query separation read model write model,2026-01-15,
Event Sourcing,Data,Need full audit trail and ability to reconstruct state at any point in time,Persist every state change as an immutable event; current state is a fold over events,"Audit/regulatory needs, complex domain, temporal queries, debugging via replay",Simple CRUD; teams new to DDD; very high write throughput where event store is bottleneck,"Schema evolution is hard, snapshots required for performance, eventual consistency on projections","CQRS, Outbox, Snapshot",martinfowler.com/eaaDev/EventSourcing.html,event sourcing append-only event store projection snapshot,2026-01-15,
Transactional Outbox,Data,Need to atomically persist a row AND publish a message without 2PC,Write the message to an 'outbox' table in the same DB transaction; a relay process forwards to the broker,Ensuring at-least-once event publishing for state changes,When using a broker that supports transactions with the DB (rare); for fire-and-forget non-critical events,Adds relay process & duplicate-delivery handling; small write amplification,"Saga, CDC, Idempotent Receiver",microservices.io/patterns/data/transactional-outbox.html,outbox cdc debezium event publish atomic,2026-01-15,
Change Data Capture (CDC),Data,Need a reliable stream of database changes for downstream systems,Tail the DB transaction log (WAL/binlog/oplog) and publish change events to a stream,"Replicating to data warehouse, search index hydration, event-driven side effects, zero-downtime migrations",High-velocity OLTP where WAL pressure becomes a bottleneck without tuning,Schema changes need careful rollout; ordering & exactly-once require care,"Outbox, Event Sourcing",debezium.io/documentation/,cdc debezium binlog wal logical replication kafka connect,2026-01-15,
Circuit Breaker,Resilience,A failing downstream dependency cascades failures and exhausts callers' threads/connections,Wrap remote calls in a state machine (closed/open/half-open) that fails fast when error rate exceeds threshold,Synchronous calls to potentially unhealthy services; protecting tail latency,Calls inside a single trusted process; non-idempotent calls without retry budget,"Adds latency overhead and tuning surface (thresholds, windows, timeouts)","Bulkhead, Retry with Backoff, Timeout",martinfowler.com/bliki/CircuitBreaker.html,circuit breaker hystrix resilience4j fail-fast cascading failure,2026-01-15,
Bulkhead,Resilience,One slow tenant/dependency exhausts a shared thread/connection pool and starves others,"Partition resources (thread pools, connection pools, queues) per tenant or downstream so one bad actor cannot sink the whole service","Multi-tenant gateways, services calling many heterogeneous backends",Single-tenant low-traffic services where partitioning costs > benefit,Lower utilisation; more pools to size & monitor,"Circuit Breaker, Rate Limiting",docs.microsoft.com/azure/architecture/patterns/bulkhead,bulkhead isolation thread pool resource partition tenant,2026-01-15,
Retry with Exponential Backoff + Jitter,Resilience,Transient failures cause unnecessary user-visible errors; naive retries cause thundering herd,Retry with exponentially increasing delay and randomised jitter; cap attempts and total budget,"Idempotent network calls (GET/PUT/DELETE), broker publishes, DB queries",Non-idempotent operations without idempotency keys; user-facing flows where speed matters more,More latency on failure; can amplify load if budgets misconfigured,"Circuit Breaker, Idempotent Receiver, Token Bucket",aws.amazon.com/builders-library/timeouts-retries-and-backoff-with-jitter/,retry exponential backoff jitter thundering herd idempotent,2026-01-15,
Idempotency Key,Resilience,"At-least-once delivery causes duplicate side effects (double charges, double creates)",Caller supplies an opaque key; server stores result keyed by it and replays the response on duplicate requests,"Payments, order creation, any non-GET operation in distributed/eventual systems",Truly read-only or naturally idempotent operations,Storage cost & TTL management; key collision design,"Outbox, Saga",stripe.com/docs/api/idempotent_requests,idempotency key duplicate exactly once at-least-once,2026-01-15,
Leader Election,Coordination,Need exactly one instance to perform a singleton task in a horizontally scaled deployment,Use a consensus-backed lock (Raft/ZAB) or atomic lease in etcd/ZooKeeper/Redis (Redlock with caveats),"Distributed cron, partition assignment, primary failover",When the task can be safely sharded or run on every replica,Split-brain risk if lease/lease-renewal misconfigured; added dependency,"Consensus, Membership",etcd.io/docs/v3.5/dev-guide/api_concurrency_reference_v3/,leader election lease lock raft zookeeper etcd consul,2026-01-15,
