Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Framework,Prefer Fastify over Express for new code,"Fastify is ~2× faster, schema-first (Ajv), and has plugins for everything","Use Fastify with @fastify/swagger, @fastify/jwt, @fastify/redis","Start a new project on Express in 2025 unless required","fastify({ logger: true })","express() // for new microservice",Medium,https://fastify.dev/
Framework,Express: use express@5 + helmet + compression,"If you must use Express, pin v5 + safety/perf middleware","app.use(helmet()); app.use(compression())","Run express@4 unpatched","app.use(helmet({ contentSecurityPolicy: { directives: ... } }))","app.use(express.json()) // and nothing else",High,https://expressjs.com/en/advanced/best-practice-security.html
Concurrency,Don't block the event loop,"Heavy CPU work blocks all requests","Offload CPU work to worker_threads / piscina","Synchronously parse multi-MB JSON in a request","await piscina.run({ data })","JSON.parse(hugeString) // blocks",Critical,https://nodejs.org/en/docs/guides/dont-block-the-event-loop
TypeScript,strict mode + noUncheckedIndexedAccess,"Catches majority of preventable bugs at compile","'strict': true; 'noUncheckedIndexedAccess': true","Allow implicit any","""strict"": true, ""noUncheckedIndexedAccess"": true","""strict"": false",High,https://www.typescriptlang.org/tsconfig#strict
Validation,Use zod (or valibot) at IO boundaries,"Runtime validation must mirror types","z.object({...}).parse(req.body) at the entry of every handler","Trust 'as User' casts on raw input","const Body = z.object({ email: z.string().email() }); Body.parse(req.body)","const body = req.body as User",Critical,https://zod.dev/
HTTP,Reuse HTTP clients (Undici / got)","Use a singleton client; HTTP/2 + connection reuse","const client = new Pool('https://api.example.com')","new client for every request","import { Pool } from 'undici'; const pool = new Pool(...)","await fetch(url) // builds connection each time",High,https://undici.nodejs.org/
HTTP,Set timeouts and AbortController on all outbound calls,"Default fetch has no timeout","new AbortController() with setTimeout for cancellation","fetch(url) without abort","const ctrl = new AbortController(); setTimeout(() => ctrl.abort(), 2000); fetch(url, { signal: ctrl.signal })","fetch(url) // hangs if remote stalls",Critical,https://nodejs.org/api/globals.html#abortcontroller
Errors,Distinguish operational vs programmer errors,"Operational = retriable; programmer = bug","Throw typed errors; map at boundary; never 'swallow' errors","catch(e){} silently","class NotFoundError extends Error { code = 'NOT_FOUND' }","try { ... } catch {} // swallow",High,https://www.joyent.com/node-js/production/design/errors
Async,Always await/return Promises,"'Floating' promises swallow errors","'no-floating-promises' eslint rule on","Fire-and-forget promises in handlers","await sendEmail(user)","sendEmail(user) // unhandled",High,https://typescript-eslint.io/rules/no-floating-promises/
ORM/DB,Prisma or Drizzle for SQL,"Both are type-safe; Drizzle stays close to SQL, Prisma higher-level","Pick one and stick with it; run migrations in CI","Hand-write SQL strings without parameterisation","await prisma.user.findUnique({ where: { id } })","db.query('SELECT * FROM users WHERE id=' + id)",High,https://orm.drizzle.team/
Logging,Use pino (not console.log),"pino is the fastest structured logger; child loggers carry request id","logger.child({ reqId }).info({ userId }, 'order.created')","console.log JSON strings by hand","logger.info({ orderId }, 'created')","console.log(`created ${orderId}`)",Medium,https://getpino.io/
Observability,@opentelemetry/auto-instrumentations-node,"One-line tracing for HTTP/Pino/Postgres/Redis/etc","--require @opentelemetry/auto-instrumentations-node/register","Manually instrument every library","node --require @opentelemetry/auto-instrumentations-node/register dist/server.js","// no tracing",Medium,https://opentelemetry.io/docs/instrumentation/js/automatic/
Build,Use tsx / swc / esbuild — not ts-node in prod,"tsx for dev, build with tsc + swc/esbuild for prod","Build to dist/ and run node dist/server.js","ts-node in production","node --enable-source-maps dist/server.js","ts-node src/server.ts in prod",Medium,https://github.com/privatenumber/tsx
Security,Don't put secrets in environment.ts; use env + schema,"Validate envs with zod/envsafe at boot","const env = z.object({ DATABASE_URL: z.string().url() }).parse(process.env)","process.env.X spread across modules","const env = envSchema.parse(process.env)","const url = process.env.DATABASE_URL!",High,https://github.com/colinhacks/zod
Testing,Use vitest + supertest + Testcontainers,"Vitest is much faster than Jest; supertest for HTTP; Testcontainers for real deps","vitest run --coverage","Hand-rolled test runner","import { test, expect } from 'vitest'","// custom test runner with setTimeout assertions",Medium,https://vitest.dev/
Packaging,Use pnpm workspaces or npm workspaces,"Monorepo dep dedup + fast installs","pnpm install --frozen-lockfile in CI","'npm install' across many packages without workspaces","pnpm -r build","cd a && npm i; cd ../b && npm i; ...",Medium,https://pnpm.io/workspaces
Deployment,Native ESM + node 20 LTS+,"ESM unlocks top-level await; pin LTS","'type':'module' + Node 20+ in CI base image","Mix CJS/ESM ad-hoc","\"type\": \"module\" in package.json","// ESM file requiring CJS without 'esModuleInterop'",Medium,https://nodejs.org/api/esm.html
