Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Source URL,Last Updated
Concurrency,Always pass context.Context,"Cancellation, deadlines and request-scoped values must propagate via context",Take ctx as the first parameter of every blocking function,Use context.Background() inside libraries; ignore Done(),"func Fetch(ctx context.Context, id string) (*User, error) { ... }",func Fetch(id string) *User { ... },High,https://pkg.go.dev/context,https://go.dev/doc/effective_go,2026-04-28
Concurrency,Use errgroup for parallel work,errgroup cancels siblings on first error and waits for all,Use 'golang.org/x/sync/errgroup' for fan-out fan-in,Spawn raw goroutines without WaitGroup or cancellation,"g, ctx := errgroup.WithContext(ctx); g.Go(func() error {...}); g.Wait()",go func(){ doWork() }() // leaks on error,High,https://pkg.go.dev/golang.org/x/sync/errgroup,https://go.dev/doc/effective_go,2026-04-28
Concurrency,Avoid goroutine leaks,Every goroutine must have a clear stop condition,Always select on ctx.Done() in long-running goroutines,Spawn goroutines that block on unbuffered channels with no receiver,select { case <-ctx.Done(): return; case msg := <-ch: ... },go func(){ for { msg := <-ch; handle(msg) } }(),Critical,https://go.dev/blog/pipelines,https://go.dev/doc/effective_go,2026-04-28
HTTP,Reuse http.Client,Default http.Client is safe for concurrent use; per-request clients leak FDs,Construct one http.Client per downstream as a singleton,Create http.Client per request,var client = &http.Client{Timeout: 5*time.Second},"resp, err := http.Get(url) // uses default sloppy client",High,https://pkg.go.dev/net/http,https://go.dev/doc/effective_go,2026-04-28
HTTP,Set timeouts everywhere,Default http.Client has no timeout; goroutines hang forever on a stuck server,"Set Timeout, plus per-Transport DialContext / TLS / ResponseHeader timeouts",Use http.DefaultClient unmodified for outbound calls,"&http.Client{Timeout: 5 * time.Second, Transport: t}",http.Get(url) // unbounded,Critical,https://pkg.go.dev/net/http#Client,https://go.dev/doc/effective_go,2026-04-28
Errors,Wrap errors with %w,Use fmt.Errorf with %w so callers can errors.Is / errors.As,"fmt.Errorf(""fetching user %s: %w"", id, err)","Lose stack/cause: fmt.Errorf(""fetching user: %s"", err)","return fmt.Errorf(""save: %w"", err)","return errors.New(""save failed: "" + err.Error())",Medium,https://pkg.go.dev/errors,https://go.dev/doc/effective_go,2026-04-28
Errors,Define sentinel/typed errors at package boundary,Callers should not parse error strings,Export ErrNotFound or typed error structs implementing Unwrap,"Compare via err.Error() == ""not found""","var ErrNotFound = errors.New(""not found"")","if err.Error() == ""not found"" { ... }",High,https://go.dev/blog/go1.13-errors,https://go.dev/doc/effective_go,2026-04-28
Tooling,Use go modules + vendoring discipline,Pin all deps via go.sum; vendor for reproducibility on air-gapped builds,go mod tidy; go mod verify in CI,Disable module mode; manual GOPATH,go mod tidy && go mod verify,GOPATH=... go install,Medium,https://go.dev/ref/mod,https://go.dev/doc/effective_go,2026-04-28
Tooling,Run staticcheck + go vet + golangci-lint,Standard linters catch ~80% of common Go bugs,"Wire golangci-lint with staticcheck, errcheck, gosec, govet",Skip linters in CI,golangci-lint run ./...,# no linters,High,https://golangci-lint.run/,https://go.dev/doc/effective_go,2026-04-28
Performance,Avoid allocation in hot paths,GC pressure dominates many Go service hot paths,"sync.Pool for byte buffers; bufio.Reader; pre-size slices via make([]T, 0, n)",Concatenate strings in loops; use 'fmt.Sprintf' for hot logging,buf := bufPool.Get().(*bytes.Buffer); defer bufPool.Put(buf); buf.Reset(),"s := """"; for _, x := range xs { s += x }",Medium,https://pkg.go.dev/sync#Pool,https://go.dev/doc/effective_go,2026-04-28
Performance,Profile with pprof in prod,net/http/pprof gives free CPU/heap/goroutine profiles,Mount /debug/pprof on an internal port; 'go tool pprof' against prod,Add print statements to investigate,"import _ ""net/http/pprof""; go http.ListenAndServe(""127.0.0.1:6060"", nil)","fmt.Println(""slow here?"")",Medium,https://pkg.go.dev/net/http/pprof,https://go.dev/doc/effective_go,2026-04-28
gRPC,Use grpc-go with interceptors,"Auth, tracing, metrics, retries belong in interceptors",Chain unary + stream interceptors; OTel + prometheus + auth,Sprinkle observability inside every handler,"grpc.NewServer(grpc.ChainUnaryInterceptor(otelUnary, authUnary, recoveryUnary))",// auth check inside every handler,High,https://github.com/grpc-ecosystem/go-grpc-middleware,https://go.dev/doc/effective_go,2026-04-28
Database,Use database/sql with pgx,pgx is the fastest Postgres driver; works with database/sql or its own pool,Use pgxpool for high-throughput; sqlc to generate type-safe SQL,Use lib/pq for new code,"pool, _ := pgxpool.New(ctx, dsn)","db, _ := sql.Open(""postgres"", dsn)",Medium,https://github.com/jackc/pgx,https://go.dev/doc/effective_go,2026-04-28
Testing,Table-driven tests,Idiomatic Go test pattern,"Define tests as a slice of structs; sub-test via t.Run(name, ...)",Copy-paste similar test bodies,"for _, tc := range cases { t.Run(tc.name, func(t *testing.T){ ... }) }",TestX1; TestX2; TestX3 …,Medium,https://go.dev/wiki/TableDrivenTests,https://go.dev/doc/effective_go,2026-04-28
Testing,Use t.Cleanup,Cleans up resources without defer pyramids,t.Cleanup(func(){ db.Close() }),Defer in test setup helpers,t.Cleanup(func(){ srv.Close() }),defer srv.Close() // outside the test func,Medium,https://pkg.go.dev/testing#T.Cleanup,https://go.dev/doc/effective_go,2026-04-28
Modules,Use internal/ packages,Restrict visibility of API/domain code to your own module,Put non-public packages under internal/,Put domain logic in pkg/ that's importable by anyone,internal/user/service.go,pkg/user/service.go (anyone can import),Medium,https://go.dev/doc/go1.4#internalpackages,https://go.dev/doc/effective_go,2026-04-28
