Name,Category,Delivery,Ordering,Throughput,Latency,Persistence,Replay,Use Case,Strengths,Weaknesses,Cloud Managed Options,Keywords,Notes,Throughput Tier,Latency Tier,Consistency Tier,Cost Tier,Cloud Native
Apache Kafka,Distributed log,At-least-once (exactly-once with idempotent producer + transactions),Per-partition,Very High (millions msg/s),Low (single-digit ms),Durable (configurable retention/compaction),Yes (offset rewind),"Event streaming, CDC backbone, log aggregation, async microservice integration, stream processing source","Massive throughput, durable, ordered per-partition, mature ecosystem (Connect, Streams, ksqlDB)","Operational complexity (ZK history, KRaft now), client tuning surface, no per-message TTL","MSK (AWS), Confluent Cloud, Aiven, Redpanda Cloud",kafka streams kraft connect debezium event log,Use compacted topics for current-state events; partition by entity id for ordering.,very-high,low-ms,tunable,medium,"aws,gcp,azure"
Redpanda,Distributed log,Same as Kafka API,Per-partition,Very High,"Lower than Kafka (single binary, no JVM)",Durable,Yes,Drop-in Kafka replacement with simpler ops,"Single C++ binary, no ZK/JVM, lower p99 latency, full Kafka API",Smaller ecosystem than Kafka itself,Redpanda Cloud,redpanda kafka api seastar single binary,Compelling when ops simplicity matters more than absolute Kafka feature parity.,very-high,sub-ms,tunable,medium,multi
Apache Pulsar,Distributed pub/sub + queue,At-least-once / effectively-once,Per-partition or per-key,Very High,Low,Durable (BookKeeper tiered),Yes,"Multi-tenant streaming, geo-replication, mixed queue+stream workloads","Multi-tenancy, native geo-replication, separates compute (broker) from storage (BookKeeper)",Operational complexity (broker + BookKeeper + ZK),"StreamNative Cloud, DataStax Astra Streaming",pulsar bookkeeper geo-replication tiered storage multi-tenant,Functions provide lightweight stream processing inside the cluster.,very-high,low-ms,tunable,medium,multi
RabbitMQ,Message broker (AMQP),At-most/at-least-once,FIFO per queue,Medium-High,Low,Durable (per-queue),Limited (Streams plugin adds it),"Task queues, RPC patterns, complex routing (topic/headers exchanges), classical work queues","Mature routing semantics, dead-letter exchanges, plugins, Streams (3.9+)",Not a log; throughput lower than Kafka; mirrored/quorum queues need careful tuning,"CloudAMQP, AmazonMQ, Azure RabbitMQ",rabbitmq amqp exchange queue dead letter quorum,Quorum queues replaced classic mirrored queues for durability; Streams plugin for log-style use.,high,low-ms,tunable,low,"aws,azure,multi"
NATS / NATS JetStream,Cloud-native messaging,"At-most-once (core), At-least-once / exactly-once (JetStream)",Per-stream (JetStream),Very High,Sub-ms,Durable (JetStream),Yes (JetStream),"IoT, microservice glue, edge messaging, request/reply at scale","Tiny binary, supersonic latency, simple ops, leaf nodes for edge, K/V & Object store","Smaller ecosystem than Kafka, less BI tooling",Synadia Cloud,nats jetstream leaf node request reply edge,Use JetStream for durability; core NATS for ephemeral pub/sub & RPC.,very-high,sub-ms,tunable,low,multi
"MQTT (Mosquitto, EMQX, HiveMQ)",IoT pub/sub,At-most/at-least/exactly-once (QoS 0/1/2),N/A,High (millions of clients),Low,Optional (broker dep),Limited,"IoT device telemetry, mobile push backends, low-bandwidth networks","Tiny wire format, designed for constrained devices, QoS levels",Not designed for backend-to-backend high-throughput streaming,"HiveMQ Cloud, AWS IoT Core",mqtt iot qos hivemq emqx mosquitto,Bridge MQTT → Kafka/NATS for downstream stream processing.,high,low-ms,tunable,low,"aws,multi"
AWS SQS,Managed queue,At-least-once (FIFO supports exactly-once group),Standard: best-effort; FIFO: per-group,Very High (Standard),tens of ms,14-day max,Limited,"Decoupling AWS workloads, retry/DLQ patterns, batch worker fan-out","Zero-ops, IAM-integrated, dead-letter queues, FIFO mode","FIFO has lower TPS, no native broadcast",SQS (AWS only),sqs aws queue fifo dlq lambda,Pair with Lambda + DLQ + maximum receives for resilient async processing.,very-high,tens-ms,eventual,low,aws
AWS SNS / EventBridge,Pub/sub & event bus,At-least-once,N/A,Very High,tens of ms,Limited / replay via Archive (EventBridge),Yes (EventBridge Archive),"Fan-out events to many AWS targets, SaaS partner integrations, scheduled events","Serverless, native target catalogue, schema registry (EventBridge)","Vendor-lock to AWS, message size limits",SNS / EventBridge,sns eventbridge fanout event bus schema registry,EventBridge Pipes give Kafka-like source→filter→enrich→target with no code.,very-high,tens-ms,eventual,low,aws
AWS Kinesis Data Streams,Distributed log (managed),At-least-once,Per-shard,High,Low,24h-365d retention,Yes,"AWS-native streaming, click-stream, log ingestion","Managed, IAM-integrated, on-demand mode auto-scales","Lower throughput per shard than Kafka, AWS lock-in",Kinesis (AWS only),kinesis data streams shard aws,Use 'on-demand' to avoid manual shard math; 'enhanced fan-out' for multi-consumer.,high,low-ms,eventual,medium,aws
Google Pub/Sub,Pub/sub (managed),At-least-once (exactly-once available),Optional ordering keys,Very High,tens of ms,7-day default (configurable),Yes,"GCP-native event ingestion, cross-region pub/sub","Global, autoscale, push & pull subscribers",GCP lock-in,Pub/Sub (GCP only),pubsub gcp google ordering keys exactly-once,"Pub/Sub Lite gives a cheaper, partitioned, log-style alternative.",very-high,tens-ms,eventual,medium,gcp
