Name,Category,Level,Key Signals,Common Mistakes,Evaluation Criteria,Source URL,Last Updated
Requirements Gathering,System Design,All,"Asks clarifying questions before designing; identifies functional and non-functional requirements; scopes the problem","Jumps straight to solution without understanding requirements; doesn't ask about scale or constraints; over-scopes","Did the candidate ask about: users/scale; read vs write heavy; latency requirements; consistency needs; budget/timeline?",https://blog.bytebytego.com/p/a-framework-for-system-design-interviews,2025-01
Back-of-Envelope Estimation,System Design,Mid-Senior,"Estimates QPS from DAU; calculates storage and bandwidth; identifies bottlenecks with numbers","Uses round numbers without justification; forgets peak vs average; ignores replication/overhead","Are calculations reasonable? Does candidate use numbers to drive design decisions? Little's Law for concurrency?",https://blog.bytebytego.com/p/back-of-the-envelope-estimation,2025-01
High-Level Architecture,System Design,All,"Draws clear component diagram; identifies data flow; separates read and write paths; names technologies with justification","Draws boxes without explaining data flow; picks technologies without justification; single point of failure in design","Is the architecture complete? Are component responsibilities clear? Are choices justified with trade-offs?",https://github.com/donnemartin/system-design-primer,2025-01
Database Schema Design,System Design,Mid-Senior,"Designs schema that supports query patterns; considers denormalization trade-offs; identifies indexes","Normalizes excessively for a read-heavy system; forgets about query patterns; no index planning","Does schema support the identified query patterns? Are hot paths optimized? Is denormalization justified?",https://blog.bytebytego.com/p/a-framework-for-system-design-interviews,2025-01
API Design,System Design,All,"Designs clean RESTful or RPC APIs with proper resource naming; considers pagination and error handling and versioning","Inconsistent naming; no pagination for list endpoints; no error response format; forgets authentication","Are APIs intuitive? Is pagination included? Are error codes meaningful? Is backward compatibility considered?",https://www.postman.com/api-platform/api-design/,2025-01
Scaling Discussion,System Design,Senior-Staff,"Identifies bottlenecks and proposes horizontal scaling; discusses caching layers and CDN and read replicas and sharding","Only mentions vertical scaling; adds complexity without quantifying the need; doesn't discuss trade-offs of sharding","Does scaling approach match the estimated load? Are trade-offs articulated? Is incremental scaling considered?",https://github.com/donnemartin/system-design-primer#scalability,2025-01
Trade-off Analysis,System Design,Senior-Staff,"Explicitly names trade-offs for every major decision; considers 2-3 alternatives before choosing; articulates why-not","Presents one solution as obviously correct; doesn't consider alternatives; ignores operational complexity trade-offs","Does candidate say 'I chose X over Y because Z'? Are trade-offs quantified where possible?",https://blog.bytebytego.com/p/a-framework-for-system-design-interviews,2025-01
Failure Mode Analysis,System Design,Senior-Staff,"Proactively identifies what can fail; designs for graceful degradation; discusses retry/timeout/circuit breaker strategies","Happy path only design; no mention of failure modes; doesn't discuss what happens when a dependency is down","Does candidate identify: network failures; service failures; data inconsistency; cascading failures? Are mitigations concrete?",https://sre.google/sre-book/addressing-cascading-failures/,2025-01
Consistency vs Availability,System Design,Senior-Staff,"Articulates CAP/PACELC trade-offs for their specific system; chooses consistency model per data type not globally","Blanket 'everything is eventually consistent' or 'everything must be strongly consistent'; doesn't differentiate by data type","Does candidate choose different consistency models for different parts of the system? Are choices justified by user experience?",https://en.wikipedia.org/wiki/PACELC_theorem,2025-01
Operational Concerns,System Design,Staff+,"Discusses monitoring and alerting and deployment strategy and runbooks; considers day-2 operations not just day-1 design","No mention of observability; no deployment strategy; doesn't discuss how to debug issues in production","Does candidate discuss: SLIs/SLOs; alerting strategy; deployment (canary/blue-green); on-call considerations?",https://sre.google/sre-book/monitoring-distributed-systems/,2025-01
Cost Awareness,System Design,Staff+,"Considers infrastructure cost in design decisions; identifies expensive components; proposes cost optimization strategies","Designs without any cost consideration; uses the most expensive option for every component; ignores egress costs","Does candidate mention cost trade-offs? Are expensive components (cross-region; GPUs; managed services) justified?",https://www.finops.org/framework/,2025-01
Communication and Structure,Behavioral,All,"Structures answers clearly; uses STAR format for behavioral questions; communicates technical concepts to non-technical stakeholders","Rambling answers without structure; too much detail on irrelevant aspects; can't simplify for non-technical audience","Is the answer structured? Does candidate adapt communication to the audience? Do they signal when they're going deep?",https://www.levels.fyi/blog/how-to-answer-behavioral-interviews.html,2025-01
