Name,Category,Token Type,Use Case,Strengths,Weaknesses,Common Pitfalls,Keywords,Notes,Source URL,Source Type,Last Updated
OAuth 2.0 (Authorization Code + PKCE),Delegated authorization,Access + refresh token,Web/mobile/SPA login via 3rd-party IdP,"Industry standard, decoupled IdP, no password handling",Spec breadth = many wrong choices,Implicit flow (deprecated); leaking tokens in URL fragments,oauth oauth2 pkce authorization code,Always Authorization Code + PKCE for public clients; never Implicit (RFC 9700 'OAuth 2.0 Security BCP').,https://datatracker.ietf.org/doc/html/rfc6749,rfc,2026-04-28
OpenID Connect (OIDC),Authentication on top of OAuth2,ID token (JWT) + access token,Federated login (Google/Okta/Keycloak/etc.),"Standard claims, discovery, JWKS rotation",ID token vs access token confusion,Trusting the access token as identity; always validate ID token,oidc openid connect id token jwks,Cache JWKS with short TTL; never trust 'iss'/'aud' without validating both.,https://openid.net/specs/openid-connect-core-1_0.html,rfc,2026-04-28
JWT (JSON Web Token),Self-contained token,Signed (JWS) / encrypted (JWE),"Stateless API auth, service-to-service",No server-side session lookup,Revocation is hard; size grows with claims,Using 'alg: none'; not validating 'exp'/'aud'/'iss'; long TTLs,jwt jws jwe access token,Prefer short TTL (5–15 min) + refresh tokens; use ES256/EdDSA over HS256 to enable key rotation.,https://datatracker.ietf.org/doc/html/rfc7519,rfc,2026-04-28
SAML 2.0,Federated SSO,XML assertion,"Enterprise SSO, on-prem IdPs","Mature in enterprise, supported by every IdP","XML, complex, slow",Signature wrapping attacks; replay,saml sso xml assertion,Use a battle-tested library; never hand-parse SAML; pair with SCIM for user lifecycle.,https://docs.oasis-open.org/security/saml/v2.0/saml-core-2.0-os.pdf,rfc,2026-04-28
mTLS (Mutual TLS),Transport-level auth,X.509 client cert,"Service-to-service inside a mesh, B2B APIs, IoT","Cryptographically strong identity, no shared secrets",Cert lifecycle/rotation infra needed; harder to debug,Long-lived certs; trusting any cert from a CA root,mtls mutual tls x509 spire spiffe,Use SPIFFE/SPIRE or service-mesh CA (Istio/Linkerd) to automate short-lived cert rotation.,https://datatracker.ietf.org/doc/html/rfc8446,rfc,2026-04-28
API Keys,Static credential,Opaque token,"Server-to-server, partner integrations, low-risk public APIs",Trivial to issue and use,Hard to rotate; often leaked into Git/Slack,No scoping; long TTL,api key bearer token,"Hash & rotate, scope per integration, support quick revocation, monitor usage anomalies.",https://cloud.google.com/docs/authentication/api-keys,official-docs,2026-04-28
HMAC request signing,Per-request signature,HMAC of request,"Webhook receivers, server-to-server APIs (AWS SigV4 style)","Tamper-evident, no token replay if nonce included",Clock-skew handling; replay window tuning,Forgetting to verify signature; using non-canonical request encoding,hmac signature sigv4 webhook,Include nonce + timestamp; reject requests outside ±5 min skew.,https://datatracker.ietf.org/doc/html/rfc2104,rfc,2026-04-28
Session cookies (server-side session),Server-managed session,Opaque session id (HttpOnly + Secure cookie),Classic browser web apps,"Easy to revoke, smallest surface, mature",Cross-domain story is hard; CSRF must be addressed,Not setting 'SameSite=Lax/Strict'; missing 'Secure'/'HttpOnly',cookie session csrf samesite,Default to 'SameSite=Lax' + double-submit token for state-changing requests.,https://cheatsheetseries.owasp.org/cheatsheets/Session_Management_Cheat_Sheet.html,official-docs,2026-04-28
Passkeys / WebAuthn,Passwordless,Public key,"Consumer login (Apple/Google/Microsoft sync), strong MFA","Phishing-resistant, no password DB",Account recovery & cross-device UX still maturing,Treating passkeys as 2FA only; bad fallback flows,passkey webauthn fido2 passwordless,Offer passkeys as primary login with password/OTP fallback; sync-fabric (iCloud/Google) handles device loss.,https://www.w3.org/TR/webauthn-3/,rfc,2026-04-28
Magic links / OTP email-SMS,Passwordless one-shot,Token in URL / 6-digit code,"Low-friction onboarding, B2C","No password, simple UX","Email/SMS deliverability, SIM-swap risk for SMS",Long-lived link tokens; reusing same OTP,magic link otp passwordless,"Always single-use, ≤15 min TTL; rate-limit per identifier and per IP.",https://cheatsheetseries.owasp.org/cheatsheets/Forgot_Password_Cheat_Sheet.html,official-docs,2026-04-28
RBAC (Role-Based Access Control),Authorization model,N/A,Coarse-grained permissions,Easy to reason about; ubiquitous,Role explosion at scale,Hard-coding role names in app; missing audit,rbac role permission,Externalise policy (Casbin/OPA/Cedar) instead of 'if user.role == admin' scattered everywhere.,https://csrc.nist.gov/projects/role-based-access-control,official-docs,2026-04-28
ABAC / ReBAC (PBAC),Authorization model,N/A,"Multi-tenant, fine-grained, relationship-based (Google Zanzibar style)","Expressive, supports complex multi-tenant rules",Tooling complexity; latency budget,Treating ABAC as RBAC + tags; no caching of decisions,abac rebac pbac opa cedar zanzibar,"Open Policy Agent (Rego), AWS Cedar, AuthZed/SpiceDB (Zanzibar) are the production choices.",https://csrc.nist.gov/publications/detail/sp/800-162/final,official-docs,2026-04-28
SCIM 2.0,User provisioning,N/A,Sync users/groups from IdP to your app,"Standard, supported by Okta/AzureAD/Google Workspace",Spec interpretation varies between IdPs,Treating SCIM as auth (it's just provisioning),scim provisioning idp lifecycle,Implement SCIM endpoints to land on enterprise procurement checklists.,https://datatracker.ietf.org/doc/html/rfc7644,rfc,2026-04-28
Service-account tokens / Workload identity,Workload auth,Cloud token / OIDC,Pod → cloud API auth without long-lived keys,No static secrets; tied to workload identity,Cloud-specific abstractions,Using long-lived AWS access keys in pods (instead of IRSA / Pod Identity),workload identity irsa pod identity gke wif,AWS: IRSA / EKS Pod Identity. GCP: Workload Identity Federation. Azure: Workload Identity.,https://cloud.google.com/iam/docs/workload-identity-federation,official-docs,2026-04-28
