Tool,Signal,Type,Open Source,Use Case,Strengths,Weaknesses,Integrations,Keywords,Notes,Source URL,Source Type,Last Updated
Prometheus,Metrics,Pull-based TSDB,Yes,"Service & infra metrics, alerting on rates/percentiles","CNCF graduated, PromQL is powerful, huge exporter ecosystem",Single-node TSDB; long-term storage requires Cortex/Mimir/Thanos/VictoriaMetrics,"Grafana, Alertmanager, exporters",prometheus promql metrics tsdb pull,Use 'recording rules' for expensive queries; cardinality explosion is the #1 ops issue.,,,
Mimir / Cortex / Thanos / VictoriaMetrics,Long-term metrics,Distributed TSDB,Yes,Multi-tenant Prometheus-compatible long-term store,"HA, horizontal scale, cheap object-storage backend",Adds infra complexity,"Prometheus, Grafana",mimir cortex thanos victoriametrics ha tsdb,VictoriaMetrics is the simplest single-binary option; Mimir scales the furthest.,,,
Grafana,Visualization,Dashboards,Yes (OSS + Enterprise),"Dashboards, exploration, alerting (Unified Alerting)","Datasource-agnostic, dashboards-as-code (Grafonnet/Foundation SDK), Loki/Tempo first-class",Alerting rules can sprawl across teams,"Prometheus, Loki, Tempo, ClickHouse, datadog, etc.",grafana dashboard alert provisioning,"Manage dashboards as code (provisioned via files / GitOps), not via UI clicks.",,,
Loki,Logs,Log aggregation,Yes,"Cheap, label-indexed logging","Cheap object-storage backend, LogQL mirrors PromQL",Full-text search slower than Elastic,"Promtail, Fluent Bit, OTel",loki logql labels logs,Index by service/level/region only; do NOT index high-cardinality fields like user-id.,,,
ELK / OpenSearch,Logs + search,Indexed search,Yes,"Full-text log analytics, security events","Powerful queries, Kibana visualisations, mature",Costly storage & ops; JVM tuning,"Beats, Logstash, Fluentd",elk elastic opensearch kibana logstash,OpenSearch is the AWS / community fork after Elastic licence change.,,,
Tempo / Jaeger / Zipkin,Traces,Distributed tracing backend,Yes,End-to-end request tracing across services,Tempo: cheap object-store backend; Jaeger/Zipkin: mature ecosystems,Sampling design is critical,OpenTelemetry,tempo jaeger zipkin tracing spans,Use tail-based sampling for production; head-based at high-volume edges.,,,
OpenTelemetry,Telemetry framework,Standard + SDKs + Collector,Yes,Vendor-neutral instrumentation for metrics/logs/traces,"Single API across languages, pluggable exporters, future-proof",Spec still evolving for logs/profiling; ecosystem maturity varies by language,"Prometheus, Tempo, Loki, Jaeger, Datadog, NewRelic, etc.",opentelemetry otel collector instrumentation,Standardise on OTel SDKs + OTel Collector to avoid vendor lock-in.,,,
Pyroscope / Parca,Continuous profiling,Profiling backend,Yes,"Always-on profiling (CPU, memory, goroutine, off-CPU)",Find prod bottlenecks impossible to reproduce locally,Overhead must be tuned; eBPF version requires recent kernels,Grafana stack,pyroscope parca profiling flame graph ebpf,Pyroscope (now in Grafana) merged with Phlare; eBPF profiler runs unmodified binaries.,,,
Datadog,APM SaaS,Hosted observability,No,All-in-one APM/logs/metrics/RUM,"Best-of-breed UX, fast to onboard, deep integrations",Cost can dominate cloud bill; cardinality limits,Everything,datadog apm saas,Set per-team budgets and use 'metric volumes' alerts to catch cost spikes.,,,
New Relic / Honeycomb / Dynatrace / Splunk Observability,APM SaaS,Hosted observability,No,Hosted APM alternatives,Honeycomb pioneered high-cardinality wide events; New Relic free tier; Dynatrace AIOps,Cost; vendor lock-in,Everything,newrelic honeycomb dynatrace splunk apm,Honeycomb's BubbleUp / Heatmap UX is unmatched for debugging unknown unknowns.,,,
Sentry,Error tracking,SaaS + self-host,Partial,Application error & performance monitoring,"Best-in-class error grouping, releases, source maps; performance traces",Less full-featured than full APM,"Github, Slack",sentry error tracking release,Tag errors with 'release' + 'environment' to enable regression detection.,,,
Fluent Bit / Vector,Log shipping,Agent,Yes,Tail logs from nodes/containers and forward,"Tiny footprint, no JVM (vs Logstash); rich processors",Configuration learning curve,"Loki, Elastic, S3, Kafka, Datadog",fluent bit vector logs forwarder,Vector (Rust) by Datadog is the most modern; Fluent Bit is CNCF & ubiquitous on K8s.,,,
PagerDuty / Opsgenie / Grafana OnCall,Alerting & on-call,SaaS / OSS,Mixed,Routing alerts to on-call humans,"Schedules, escalations, post-mortems integration",Cost (PD/Opsgenie); Grafana OnCall is OSS but younger,Everything,pagerduty opsgenie oncall escalation,"Define error budgets first; only page on user-impacting SLO burn, not raw thresholds.",,,
"SLO frameworks (Sloth, OpenSLO, Pyrra)",SLO management,Tooling,Yes,"Codify SLOs/SLIs as YAML, generate alerts","Drives alert hygiene, ties to error budgets",Adoption needs cultural buy-in,"Prometheus, Grafana",slo sli sloth openslo pyrra error budget,Sloth generates Prometheus rules from a tiny YAML; great gateway drug to SRE practice.,,,
