Name,Category,Pattern,Use Case,Strengths,Weaknesses,Gotcha,Source URL,Last Updated,Source Type
Backend for Frontend (BFF),API Architecture,Dedicated backend service per frontend platform (iOS/Android/Web),Optimize API responses per platform — different payloads for mobile vs web,Tailored responses reduce over-fetching; independent deployment per platform; cleaner API contracts,Duplicated business logic across BFFs; more services to maintain; team coordination overhead,BFF should be thin — only aggregation and transformation; business logic stays in domain services,https://samnewman.io/patterns/architectural/bff/,2025-01,
Offline-First Sync,Data Sync,Local-first data with background sync to server when connectivity restored,Mobile apps that must work without network — field service and travel and rural areas,Works offline; responsive UX; conflict detection built in,Conflict resolution is complex; storage limits on device; sync bugs are hard to reproduce,Last-write-wins loses data — use vector clocks or CRDTs for automatic conflict resolution; test with airplane mode,https://rxdb.info/offline-first.html,2025-01,
Push Notification Delivery,Messaging,Server-to-device push via platform services (APNs/FCM),Real-time alerts and messages and updates to mobile devices,Instant delivery; battery efficient (vs polling); platform-native UX,Platform-specific APIs; delivery not guaranteed; token management complexity,APNs tokens expire and rotate — implement token refresh and feedback service processing or notifications silently fail,https://firebase.google.com/docs/cloud-messaging,2025-01,
GraphQL for Mobile,API Design,Single flexible endpoint with client-specified queries,Mobile clients that need different data shapes per screen with minimal over-fetching,Eliminates over-fetching; single round trip for complex views; strong typing,Query complexity attacks; N+1 at resolver level; caching harder than REST; learning curve,Always implement query depth and complexity limits — unbounded GraphQL queries can DoS your backend,https://graphql.org/learn/best-practices/,2025-01,
CDN for API Responses,Caching,Cache API responses at CDN edge for read-heavy mobile endpoints,Static or semi-static API responses — product catalogs and config and feature flags,Dramatically reduces latency and origin load; global distribution; cost effective,Cache invalidation complexity; personalized responses can't be cached easily; stale data risk,Set appropriate Cache-Control headers — mobile apps aggressively cache so stale CDN + stale app cache compounds staleness,https://developers.cloudflare.com/cache/concepts/cache-control/,2025-01,
API Versioning for Mobile,API Management,Version APIs to support old app versions that can't be force-updated,Mobile apps where users don't update — must support v1 and v2 simultaneously,Backward compatibility; graceful deprecation; per-version monitoring,Maintaining multiple versions is expensive; version sprawl; database schema must serve all versions,iOS App Store review takes 1-7 days — you can't hotfix mobile apps like web; API versioning is your safety net,https://www.postman.com/api-platform/api-versioning/,2025-01,
Optimistic UI Updates,UX Pattern,Apply changes locally immediately then confirm/revert after server response,Perceived-zero-latency interactions — likes and toggles and form submissions,Instant feedback; feels native; reduces perceived latency to zero,Must handle server rejection gracefully; complex rollback UI; conflict with server state,If optimistic update succeeds locally but fails on server the user sees a jarring revert — show clear feedback and retry option,https://www.apollographql.com/docs/react/performance/optimistic-ui/,2025-01,
Token Refresh Flow,Authentication,Background refresh of auth tokens before expiration to avoid re-login,Seamless authentication in mobile apps without interrupting user flow,No re-login interruption; secure short-lived access tokens; background refresh,Race conditions with concurrent requests during refresh; token storage security on device,Implement request queuing during token refresh — concurrent 401s should wait for refresh not each trigger their own,https://auth0.com/docs/secure/tokens/refresh-tokens,2025-01,
Image Optimization Pipeline,Performance,Server-side image resizing and format conversion and CDN caching per device,Serve appropriately-sized images per device — reduce bandwidth and improve load time,Reduces bandwidth 50-80%; improves Core Web Vitals; automatic format selection (WebP/AVIF),Processing cost for on-the-fly resizing; cache storage for multiple variants; origin shield needed,Serve WebP to Android and AVIF to modern iOS — Accept header detection at CDN level; don't send 4K images to phones,https://web.dev/articles/serve-responsive-images,2025-01,
App Startup Optimization,Performance,Minimize time-to-interactive with prefetching and lazy loading and cached bootstrap data,Fast app launch — first screen content appears in under 1 second,Better retention (1s faster = measurable engagement increase); reduced abandonment,Over-prefetching wastes bandwidth; cache invalidation bugs show stale launch data,Cache the minimal bootstrap response locally — if the server is slow the app still opens fast with last-known-good data,https://developer.android.com/topic/performance/vitals/launch-time,2025-01,
