Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Concurrency,Prefer virtual threads (Loom) on JDK 21+,"Virtual threads make blocking IO cheap; eliminate most reactive complexity","Run Tomcat / Jetty on virtual threads; use 'spring.threads.virtual.enabled=true'","Default to WebFlux unless you actually need backpressure across the whole pipeline","spring.threads.virtual.enabled=true","// reactive everywhere just to scale a CRUD app",High,https://docs.spring.io/spring-boot/docs/current/reference/html/web.html
Concurrency,Don't block on Mono/Flux,"Calling .block() in a reactive pipeline kills the event loop","Stay reactive (flatMap/map) end-to-end OR use blocking stack with virtual threads","Mix .block() with WebFlux handlers","return repo.findById(id).map(this::toDto)","return repo.findById(id).block();",Critical,https://projectreactor.io/docs/core/release/reference/
DI,Use constructor injection,"Constructor injection is testable and immutable","All collaborators are 'final' fields set via constructor","Field injection (@Autowired on field)","public OrderService(OrderRepo repo){ this.repo = repo; }","@Autowired private OrderRepo repo;",Medium,https://docs.spring.io/spring-framework/reference/core/beans/dependencies/factory-collaborators.html
DI,Avoid '@Component scan' magic for cross-cutting,"Be explicit about beans you import","@Configuration @Import classes; rely on auto-config for Spring Boot starters only","Massive '@ComponentScan(basePackages=""com"")'","@Import(ObservabilityConfig.class)","@ComponentScan(""com"") // scans the world",Medium,https://docs.spring.io/spring-framework/reference/core/beans/java.html
HTTP,Use WebClient for outbound HTTP,"WebClient is non-blocking, supports streaming, replaces RestTemplate (deprecated)","WebClient.builder().baseUrl(...).filter(retry).build()","Use RestTemplate for new code","webClient.get().uri(""/u/{id}"", id).retrieve().bodyToMono(User.class)","restTemplate.getForObject(""/u/{id}"", User.class, id)",Medium,https://docs.spring.io/spring-framework/reference/web/webflux-webclient.html
HTTP,Set timeouts on every WebClient,"No default timeout — calls hang forever","Configure ConnectionProvider + responseTimeout / readTimeout","Reuse a default WebClient across all backends","HttpClient.create().responseTimeout(Duration.ofSeconds(2))","WebClient.create() // unbounded",Critical,https://projectreactor.io/docs/netty/release/reference/
Persistence,Avoid OSIV (Open Session In View),"OSIV hides N+1 queries and leaks the session into the view","Set spring.jpa.open-in-view=false; fetch eagerly via @EntityGraph or fetch joins","Rely on lazy loading inside controllers/templates","spring.jpa.open-in-view=false","spring.jpa.open-in-view=true # default in Boot — turn it off",High,https://vladmihalcea.com/the-best-way-to-handle-the-lazyinitializationexception/
Persistence,Use Flyway / Liquibase,"Schema must be code-reviewed and version-controlled","Flyway migrations under src/main/resources/db/migration","Auto-DDL ('spring.jpa.hibernate.ddl-auto=update') in prod","spring.flyway.enabled=true","spring.jpa.hibernate.ddl-auto=update",Critical,https://flywaydb.org/documentation/
Persistence,Pool DB connections with HikariCP,"HikariCP is the default in Spring Boot; size matters","Tune maximumPoolSize per pod = (dbMax / pods); shorter than ULB read timeout","Maximum pool size > DB max connections / num pods","spring.datasource.hikari.maximum-pool-size=10","spring.datasource.hikari.maximum-pool-size=200 (per pod, 50 pods)",High,https://github.com/brettwooldridge/HikariCP
Observability,Use Micrometer + OpenTelemetry,"Spring Boot Actuator + Micrometer is the standard metrics path; OTel for traces","Enable management.tracing.sampling.probability and OTel auto-config","Wire prometheus by hand without Actuator","management.endpoints.web.exposure.include=health,metrics,prometheus","// custom Prometheus servlet",Medium,https://docs.spring.io/spring-boot/reference/actuator/observability.html
Errors,Use @ControllerAdvice + ProblemDetail,"RFC 7807 ProblemDetail (Spring 6) gives consistent error JSON","Map domain exceptions to ProblemDetail in @RestControllerAdvice","Throw RuntimeException and let Boot return 500 'Whitelabel'","@ExceptionHandler(NotFoundException.class) public ProblemDetail handle(...)","throw new RuntimeException(""x"");",Medium,https://docs.spring.io/spring-framework/reference/web/webmvc/mvc-controller/ann-rest-exceptions.html
Security,Spring Security 6 lambda DSL,"Old WebSecurityConfigurerAdapter is removed","Use SecurityFilterChain bean + lambda DSL","Use deprecated configurers","http.authorizeHttpRequests(a -> a.anyRequest().authenticated())","extends WebSecurityConfigurerAdapter (deprecated/removed)",High,https://docs.spring.io/spring-security/reference/migration/index.html
Build,Use Gradle Kotlin DSL or Maven Wrapper,"Wrapper pins build tool version per repo","mvnw / gradlew committed; CI uses wrapper","Rely on globally installed maven/gradle","./mvnw verify","mvn verify (uses ambient version)",Medium,https://docs.gradle.org/current/userguide/gradle_wrapper.html
Build,Native Image with Spring Boot 3 + GraalVM,"AOT cuts memory & startup ~10×; great for serverless / fast scale","Use spring-boot-starter-parent 3.x + native-maven-plugin","Add GraalVM hints by hand without 'native' build profile","./mvnw -Pnative native:compile","# JVM-only build for tiny CLI tools",Medium,https://docs.spring.io/spring-boot/reference/packaging/native-image/
Testing,Testcontainers for integration tests,"Real Postgres/Kafka/Redis in tests","@Testcontainers + @ServiceConnection (Spring Boot 3.1+)","H2 stand-in for Postgres","@Container PostgreSQLContainer<?> pg = new PostgreSQLContainer<>(""postgres:16"")","testdb=H2 with Postgres SQL syntax",High,https://java.testcontainers.org/modules/databases/jdbc/
Testing,Use @SpringBootTest sparingly,"Slow boot; prefer slice tests (@WebMvcTest, @DataJpaTest)","Slice tests run in ms vs seconds","@SpringBootTest for unit tests","@WebMvcTest(OrderController.class)","@SpringBootTest // for one controller test",Medium,https://docs.spring.io/spring-boot/reference/testing/spring-boot-applications.html
