Topic,Category,Threat,Mitigation,Do,Don't,Tooling,Severity,Source URL,Keywords,Source URL,Source Type,Last Updated
SQL Injection,OWASP A03 Injection,Attacker controls SQL via unsanitised input,Use parameterised queries / prepared statements; ORM/query-builder; allow-list dynamic identifiers,Bind parameters; validate identifiers from allow-list,String-concatenate user input into SQL,"sqlmap, semgrep, snyk, codeql",Critical,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,sqli sql injection prepared statement parameterised,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,official-docs,2026-04-28
Cross-Site Scripting (XSS),OWASP A03,Attacker injects script that runs in victim's browser,Context-aware output encoding; strict CSP; framework auto-escaping,Escape per context (HTML/JS/CSS/URL); ship strict CSP with nonces,Render raw user input; use 'innerHTML' / 'dangerouslySetInnerHTML' on user data,"DOMPurify, semgrep, codeql",High,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,xss cross site scripting csp domsanitize,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,official-docs,2026-04-28
CSRF,OWASP A01,Browser is tricked into sending state-changing request to authenticated origin,Double-submit cookie or synchroniser token; SameSite=Lax/Strict cookies; origin/referer check,Use anti-CSRF token on all state-changing endpoints; SameSite cookies,Rely solely on cookies for auth without anti-CSRF,"framework built-ins, owasp csrfguard",High,https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html,csrf samesite double submit,https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html,official-docs,2026-04-28
SSRF,OWASP A10,"Server is coerced to make a request the attacker can't (cloud metadata, internal LAN)",Allow-list outbound destinations; block link-local (169.254.169.254 / fd00::/8); use IMDSv2; egress proxy,Resolve & validate hostnames before connect; pin to known prefixes,Pass user URLs straight to HTTP client,"aws imdsv2, smokescreen, codeql ssrf rules",Critical,https://cheatsheetseries.owasp.org/cheatsheets/Server_Side_Request_Forgery_Prevention_Cheat_Sheet.html,ssrf imds metadata link-local egress,https://cheatsheetseries.owasp.org/cheatsheets/Server_Side_Request_Forgery_Prevention_Cheat_Sheet.html,official-docs,2026-04-28
Insecure Deserialization,OWASP A08,Untrusted serialized object → RCE,"Avoid native serializers (Java/Python pickle); use schema-bound formats (JSON+schema, Protobuf, Avro)",Use safe formats with schema validation,Pickle/Java native deserialise untrusted bytes,"semgrep, codeql, ysoserial",Critical,https://cheatsheetseries.owasp.org/cheatsheets/Deserialization_Cheat_Sheet.html,deserialization pickle gadget rce,https://cheatsheetseries.owasp.org/cheatsheets/Deserialization_Cheat_Sheet.html,official-docs,2026-04-28
Secret in source code,Supply chain,Long-lived credential leaked via Git push,Pre-commit secret scanning; GitHub secret scanning; rotate on leak; use vault/secret manager,Inject secrets at runtime from KMS/Vault,Commit '.env' or hard-coded keys,"gitleaks, trufflehog, github advanced security",Critical,https://cheatsheetseries.owasp.org/cheatsheets/Secrets_Management_Cheat_Sheet.html,secret leak gitleaks vault rotation,https://cheatsheetseries.owasp.org/cheatsheets/Secrets_Management_Cheat_Sheet.html,official-docs,2026-04-28
Dependency vulnerability (CVE),OWASP A06,Vulnerable library in dependency tree,Continuous dependency scanning + auto PRs; SBOM publishing; pin versions,Dependabot/Renovate auto PRs; review CVEs weekly; fail builds on critical,Pin and forget; ignore Dependabot alerts,"Dependabot, Renovate, Snyk, OSV-Scanner, Grype, Trivy",High,https://owasp.org/www-project-dependency-check/,cve sbom dependabot renovate trivy osv,https://owasp.org/www-project-dependency-check/,official-docs,2026-04-28
Container image vulnerability,Supply chain,Outdated/vulnerable base image,Use distroless/chainguard base; scan in CI; rebuild weekly,"Pin digest, not 'latest'; sign images (Sigstore/cosign); SBOM in registry",Use 'latest' tags; long-lived AMIs without rebuild,"trivy, grype, syft, cosign, sigstore",High,https://docs.docker.com/scout/,trivy grype cosign sigstore distroless chainguard,https://docs.docker.com/scout/,official-docs,2026-04-28
Supply-chain (SLSA / build provenance),Supply chain,"Build pipeline tampered, malicious source replaced",Sign commits; reproducible builds; SLSA L3+ provenance; verify at deploy,Cosign-sign artefacts; verify signatures in admission controller,Pull binaries from random URLs without verification,"sigstore, in-toto, slsa-github-generator",High,https://slsa.dev/spec/v1.0/,slsa sigstore in-toto provenance attestation,https://slsa.dev/spec/v1.0/,official-docs,2026-04-28
Zero Trust networking,Architecture,Implicit trust within network perimeter,mTLS everywhere; identity-based access; short-lived workload credentials; no flat L3,SPIFFE/SPIRE identities; mesh mTLS; device posture for users,Treat 'internal' network as inherently safe,"spiffe spire, beyondcorp, tailscale, cloudflare access",High,https://csrc.nist.gov/publications/detail/sp/800-207/final,zero trust spiffe spire beyondcorp,https://csrc.nist.gov/publications/detail/sp/800-207/final,official-docs,2026-04-28
Encryption at rest,Crypto,Disk/backup theft exposes plaintext,Cloud-managed KMS encryption (default-on); envelope encryption for app data; rotate keys,Use cloud KMS / HSM; per-tenant DEKs for B2B SaaS,Hand-roll crypto; store keys next to data,"aws kms, gcp kms, azure key vault, hashicorp vault",High,https://docs.aws.amazon.com/kms/latest/developerguide/,kms hsm envelope encryption rotation,https://docs.aws.amazon.com/kms/latest/developerguide/,official-docs,2026-04-28
TLS / Cipher hardening,Crypto,Weak cipher / outdated TLS version,TLS 1.2+ only (1.3 preferred); disable weak ciphers; ALPN; OCSP stapling,Auto-renew via ACME (LetsEncrypt/ZeroSSL); HSTS preload,Self-signed in prod; expired certs; downgrade attacks,"mozilla SSL config, sslyze, testssl.sh",High,https://datatracker.ietf.org/doc/html/rfc8446,tls 1.3 hsts ciphers acme letsencrypt,https://datatracker.ietf.org/doc/html/rfc8446,rfc,2026-04-28
Logging & PII,Privacy,PII / secrets leaking into logs,Structured logging; allow-list fields; mask card/email/SSN; redact PII at the SDK level,Use a redaction library; centralise logger config,Log full request/response bodies,"pino-redact, zap, opentelemetry-collector processors",High,https://cheatsheetseries.owasp.org/cheatsheets/Logging_Cheat_Sheet.html,pii redaction structured logging gdpr,https://cheatsheetseries.owasp.org/cheatsheets/Logging_Cheat_Sheet.html,official-docs,2026-04-28
Rate limiting / abuse,API,Brute force / scraping / DoS,Per-IP + per-account token bucket; CAPTCHAs on suspicious flows; WAF rules,Lock accounts on abuse; add bot detection,Rely on infra rate-limit alone for app abuse,"cloudflare, aws waf, kong, envoy ratelimit",High,https://cheatsheetseries.owasp.org/cheatsheets/Denial_of_Service_Cheat_Sheet.html,rate limit waf brute force captcha,https://cheatsheetseries.owasp.org/cheatsheets/Denial_of_Service_Cheat_Sheet.html,official-docs,2026-04-28
CORS misconfiguration,Web,'*' or reflected origin allows credentialed cross-site reads,Allow-list explicit origins; never '*' with 'Access-Control-Allow-Credentials: true',Use a reviewed CORS middleware; audit prod headers,Reflect 'Origin' header verbatim,"corsy, security headers scanners",High,https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS,cors origin credentials,https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS,official-docs,2026-04-28
