Name,Category,Formula,Inputs,Example Calculation,Rule of Thumb,Gotcha,Source URL,Last Updated
Little's Law,Queuing Theory,"L = λ × W","λ = arrival rate (req/s); W = avg time in system (s)","5000 rps × 0.05s = 250 concurrent requests","Use to size thread pools and connection pools","Only valid for stable systems (arrival rate ≤ service rate); doesn't account for bursts",https://en.wikipedia.org/wiki/Little%27s_law,2025-01
QPS from Daily Active Users,Traffic Estimation,"QPS = DAU × actions/user/day / 86400","DAU; actions per user per day; peak factor (typically 2-5x)","10M DAU × 10 actions / 86400 = ~1157 QPS avg; ~3472 QPS peak (3x)","Peak is typically 2-5x average; use 3x as default unless you have data","Weekend vs weekday patterns can vary 10x for some apps; don't use a single peak factor",https://blog.bytebytego.com/p/back-of-the-envelope-estimation,2025-01
Storage Estimation,Capacity Planning,"Total = rows × row_size × replication_factor","Row count; avg row size in bytes; replication factor","1B rows × 200B × 3 replicas = 600 GB","Add 30% overhead for indexes; double for 2-year growth","Compression ratios vary wildly (2x-10x); always measure with real data",https://blog.bytebytego.com/p/back-of-the-envelope-estimation,2025-01
Bandwidth Estimation,Network Planning,"BW = QPS × payload_size","QPS; average payload size","5000 QPS × 2KB = 10 MB/s = 80 Mbps","Multiply by 2 for bidirectional; add 20% for protocol overhead","Payload sizes vary per endpoint; use P95 not average for capacity planning",https://blog.bytebytego.com/p/back-of-the-envelope-estimation,2025-01
USL (Universal Scalability Law),Scalability Modeling,"C(N) = N / (1 + α(N-1) + βN(N-1))","N = nodes; α = contention; β = coherency","Low contention (α=0.01; β=0.001): 10 nodes → 8.3x throughput","If β > 0 the system has a maximum useful parallelism; adding more nodes degrades performance","β (coherency) is the killer — even tiny values cause retrograde scaling at high N",https://www.perforce.com/blog/qac/what-is-universal-scalability-law,2025-01
Amdahl's Law,Parallelism,"Speedup = 1 / ((1-p) + p/N)","p = parallelizable fraction; N = number of processors","p=0.95; N=16 → speedup = 10.1x (not 16x)","Even 5% serial work limits max speedup to 20x regardless of cores","Applies to any parallelization — threads; shards; replicas; not just CPUs",https://en.wikipedia.org/wiki/Amdahl%27s_law,2025-01
Connection Pool Sizing,Resource Planning,"pool_size = (connections_per_request × QPS × avg_latency) + headroom","QPS; avg query latency; connections per request; headroom factor","5000 QPS × 0.005s × 1 conn = 25 connections + 50% headroom = 38","HikariCP recommends: connections = ((core_count × 2) + effective_spindle_count)","Too large pools cause contention on the DB side; PostgreSQL recommends max_connections < 200 per instance",https://github.com/brettwooldridge/HikariCP/wiki/About-Pool-Sizing,2025-01
Kafka Partition Sizing,Messaging,"partitions = max(target_throughput / per_partition_throughput; consumer_count)","Target throughput (MB/s); per-partition throughput; desired consumer parallelism","100 MB/s target / 1 MB/s per partition = 100 partitions","1 partition ≈ 1 MB/s producer throughput; 1 consumer per partition","Over-partitioning increases end-to-end latency and metadata overhead; Kafka recommends < 4000 partitions per broker",https://www.confluent.io/blog/how-choose-number-topics-partitions-kafka-cluster/,2025-01
Cache Size Estimation,Memory Planning,"cache_size = working_set × avg_object_size × (1 + overhead_factor)","Working set cardinality; average object size; memory overhead","100K items × 1KB × 1.5 overhead = 150 MB","Redis uses ~1.5-2x the raw data size due to pointers and metadata","Zipfian distributions mean 10-20% of keys serve 80% of requests; cache the hot set not everything",https://redis.io/docs/management/optimization/memory-optimization/,2025-01
Disk IOPS Planning,Storage,"Required IOPS = QPS × IO_multiplier","QPS; IO operations per query (reads + writes); IOPS per device","5000 QPS × 4 IOs/query = 20K IOPS; need 2 NVMe SSDs (each ~10K random IOPS usable)","NVMe: 100K-500K IOPS; SATA SSD: 10K-75K IOPS; HDD: 100-200 IOPS","Advertised IOPS are sequential; random IOPS are 10-100x lower; always benchmark your workload",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-io-characteristics.html,2025-01
Replication Bandwidth,Data Replication,"BW = write_throughput × (replicas - 1)","Write throughput (MB/s); number of replicas","50 MB/s writes × 2 followers = 100 MB/s replication traffic","Cross-AZ replication adds ~1ms latency per hop; cross-region adds 50-150ms","Synchronous replication doubles write latency; async risks data loss on failover",https://www.postgresql.org/docs/current/warm-standby.html,2025-01
Fanout Estimation,Social/Feed,"total_writes = posts × avg_followers × fanout_strategy","Posts per day; average follower count; fanout-on-write vs read","1M posts/day × 100 avg followers = 100M writes/day (fanout-on-write)","Fanout-on-write is O(followers) per post; fanout-on-read is O(followees) per read","Hybrid approach: fanout-on-write for users with < 10K followers; fanout-on-read for celebrities",https://blog.bytebytego.com/p/news-feed-system-design,2025-01
SLO Error Budget,Reliability,"Error budget = 1 - SLO availability","SLO (e.g. 99.9%); measurement period","99.9% SLO over 30 days = 43.2 minutes of allowed downtime","99.99% = 4.3 min/month; 99.9% = 43.2 min/month; 99% = 7.3 hr/month","Partial degradation (slow responses) also consumes error budget; define SLIs precisely",https://sre.google/sre-book/service-level-objectives/,2025-01
Memory Bandwidth,Hardware,"BW = frequency × bus_width × channels","Memory frequency; bus width (typically 64 bits); number of channels","DDR5-4800: 4800 MHz × 8 bytes × 2 channels = 76.8 GB/s","Modern servers: 200-400 GB/s aggregate memory bandwidth; but latency is ~100ns","NUMA effects can halve effective bandwidth for remote memory access",https://en.wikipedia.org/wiki/DDR5_SDRAM,2025-01
TCP Connection Capacity,Networking,"max_connections = ephemeral_port_range × destination_IPs","Ephemeral port range (default ~28K on Linux); unique destination IP:port pairs","28K ports × 10 backend IPs = 280K max connections","Linux default ephemeral range: 32768-60999 (28232 ports); increase with sysctl","TIME_WAIT sockets consume ports for 60s; high-churn connections exhaust ports quickly",https://www.kernel.org/doc/html/latest/networking/ip-sysctl.html,2025-01
