Name,Category,Runtime,Use Case,Strengths,Weaknesses,Consistency Model,Gotcha,Source URL,Last Updated,Source Type
Cloudflare Workers,Compute Platform,V8 Isolates (JavaScript/WASM),Low-latency request transformation and routing and API gateway at the edge,Sub-millisecond cold start; 300+ edge locations; generous free tier; Workers KV for state,Limited CPU time (10-50ms free/30s paid); no raw TCP sockets; V8 isolate limitations,Eventual consistency (Workers KV); strong consistency with Durable Objects,Workers KV is eventually consistent with ~60s propagation — use Durable Objects for strong consistency,https://developers.cloudflare.com/workers/,2025-01,
Cloudflare Durable Objects,Stateful Edge,V8 Isolates with single-threaded state,Strongly consistent stateful logic at the edge — counters and sessions and coordination,Single-threaded strong consistency per object; automatic geographic placement; WebSocket support,Single-threaded limits throughput per object; pricing is per-request + duration; debugging is limited,Strong consistency within an object; no cross-object transactions,Each Durable Object runs in one location — it's not replicated; latency depends on user distance to that location,https://developers.cloudflare.com/durable-objects/,2025-01,
Fastly Compute,Compute Platform,WASM (any language that compiles to WASM),High-performance edge compute with language flexibility via WebAssembly,Microsecond startup; WASM means any language (Rust/Go/JS); sub-ms TTFB; VCL compatibility,Smaller edge network than Cloudflare; WASM ecosystem less mature than V8; limited local state,Eventual consistency for edge dictionaries,WASM binary size limits apply — keep dependencies minimal; Rust produces the smallest binaries,https://www.fastly.com/products/edge-compute,2025-01,
AWS CloudFront Functions,Lightweight Edge,JavaScript (limited ES runtime),Simple request/response manipulation — header rewriting and URL redirects and A/B routing,Sub-millisecond execution; runs on every CloudFront edge; very low cost; 2M free/month,Extremely limited runtime (1ms max; 2MB code; no network calls; no file I/O); JavaScript only,N/A — stateless request transformation only,CloudFront Functions cannot make network calls — use Lambda@Edge for anything beyond header manipulation,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/cloudfront-functions.html,2025-01,
AWS Lambda@Edge,Full Edge Compute,Node.js / Python (Lambda runtime),Full compute at CloudFront edge locations for dynamic content generation,Full Lambda capabilities; up to 30s execution; network access; mature ecosystem,Higher cold start than CF Functions (50-200ms); only runs at regional edge caches not all POPs; cost per request,N/A — stateless (use DynamoDB Global Tables for state),Lambda@Edge deploys to us-east-1 and replicates — all triggers must be in us-east-1; regional edge ≠ every POP,https://docs.aws.amazon.com/lambda/latest/dg/lambda-edge.html,2025-01,
Vercel Edge Functions,Application Edge,V8 Isolates (JavaScript/TypeScript),Edge-rendered pages and API routes for Next.js applications,Zero-config with Next.js; streaming support; global deployment; TypeScript native,Tied to Vercel platform; limited CPU/memory; cold starts on free tier; vendor lock-in,Eventual consistency for edge config; strong for KV (on paid plans),Edge Functions have a 25ms CPU time limit on free tier — complex computation should use serverless functions instead,https://vercel.com/docs/functions/edge-functions,2025-01,
Edge KV Stores,State Management,Platform-specific,Read-heavy key-value data at the edge — configuration and feature flags and A/B test assignments,Global low-latency reads; CDN-integrated; simple key-value API,Eventual consistency (seconds to minutes); limited query capabilities; size limits per value,Eventually consistent (typically 60s global propagation),Do not use edge KV for frequently-updated counters or inventory — eventual consistency causes overselling/double-counting,https://developers.cloudflare.com/kv/,2025-01,
WASI (WebAssembly System Interface),Runtime Standard,WebAssembly,Portable and sandboxed server-side WebAssembly runtime for edge and beyond,Language-agnostic; sandboxed security; portable across platforms; near-native performance,Ecosystem still maturing; limited system call support in WASI preview 2; toolchain friction,N/A — runtime standard not a data store,WASI preview 2 (component model) is the future but still stabilizing — preview 1 is more broadly supported today,https://wasi.dev/,2025-01,
Edge Databases,State Management,Various (SQLite-based and custom),Full SQL database at the edge for read-heavy workloads with local-first semantics,Sub-ms reads from local replica; SQL query support; offline capable,Write propagation latency; conflict resolution complexity; storage limits,Eventual consistency with automatic conflict resolution; some offer causal consistency,Edge databases with write support need conflict resolution — last-write-wins loses data; use CRDTs or app-level merge,https://turso.tech/,2025-01,
CDN as Compute Platform,Architecture Pattern,Various,Using CDN infrastructure for compute not just caching — API responses and personalization and auth,Massive global scale; low latency; reduces origin load,Limited compute capabilities; debugging distributed edge is hard; vendor lock-in,Depends on implementation — typically eventual consistency,Over-engineering at the edge adds latency from complexity — only move logic to edge if latency actually matters for that endpoint,https://blog.cloudflare.com/the-future-of-the-internet/,2025-01,
