Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Source URL,Last Updated
Architecture,Modular Rails (Packwerk / Engines),Carve domains as engines or Packwerk packs to keep the monolith maintainable,Use Packwerk to enforce package boundaries,Have one giant 'app/models' folder with no boundaries,# package.yml: enforce_dependencies: true,# everything under app/models with no boundaries,Medium,https://github.com/Shopify/packwerk,https://guides.rubyonrails.org/,2026-04-28
Persistence,Use ActiveRecord wisely,N+1 queries are the #1 Rails perf problem,includes(:author).preload(:comments),User.all.each { |u| puts u.profile.name } // N+1,Post.includes(:comments).find(id),Post.find(id) then .comments per row,High,https://api.rubyonrails.org/classes/ActiveRecord/QueryMethods.html,https://guides.rubyonrails.org/,2026-04-28
Persistence,Use Bullet in dev to detect N+1,Bullet alerts on N+1 and unused includes,gem 'bullet'; enable in dev/test,Disable in CI for 'noisy' tests,Bullet.alert = true,# disable Bullet in CI,High,https://github.com/flyerhzm/bullet,https://guides.rubyonrails.org/,2026-04-28
Background jobs,Use Sidekiq (Pro/Enterprise) for high throughput,Resque is legacy; Sidekiq is the standard for Rails background jobs,Active Job adapter -> Sidekiq; sidekiq-cron for schedules,Run jobs inline in web workers,ActiveJob -> Sidekiq + Redis,perform_now in a controller,High,https://github.com/sidekiq/sidekiq,https://guides.rubyonrails.org/,2026-04-28
Web server,Use Puma with worker mode,MRI Ruby has GVL; multiple processes give parallelism,Tune workers + threads per pod for your CPU/RAM budget,Run a single Puma process for a busy app,WEB_CONCURRENCY=2 RAILS_MAX_THREADS=5 bundle exec puma,puma -t 1:1 -w 1 // single thread/process,High,https://github.com/puma/puma,https://guides.rubyonrails.org/,2026-04-28
Performance,Bootsnap + cache classes in prod,Reduces boot time massively,require 'bootsnap/setup' early in boot.rb,Reload classes in production,# bootsnap configured by default in Rails 7+,config.cache_classes = false in prod,Critical,https://github.com/Shopify/bootsnap,https://guides.rubyonrails.org/,2026-04-28
Security,Use Rails 7+ defaults,"Rails 7 enabled CSP, secure-by-default cookies, etc.",config.load_defaults 7.1,Pin to load_defaults 5.x,config.load_defaults 7.1,config.load_defaults 5.0,High,https://guides.rubyonrails.org/configuring.html#default-configuration,https://guides.rubyonrails.org/,2026-04-28
Security,Strong parameters everywhere,"params.require(:user).permit(:name, :email)",Skip strong params; use raw params,Mass-assign attributes,params.require(:user).permit(:name),User.create!(params[:user]),Critical,https://api.rubyonrails.org/classes/ActionController/StrongParameters.html,https://guides.rubyonrails.org/,2026-04-28
Caching,Russian-doll caching for views,Fragment caching + dependency tracking with Solid Cache,cache @post; cache_key includes updated_at,Render uncached huge collection partials,<% cache @post do %>...<% end %>,# render @posts each request,Medium,https://guides.rubyonrails.org/caching_with_rails.html,https://guides.rubyonrails.org/,2026-04-28
Storage / Background,Solid Cable / Solid Queue / Solid Cache (Rails 8),Rails 8 ships Postgres-backed defaults — eliminate Redis-only stack,Use Solid* if you want one-DB simplicity,Add Redis for tiny apps that don't need it,# Solid Queue jobs in Postgres,# Redis purely for ActiveJob in a tiny app,Medium,https://github.com/rails/solid_queue,https://guides.rubyonrails.org/,2026-04-28
Logging,Use lograge for one-line JSON logs,Default Rails log output is multi-line and hard to query,gem 'lograge'; configure JSON formatter,Default Rails logger in prod,Lograge.formatter = Lograge::Formatters::Json.new,# default multi-line log format,Medium,https://github.com/roidrage/lograge,https://guides.rubyonrails.org/,2026-04-28
Testing,RSpec + Capybara + factory_bot,Standard Rails test stack,Use system specs (Capybara) for E2E happy paths,Avoid system specs entirely,"RSpec.describe OrdersController, type: :request do",class OrdersControllerTest < Minitest::Test ... // mixed setups,Medium,https://rspec.info/,https://guides.rubyonrails.org/,2026-04-28
Testing,VCR / WebMock for HTTP tests,Record/replay external HTTP,WebMock.disable_net_connect!(allow_localhost: true),Hit real APIs in tests,VCR.use_cassette('stripe/charge') { … },# real Stripe call in CI,High,https://github.com/vcr/vcr,https://guides.rubyonrails.org/,2026-04-28
