Technique,Category,Layer,Use Case,Strengths,Weaknesses,Pitfalls,Keywords,Notes
Vertical scaling (scale-up),Compute,Single node,"Quick wins; legacy workloads not horizontally aware (single-writer DB)","Simple, no app changes","Hard ceiling per machine; expensive top-end SKUs","Treating it as the only lever","vertical scale up scale-up bigger box","Often the cheapest fix for a single-writer Postgres before sharding."
Horizontal scaling (scale-out),Compute,Cluster,"Stateless services; partitionable workloads","Linear capacity; commodity hardware","Requires stateless or carefully partitioned state","Adding replicas to a single-writer DB without sharding","horizontal scale out replicas","Default for stateless HTTP/gRPC services."
Auto-scaling (HPA / KEDA / cluster-autoscaler / Karpenter),Compute,Cluster,"Variable load","Cost efficient; absorbs spikes","Slow scale-out can lose traffic; cold starts","Scaling on CPU only when bottleneck is RAM/queue depth","hpa keda cluster-autoscaler karpenter scale to zero","Use KEDA for queue-depth-driven scaling; Karpenter for fast node provisioning on AWS."
Sharding (range / hash / geo),Data,Storage,"Dataset/throughput exceeds single node","Linear capacity","Cross-shard joins/transactions painful; rebalancing complex","Choosing a key with hot partitions","sharding partitioning hash range geo","Use composite keys ('tenantId#entityId') and consistent hashing for elastic resharding."
Read replicas,Data,Storage,"Read-heavy workloads","Offload reads cheaply","Replica lag → stale reads; failover complexity","Reading user's own writes off a replica","read replica replication lag failover","Route 'read-after-write' to primary via session-stickiness."
Caching (multi-tier: CDN / L2 / L1),IO,Various,"Repeatable expensive lookups","Order-of-magnitude latency & cost wins","Stale data; cache stampedes","No invalidation strategy; caching auth'd responses publicly","cdn redis caffeine multi-tier l1 l2","Use 'cache-aside' + single-flight + 'stale-while-revalidate' patterns."
Connection pooling,IO,Per-process / proxy,"DB / HTTP / gRPC clients","Reduces handshake overhead, prevents DB connection exhaustion","Misconfigured pool sizes cause stalls","Pool size > DB max connections","connection pool pgbouncer hikari nginx","Use a proxy pool (PgBouncer) in front of Postgres; per-pod pool size = (db_max / total_pods)."
Backpressure,Concurrency,Service,"Producers can outpace consumers","Prevents cascading OOM/queue overflow","Adds complexity (semaphores, bounded queues)","Unbounded queues silently buffering until OOM","backpressure bounded queue semaphore reactive","Reactive Streams (Project Reactor / RxJava) and Tokio mpsc enforce this naturally."
Bulkhead / pool isolation,Resilience,Service,"One slow tenant/dep saturates a shared pool","Bounds blast radius","Lower utilisation; more pools","Sharing one HTTP client pool across all downstreams","bulkhead pool isolation tenant","Per-downstream HTTP clients + per-tenant rate limits."
Hedged requests / request coalescing,Latency,Service,"Tail latency dominated by slow replicas / single-flight cache loads","Reduces p99 dramatically","Doubles request load; risk of duplicate side-effects","Hedging non-idempotent calls","hedged request tail latency single flight","See 'The Tail at Scale' (Dean & Barroso). Cap hedged rate (~5%)."
Load balancing (L4 / L7 / anycast),Network,Edge,"Distribute traffic across replicas","Standard primitive; LB observability","Sticky sessions reduce elasticity","Sticky LB for stateless services that don't need it","l4 l7 nlb alb envoy haproxy nginx anycast","Prefer L7 for HTTP (header-based routing); L4 for raw TCP/UDP."
CDN / edge caching,Network,Edge,"Static + cacheable JSON","90%+ origin offload, lowest user latency","Cache invalidation; misuse leaks PII","Caching authenticated routes without 'Cache-Control: private'","cdn cloudflare fastly cloudfront edge","Use 'stale-while-revalidate' + signed URLs for private cacheable assets."
Geo-distribution / multi-region,Network,Global,"Global users; regulatory data residency","Lower latency per region; failure isolation","Cross-region writes are expensive; conflict handling","Treating multi-region like multi-AZ","multi region active-active geo dr","Choose multi-region only when cross-region latency / DR / residency demands it; cost ~2-3×."
Async + queue-based load levelling,Async,Service,"Spiky synchronous load that downstream can't absorb","Smooths spikes; decouples","Adds eventual consistency; UX must reflect async","Treating async response as immediate","queue load levelling sqs kafka rabbit","Pair with idempotency keys + dead-letter queues."
Database indexing / query plans,Data,Storage,"Slow queries from missing indexes / bad plans","Order-of-magnitude wins","Over-indexing slows writes & bloats","Adding indexes without checking 'EXPLAIN ANALYZE'","index explain analyze covering","Add 'covering' indexes ('INCLUDE') for hot read paths in Postgres."
Materialized views / pre-aggregation,Data,Storage,"Repeated expensive aggregates","Reads become O(1)","Refresh cost; staleness","Refreshing on every write at scale","materialized view rollup precompute","Refresh via CDC events or scheduled refresh; cap fan-out."
Partitioning (table / topic / time),Data/Stream,Storage,"Very large tables / streams","Faster vacuum, easier retention, parallel scans","Partition pruning misses if predicates miss partition key","Hash-partitioning when range would suit time-series","partition table topic kafka time","For time-series, range-partition by day/week + drop old partitions for retention."
