Topic,Category,Symptom,Root Cause,Fix,Tooling,Severity,Keywords,Notes,Source URL,Source Type,Last Updated
N+1 query,DB,Endpoint latency grows linearly with collection size; many tiny SELECTs in trace,ORM lazy-loads relations per row,Eager-load (JOIN / prefetch_related / Include); batch IDs; use DataLoader for GraphQL,"query log, APM (Datadog/NewRelic), pg_stat_statements",High,n+1 query orm lazy load dataloader,Classic. DataLoader pattern (Facebook) is the standard fix for GraphQL resolvers.,https://secure.phabricator.com/book/phabcontrib/article/n_plus_one/,engineering-blog,2026-04-28
Missing index,DB,"Slow query, high CPU on DB",Sequential scan over large table,Add the right index (covering / partial / expression); reorganise query,"EXPLAIN (ANALYZE), pgvector hint plans, pg_stat_user_indexes",High,index covering partial expression,"Use 'EXPLAIN (ANALYZE, BUFFERS)' on Postgres; aim for 'Index Scan' on hot paths.",https://www.postgresql.org/docs/current/indexes.html,official-docs,2026-04-28
Wrong query plan,DB,Same query suddenly slow after data growth,Stale stats / poor cardinality estimate,ANALYZE; raise statistics target; pg_hint_plan or rewrite; partition,"pg_stat_statements, auto_explain",High,query plan statistics analyze,Set 'auto_explain' on slow queries in prod for evidence.,https://www.postgresql.org/docs/current/using-explain.html,official-docs,2026-04-28
Connection pool exhaustion,DB,"Tail latency spikes, 'too many connections' errors",Pool too big or too small; per-pod pool > DB max,Use a proxy pool (PgBouncer); pool_size_per_pod = (db_max - margin)/total_pods; transaction-pooling mode,"PgBouncer, RDS Proxy, pgbench",High,pgbouncer rds proxy connection pool,Postgres can handle ~200-500 active connections; for thousands of clients use PgBouncer transaction pooling.,https://github.com/brettwooldridge/HikariCP/wiki/About-Pool-Sizing,engineering-blog,2026-04-28
GC pauses (JVM/Go/Node),Runtime,Periodic latency spikes correlated with allocation,Allocation rate too high; old-gen survivors,Profile allocations; use object pooling sparingly; tune GC (G1 → ZGC/Shenandoah on JVM),"async-profiler, JFR, pprof, clinic.js",High,gc pause zgc shenandoah pprof async-profiler,JVM 17+ ZGC keeps pauses sub-millisecond; Go GC pauses are usually negligible — investigate allocation rate instead.,https://docs.oracle.com/en/java/javase/21/gctuning/,official-docs,2026-04-28
Hot key (cache / Redis / Kafka partition),Distribution,One shard / partition saturated,Skewed key distribution,Re-hash / salt the key; client-side caching for read; isolate hot tenant,redis 'CLIENT LIST' / Kafka consumer-lag dashboards,High,hot key skew partition kafka redis,Add a small random suffix (key+'#'+rand(0..9)) for hot read keys; multi-key lookup.,https://aws.amazon.com/blogs/database/amazon-dynamodb-adaptive-capacity/,engineering-blog,2026-04-28
Tail latency,Service,"Median fine, p99 terrible","Slow replicas, GC, JIT warmup, network jitter","Hedged requests, request coalescing, JIT warm-up, profile slow path","tracing (Tempo/Jaeger), pprof, JFR, async-profiler",High,tail latency p99 hedged dean barroso,See 'The Tail at Scale'. Beware single-replica 'fan-out' calls.,https://research.google/pubs/pub40801/,paper,2026-04-28
Thundering herd,Cache,Cold cache → all clients hit origin simultaneously,Mass invalidation or first-deploy miss,Single-flight loader / request coalescing; jittered TTLs; warm cache,"Caffeine, Ristretto, dataloader",High,thundering herd cache stampede single flight,Add small random TTL jitter; coalesce concurrent loads per key.,https://en.wikipedia.org/wiki/Thundering_herd_problem,paper,2026-04-28
Async/await blocking,Runtime,Latency rises under load even with async code,Blocking IO/CPU work on event loop / async runtime,Move to dedicated worker pool; use async drivers; offload CPU to threads,"clinic.js, perf, pprof, tokio-console",High,async block event loop tokio asyncio,Don't call sync DB drivers from async code; tokio-console diagnoses task starvation in Rust.,https://blog.stephencleary.com/2012/07/dont-block-on-async-code.html,engineering-blog,2026-04-28
Hot Lambda init / cold starts,Serverless,First-request latency spikes,"Cold container init, large bundle, JVM warmup",Use SnapStart (Java); provisioned concurrency; trim deps; native AOT,"aws x-ray, lumigo",Medium,cold start lambda snapstart provisioned concurrency,SnapStart cuts JVM cold starts ~10×; native-image (GraalVM) gives Go-class startup.,https://docs.aws.amazon.com/lambda/latest/operatorguide/execution-environments.html,official-docs,2026-04-28
Memory leak (heap growth),Runtime,RSS grows unbounded; OOMKilled,Unreleased references; growing caches; goroutine/thread leaks,Heap dumps; bounded caches; close clients; cancellation contexts everywhere,"jcmd / heapdump, pprof heap, clinic.js, valgrind massif",High,memory leak heap pprof jcmd valgrind,Bound every cache (size + TTL); always pass 'context.Context' / 'CancellationToken'.,https://docs.oracle.com/javase/8/docs/technotes/guides/troubleshoot/memleaks002.html,official-docs,2026-04-28
Goroutine / fiber / thread leak,Runtime,"Goroutine count grows; CPU stable, latency degrades",Forgotten 'go' calls without ctx; channels never closed,Always pass context; close channels deterministically; tokio JoinSet/Tower budget,"pprof goroutine, async-profiler, tokio-console",High,goroutine leak pprof tokio fiber,Inspect 'pprof?goroutine' periodically in canary; alert on sustained growth.,https://go.dev/blog/concurrency-timeouts,official-docs,2026-04-28
File descriptor / socket exhaustion,Runtime,'too many open files' under load,Unclosed clients / responses; ulimit too low,Defer Close everywhere; share clients (DON'T create per-request); raise ulimit / nofile,"ss, lsof, /proc/<pid>/fd",High,fd ulimit socket leak,"Java/Node/Go HTTP clients should be singletons (with connection pool), never per-request.",https://man7.org/linux/man-pages/man2/close.2.html,official-docs,2026-04-28
Hot path allocations,Runtime,"High GC, low CPU efficiency","Per-request allocations in hot path (boxing, string concat)",Reuse buffers (sync.Pool / ArrayPool); switch to streaming JSON; avoid reflection,"async-profiler --alloc, pprof allocs, dotnet-counters",Medium,alloc sync.Pool arraypool zero-allocation,On Go: 'GODEBUG=allocfreetrace' for hot allocs. JVM: async-profiler '--alloc'.,https://tip.golang.org/doc/gc-guide,official-docs,2026-04-28
Slow JSON serialisation,Runtime,JSON dominates CPU,Reflection-based libraries on huge payloads,Use code-gen serializers (jsoniter / sonic / Jackson AfterBurner / System.Text.Json source-gen); switch to Protobuf,"pprof, async-profiler",Medium,json sonic jsoniter source-gen protobuf,On .NET 8 source-gen serializers ~2× faster than reflection.,https://github.com/simdjson/simdjson,benchmark,2026-04-28
Network round-trips dominate,Network,Latency >> CPU per call,Chatty interfaces (one call per item),Batch endpoints; combine reads (DataLoader / GraphQL); reduce client→service hops,tracing (Jaeger/Tempo),High,chatty round-trip batch dataloader,"Always look at trace waterfall — fix shape of API, not just speed of each hop.",https://research.google/pubs/pub40801/,paper,2026-04-28
TLS handshake overhead,Network,High CPU + latency on cold clients,"Per-request connections, no keep-alive",Enable HTTP keep-alive; HTTP/2 multiplex; session resumption (TLS 1.3 0-RTT),"wireshark, ssl bench",Medium,tls keepalive http2 0-rtt,Most HTTP clients enable keepalive — check if a proxy in between drops it.,https://datatracker.ietf.org/doc/html/rfc8446,rfc,2026-04-28
