Name,Category,Data Model,Consistency Model,Replication,Sharding,Use Case,Strengths,Weaknesses,Typical Latency,Operational Cost,Cloud Managed Options,Keywords,Notes,Throughput Tier,Latency Tier,Consistency Tier,Cost Tier,Cloud Native,Source URL,Source Type,Last Updated
PostgreSQL,RDBMS,Relational + JSONB,Strong (per node),"Streaming (sync/async), logical","Citus, partitioning","OLTP, mixed JSON+relational, analytics-light","ACID, mature, JSONB, rich extensions (pgvector, PostGIS, TimescaleDB), excellent SQL","Manual scale-out, vacuum tuning, write scaling without Citus",sub-ms LAN reads,Medium,"AWS RDS/Aurora, Cloud SQL, Azure DB for Postgres, Neon, Supabase",postgres postgresql relational jsonb pgvector acid,Default choice for OLTP. Aurora gives storage-decoupled scale; Citus for HTAP/sharding.,high,sub-ms,strong,medium,"aws,gcp,azure",,,
MySQL / MariaDB,RDBMS,Relational,Strong (per node),"Async, semi-sync, group replication","Vitess, ProxySQL","OLTP, web apps, large social-style read traffic","Battle-tested at huge scale (FB/YouTube/Shopify), excellent replication tooling","Weaker SQL than Postgres, JSON support behind",sub-ms LAN reads,Medium,"AWS RDS/Aurora MySQL, Cloud SQL, Azure DB",mysql mariadb vitess innodb async replication,Vitess is the go-to for sharded MySQL at internet scale.,high,sub-ms,strong,medium,"aws,gcp,azure",,,
CockroachDB,Distributed SQL,Relational,Serializable (Raft),Built-in,Automatic range-based,"Multi-region OLTP, geo-distributed apps","Postgres-compatible, survives node/AZ/region loss, online schema changes","Higher write latency vs single-node, expensive cross-region txns","ms in-region, tens of ms cross-region",Medium-High,Cockroach Cloud,cockroachdb crdb distributed sql raft multi-region,Pin tables to regions ('REGIONAL BY ROW') to control latency.,high,low-ms,strong,medium-high,multi,,,
Spanner / TiDB,Distributed SQL,Relational,External consistency / Snapshot,Paxos / Raft,Automatic,"Global OLTP at scale (Spanner), HTAP (TiDB)","Horizontal scale + ACID, strong consistency","Cost (Spanner), operational complexity (self-hosted TiDB)",ms within region,High,"Spanner (GCP), TiDB Cloud",spanner tidb truetime distributed sql htap,Spanner uses TrueTime; TiDB pairs TiKV (OLTP) + TiFlash (OLAP).,very-high,low-ms,strong,high,"gcp,multi",,,
MongoDB,Document,BSON document,Tunable (per-op),Replica sets,Hash/range,"Flexible schemas, content management, catalogues","Flexible schema, scale-out via sharding, change streams","Joins/transactions weaker than RDBMS, schema drift risk, costly large docs",sub-ms LAN reads,Medium,Atlas,mongo mongodb document bson sharding replica set,Use Atlas Search (Lucene) for built-in search; design schema embed-vs-reference deliberately.,high,sub-ms,tunable,medium,"aws,gcp,azure",,,
Cassandra / ScyllaDB,Wide-column,Wide-column (CQL),Tunable (per-op QUORUM/ONE/ALL),Multi-DC,Partition key,"Time-series, write-heavy, multi-region high availability","Linear scale, masterless, multi-DC active/active, predictable writes","Joins/transactions absent, query patterns must drive schema, eventual consistency by default",sub-ms reads on hot data,High,"Astra DB, ScyllaCloud, Keyspaces (AWS)",cassandra scylla cql lsm wide column multi-dc,"ScyllaDB = C* protocol-compatible, C++/seastar, much higher per-node throughput.",very-high,sub-ms,tunable,high,"aws,gcp,azure",,,
DynamoDB,Key-value / Document,KV + nested document,Strong or eventual (per-read),"Multi-AZ, Global Tables (multi-region)",Automatic by partition key,"Serverless OLTP, gaming, IoT, hyperscale KV","Truly serverless, predictable single-digit ms latency, scales to any size","Costly without single-table design discipline, no joins, query patterns must drive schema",ms,Low (managed),DynamoDB (AWS only),dynamodb dax single-table aws nosql kv,Master single-table design (Alex DeBrie). Use DAX for read-heavy ms→µs caching.,very-high,low-ms,tunable,medium,aws,,,
Redis,In-memory KV / Data Structures,Strings/Hashes/Sets/Streams/Sorted sets,"Single-shard strong, async cross-shard","Replica + Sentinel, Cluster",Hash slots,"Cache, session, queue, rate limit, leaderboards, pub/sub, streams","Sub-ms latency, rich data structures, ubiquitous","Memory-bound cost, persistence is secondary, cluster has multi-key constraints",sub-ms,Low-Medium,"Elasticache, MemoryStore, Azure Cache, Upstash, Redis Cloud",redis cache lua streams pubsub sorted set,Redis 7+ has Functions & RESP3. Use Streams + consumer groups for lightweight queues.,very-high,sub-ms,eventual,low,"aws,gcp,azure",,,
Memcached,In-memory KV,Plain KV strings,Strong per-key (no replication),Client-side,Consistent hash,Pure ephemeral cache,"Tiny, predictable, very cheap","No persistence, no rich types, no replication",sub-ms,Low,"Elasticache, MemoryStore",memcached cache lru,Use only if you literally need a forgettable LRU; Redis is usually a strict superset.,very-high,sub-ms,eventual,low,"aws,gcp",,,
Elasticsearch / OpenSearch,Search,Inverted index + JSON,Eventual (refresh interval),Primary + replicas,Hash by routing key,"Full-text search, log analytics, observability","Best-in-class search & aggregations, mature analyzers","Operationally heavy, eventual consistency, JVM heap & shard sizing pitfalls",ms,High,"AWS OpenSearch, Elastic Cloud, Bonsai",elasticsearch opensearch lucene full-text search aggregation,Plan shard count to dataset size; use ILM for time-series log indices.,high,low-ms,eventual,high,"aws,multi",,,
