Model,Category,Guarantees,Use Case,Strengths,Weaknesses,Algorithms,Keywords,Notes,Source URL,Source Type,Last Updated
Linearizability,Strong,Operations appear instantaneous in a real-time order; reads see latest committed write,"Coordination services (locks, leader election), strongly-consistent KV",Easy to reason about,Lower availability under partition; higher latency (consensus round-trips),"Raft, Paxos, ZAB",linearizability strong consistency raft paxos,"Provided by etcd, ZooKeeper, Spanner, FoundationDB. Most expensive guarantee.",https://cs.brown.edu/~mph/HerlihyW90/p463-herlihy.pdf,paper,2026-04-28
Sequential consistency,Strong-ish,"All clients see operations in the same order, not necessarily real-time",Some replicated stores,Cheaper than linearizable,Reads can be slightly stale,"Vector clocks, broadcast",sequential consistency total order,Often confused with linearizability — sequential drops the real-time constraint.,https://lamport.azurewebsites.net/pubs/multi.pdf,paper,2026-04-28
Causal consistency,Mid,Causally-related operations seen in causal order; concurrent ops can differ,"Collaborative apps, social feeds, distributed databases (Cosmos DB)",Available under partition; intuitive,"Implementation needs causal metadata (vector clocks, dependencies)","Vector clocks, version vectors, COPS",causal consistency vector clock cops,Cosmos DB's 'Session' consistency is essentially causal+'monotonic reads' for that session.,https://jepsen.io/consistency/models/causal,engineering-blog,2026-04-28
Read-your-writes / Monotonic reads,Session,You see your own writes; reads never go back in time within a session,User-facing apps with read replicas,Cheap; user-friendly UX,Per-session sticky routing or token,Session token routed to primary or to replicas with sufficient replay,read-your-writes monotonic session,Implement via 'last-write LSN' cookie or session-pinned routing.,https://jepsen.io/consistency/models/read-your-writes,engineering-blog,2026-04-28
Eventual consistency,Weak,All replicas converge if writes stop,"High-availability, partition-tolerant systems (DynamoDB default, Cassandra)",Highest availability + lowest latency,Stale reads; conflict handling needed,"Anti-entropy, hinted handoff, gossip",eventual consistency dynamo cassandra anti-entropy,"Acceptable for analytics, recommendations, notifications. Pair with conflict resolution (LWW/CRDT).",https://www.allthingsdistributed.com/2008/12/eventually_consistent.html,engineering-blog,2026-04-28
Strong eventual consistency (SEC) / CRDTs,Weak (deterministic),Concurrent updates always converge to the same value without coordination,"Collaborative editing, distributed counters, presence, offline-first apps",No coordination needed; offline tolerant,Limited operation set; data structures non-trivial,"CRDTs (G-Counter, OR-Set, RGA, Yjs/Automerge)",crdt yjs automerge collaborative offline,"Yjs and Automerge are the production-grade JS/Rust libs (Liveblocks, Jupyter, Linear).",https://www.allthingsdistributed.com/2008/12/eventually_consistent.html,engineering-blog,2026-04-28
CAP theorem,Theory,"Under network partition, choose Consistency or Availability",Mental model for distributed DB choice,Helpful framing,Often misquoted (P is not optional in real systems),N/A,cap theorem partition consistency availability,"Modern framing: PACELC — 'else, latency vs consistency' even without partition.",https://groups.csail.mit.edu/tds/papers/Gilbert/brewer2.pdf,paper,2026-04-28
PACELC,Theory,"Even without partition, trade off latency vs consistency",Choosing DB / replication mode,More complete than CAP,Less famous,N/A,pacelc latency consistency,"Daniel Abadi's extension. Spanner = PC/EC, DynamoDB default = PA/EL.",https://www.cs.umd.edu/~abadi/papers/abadi-pacelc.pdf,paper,2026-04-28
Consensus (Raft),Coordination,Linearizable replicated log,"etcd, Consul, CockroachDB, TiKV, Redpanda","Comprehensible (vs Paxos), single leader",Throughput limited by leader; partition halves cluster,Raft,raft consensus leader log replication,Raft is the practical choice for new systems; etcd/raft is the most-used Go impl.,https://raft.github.io/raft.pdf,paper,2026-04-28
Consensus (Paxos / Multi-Paxos / EPaxos),Coordination,"Linearizable, leader-less variants exist","Spanner (Paxos), legacy systems","Pioneering, well-studied",Notoriously hard to implement,"Paxos, Multi-Paxos, EPaxos",paxos multi-paxos epaxos consensus,Spanner & Chubby use Paxos variants; new code almost always picks Raft instead.,https://lamport.azurewebsites.net/pubs/paxos-simple.pdf,paper,2026-04-28
